match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,captain,stat_accurateCross,stat_goals,stat_hitWoodwork,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_errorLeadToAShot,stat_lastManTackle,player_sofascoreId
12441767,home,Heracles Almelo,Fabian de Keijzer,fabian-de-keijzer,F. d. Keijzer,G,1,193.0,109,M,856743,EUR,957916800,G,1,1,False,33.0,20.0,23.0,10.0,0.0,15.0,16.0,5.0,17.0,1.0,1.0,2.0,7.0,2.0,5.0,1.0,1.0,90.0,42.0,7.4,13.0,0.00888721,0,-0.4528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441767,home,Heracles Almelo,Mimeirhel Benita,mimeirhel-benita,M. Benita,D,2,176.0,216,M,1130308,EUR,1069027200,D,2,2,False,37.0,29.0,7.0,5.0,0.0,11.0,13.0,18.0,26.0,1.0,7.0,3.0,5.0,,,,,90.0,64.0,7.4,13.0,0.0810819,1,,Mimeirhel Benita,,2.0,2.0,6.0,1.0,2.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0586,0.0617,2.0,,,,,,,,,,,,,,,
12441767,home,Heracles Almelo,Damon Mirani,damon-mirani,D. Mirani,D,4,182.0,56,M,318575,EUR,831945600,D,4,4,False,45.0,43.0,3.0,1.0,0.0,25.0,25.0,18.0,20.0,5.0,6.0,8.0,10.0,,,,,90.0,61.0,7.2,2.0,0.0546417,0,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,
12441767,home,Heracles Almelo,Ivan Mesík,ivan-mesik,I. Mesík,D,24,187.0,163,M,918484,EUR,991353600,D,24,24,False,46.0,40.0,3.0,1.0,0.0,26.0,30.0,14.0,17.0,,1.0,8.0,1.0,,,,,90.0,64.0,6.7,8.0,0.0074829,3,,,,1.0,1.0,5.0,1.0,,1.0,,,,3.0,,,1.0,2.0,0.0859,,,3.0,,,,,,,,,,,,,,
12441767,home,Heracles Almelo,Mats Rots,mats-rots,M. Rots,D,39,185.0,370,M,1387012,EUR,1142035200,D,39,39,False,28.0,24.0,3.0,1.0,0.0,15.0,17.0,9.0,12.0,,6.0,1.0,6.0,,,,,90.0,53.0,6.5,11.0,0.014453,3,,,,1.0,,2.0,,,3.0,1.0,,,,2.0,1.0,3.0,,0.1473,,,1.0,2.0,3.0,,,,,,,,,,,,
12441767,home,Heracles Almelo,Brian De Keersmaecker,brian-de-keersmaecker,B. D. Keersmaeker,M,14,182.0,235,M,981222,EUR,957571200,M,14,14,False,36.0,33.0,4.0,2.0,0.0,15.0,17.0,19.0,21.0,,,,3.0,,,,,67.0,46.0,7.1,5.0,0.140857,2,,,,2.0,,3.0,,,,,2.0,1.0,2.0,,,,3.0,0.1193,0.1681,1.0,,,1.0,True,1.0,,,,,,,,,,
12441767,home,Heracles Almelo,Sem Scheperman,scheperman-sem,S. Scheperman,M,32,188.0,82,M,1189738,EUR,1024790400,M,32,32,False,49.0,42.0,4.0,2.0,0.0,23.0,27.0,19.0,22.0,4.0,7.0,5.0,3.0,,,,,90.0,69.0,7.6,10.0,0.0144763,1,,,,,3.0,6.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.1521,0.3167,1.0,,,2.0,,,1.0,,,,,,,,,
12441767,home,Heracles Almelo,Juho Talvitie,juho-talvitie,J. Talvitie,M,32,183.0,251,M,1149147,EUR,1111708800,M,23,23,False,22.0,20.0,2.0,2.0,0.0,8.0,8.0,13.0,15.0,,7.0,1.0,4.0,,,,,62.0,45.0,7.5,10.0,0.110813,3,,Juho Talvitie,,1.0,1.0,5.0,1.0,3.0,4.0,4.0,1.0,,1.0,2.0,2.0,1.0,,0.1217,0.1365,1.0,1.0,1.0,2.0,,1.0,,1.0,,,,,,,,
12441767,home,Heracles Almelo,Thomas Bruns,thomas-bruns,T. Bruns,M,10,177.0,36,M,146401,EUR,694742400,M,17,17,False,23.0,19.0,5.0,4.0,0.0,10.0,10.0,12.0,20.0,,1.0,1.0,4.0,,,,,71.0,39.0,6.7,10.0,0.288293,1,,,,7.0,,3.0,3.0,,,,,1.0,,,,1.0,,0.2814,,3.0,1.0,,2.0,,3.0,,,1.0,,,,,,,
12441767,home,Heracles Almelo,Suf Podgoreanu,suf-podgoreanu,S. Podgoreanu,M,17,193.0,150,M,1010062,EUR,1011484800,M,29,29,False,22.0,19.0,1.0,1.0,0.0,7.0,9.0,13.0,16.0,,1.0,,4.0,,,,,90.0,34.0,7.0,8.0,0.245583,2,,,,3.0,2.0,4.0,,,1.0,,1.0,,,1.0,1.0,,1.0,0.0607,0.1061,3.0,,1.0,2.0,,1.0,,,,1.0,,,,,,
