match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_outfielderBlock,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_fouls,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goalAssist,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,player_sofascoreId,stat_totalOffside
10407150,home,KAA Gent,Davy Roef,,,davy-roef,D. Roef,G,33,187.0,231,M,156663,EUR,760492800,G,33,33,False,19.0,14.0,12.0,7.0,11.0,14.0,3.0,5.0,1.0,16.0,1.0,1.0,90.0,33.0,7.2,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407150,home,KAA Gent,Andreas Hanche-Olsen,,,andreas-hanche-olsen,A. Hanche-Olsen,D,25,185.0,376,M,794294,EUR,853459200,D,21,21,False,45.0,38.0,8.0,5.0,25.0,29.0,13.0,16.0,6.0,7.0,1.0,,90.0,58.0,7.4,8.0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10407150,home,KAA Gent,Michael Ngadeu,,,michael-ngadeu,M. Ngadeu,D,5,190.0,816,M,245705,EUR,659318400,D,5,5,False,58.0,46.0,9.0,6.0,33.0,38.0,14.0,21.0,7.0,5.0,,,90.0,66.0,7.6,12.0,0,,6.0,,,,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10407150,home,KAA Gent,Jordan Torunarigha,,,jordan-torunarigha,J. Torunarigha,D,25,189.0,603,M,801003,EUR,870912000,D,23,23,False,49.0,44.0,6.0,6.0,32.0,34.0,12.0,15.0,5.0,5.0,,,90.0,64.0,7.7,8.0,1,2.0,2.0,6.0,1.0,1.0,3.0,1.0,2.0,,2.0,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,
10407150,home,KAA Gent,Matisse Samoise,,,matisse-samoise,M. Samoise,M,18,180.0,256,M,1046245,EUR,1006300800,M,18,18,False,29.0,24.0,2.0,1.0,9.0,10.0,16.0,22.0,,4.0,,,45.0,39.0,7.1,7.0,2,,,1.0,,,,2.0,,,,3.0,1.0,,2.0,,,,,1.0,2.0,,,,,,,,,
10407150,home,KAA Gent,Sven Kums,,,sven-kums,S. Kums,M,,176.0,164,M,45990,EUR,572832000,M,24,24,False,61.0,52.0,4.0,2.0,23.0,26.0,30.0,37.0,1.0,7.0,,,79.0,71.0,6.9,13.0,2,1.0,,4.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,
10407150,home,KAA Gent,Hyun-Seok Hong,,,hyun-seok-hong,H. Hong,M,24,177.0,1229,M,942937,EUR,929491200,M,7,7,False,37.0,24.0,3.0,2.0,4.0,5.0,21.0,36.0,3.0,3.0,2.0,,79.0,51.0,7.4,21.0,1,1.0,,6.0,2.0,,,,1.0,,2.0,4.0,1.0,,6.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,
10407150,home,KAA Gent,Alessio Castro-Montes,,,alessio-castro-montes,A. Castro-Montes,M,21,175.0,289,M,839898,EUR,863827200,M,14,14,False,53.0,43.0,5.0,4.0,16.0,17.0,29.0,43.0,5.0,8.0,1.0,,89.0,95.0,7.9,20.0,3,,,6.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,,,,2.0,1.0,,,,,,,,
10407150,home,KAA Gent,Vadis Odjidja-Ofoe,Vadis,Odjidja-Ofoe,vadis-odjidja-ofoe,V. Odjidja-Ofoe,M,8,185.0,357,M,17806,EUR,604022400,F,8,8,False,65.0,55.0,15.0,10.0,20.0,21.0,35.0,44.0,5.0,7.0,1.0,,90.0,78.0,7.5,13.0,3,,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,1.0,1.0,2.0,,1.0,1.0,,,True,,,,,,
10407150,home,KAA Gent,Hugo Cuypers,,,hugo-cuypers,H. Cuypers,F,9,185.0,1406,M,836289,EUR,855273600,F,11,11,False,25.0,15.0,2.0,2.0,3.0,3.0,13.0,23.0,4.0,4.0,,,90.0,47.0,7.8,18.0,6,1.0,3.0,4.0,1.0,,1.0,,1.0,1.0,7.0,1.0,1.0,,2.0,2.0,,2.0,1.0,,4.0,,,,1.0,1.0,,,,
