match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,confirmed,isHome,id,incidentClass,player_id,player_name,injury,playerName,rescinded,length,reason,from
12530774,FT,3.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
12530774,,,,,90,10.0,,1,,,varDecision,False,True,31003.0,goalAwarded,14990.0,Edin Džeko,,,,,,
12530774,,,,,90,7.0,,1,,,substitution,,False,123528610.0,regular,,,False,,,,,
12530774,,,,,90,7.0,,1,,,substitution,,False,123528609.0,regular,,,False,,,,,
12530774,,,,,90,,,1,,,card,,True,121883651.0,yellow,846470.0,Youssef En-Nesyri,,Youssef En-Nesyri,False,,,
12530774,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,10.0,,
12530774,,3.0,2.0,,89,,,2,,,goal,,True,195249179.0,regular,846470.0,Youssef En-Nesyri,,,,,,
12530774,,,,,88,,,3,,,substitution,,False,123528560.0,injury,,,True,,,,,
12530774,,,,,88,,,3,,,substitution,,False,123528561.0,regular,,,False,,,,,
12530774,,,,,84,,,7,,,card,,True,121883639.0,yellow,226986.0,İrfan Can Kahveci,,İrfan Can Kahveci,False,,Argument,
12530774,,,,,83,,,8,,,substitution,,False,123528536.0,regular,,,False,,,,,
12530774,,,,,81,,,10,,,substitution,,True,123528503.0,regular,,,False,,,,,
12530774,,2.0,2.0,,79,,,12,,,goal,,True,195248641.0,regular,14990.0,Edin Džeko,,,,,,
12530774,,,,,78,,,13,,,card,,False,121883619.0,red,123228.0,Rachid Ghezzal,,Rachid Ghezzal,False,,Argument,
12530774,,,,,77,,,14,,,card,,False,121883608.0,yellow,123228.0,Rachid Ghezzal,,Rachid Ghezzal,False,,Time wasting,
12530774,,,,,72,,,19,,,substitution,,True,123528441.0,regular,,,False,,,,,
12530774,,,,,72,,,19,,,card,,False,121883588.0,yellow,238394.0,Ali Sowe,,Ali Sowe,False,,Foul,
12530774,,,,,61,,,30,,,substitution,,True,123528395.0,regular,,,False,,,,,
12530774,,,,,46,,,45,,,substitution,,True,123528325.0,regular,,,False,,,,,
12530774,HT,1.0,2.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
12530774,,1.0,2.0,,45,8.0,,1,,,goal,,True,195242517.0,penalty,14990.0,Edin Džeko,,,,,,penalty
12530774,,,,,45,6.0,,1,,,card,,False,121883421.0,yellowRed,1008173.0,Ibrahim Olawoyin,,Ibrahim Olawoyin,False,,Foul,
12530774,,,,,45,5.0,,1,,,varDecision,False,True,30997.0,penaltyNotAwarded,847983.0,Sebastian Szymański,,,,,,
12530774,,,,,45,3.0,,1,,,card,,True,121883397.0,yellow,359272.0,Sofyan Amrabat,,Sofyan Amrabat,False,,Foul,
12530774,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,6.0,,
12530774,,,,,44,,,2,,,varDecision,False,True,30995.0,goalAwarded,187205.0,Milan Škriniar,,,,,,
12530774,,,,,37,,,9,,,card,,False,121883326.0,yellow,889382.0,Attila Mocsi,,Attila Mocsi,False,,Foul,
12530774,,,,,21,,,25,,,card,,False,121883257.0,yellow,1008173.0,Ibrahim Olawoyin,,Ibrahim Olawoyin,False,,Simulation,
12530774,,0.0,2.0,,13,,,33,,,goal,,False,195238816.0,regular,238394.0,Ali Sowe,,,,,,
12530774,,0.0,1.0,,6,,,40,,,goal,,False,195238003.0,regular,238394.0,Ali Sowe,,,,,,
12530774,,,,,-5,,,6,,,card,,True,121883638.0,yellow,952600.0,İsmail Yüksek,,İsmail Yüksek,False,,Argument,
12530774,,,,,-5,,,6,,,card,,True,121883325.0,yellow,856849.0,Mert Hakan Yandaş,,Mert Hakan Yandaş,False,,Argument,
