match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_totalContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_keyPass,stat_wonContest,stat_totalCross,stat_unsuccessfulTouch,stat_dispossessed,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_wasFouled,stat_expectedGoalsOnTarget,stat_accurateCross,stat_shotOffTarget,stat_goals,captain,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_totalOffside,player_sofascoreId
13472821,home,Juventude,Jandrei,,,jandrei,Jandrei,G,93,186.0,1016,M,874979,EUR,730944000,G,13,13,False,27.0,18.0,20.0,11.0,0.0,9.0,11.0,9.0,16.0,2.0,2.0,4.0,12.0,1.0,3.0,5.0,2.0,2.0,2.0,90.0,44.0,7.7,9.0,0.00301161,3.5608560768444,1.0,0.42,0.42,0,-0.3935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472821,home,Juventude,Luan Freitas,,,luan-freitas,Luan Freitas,D,4,184.0,248,M,986064,EUR,979948800,D,3,3,False,17.0,12.0,4.0,1.0,0.0,7.0,9.0,5.0,8.0,1.0,2.0,6.0,1.0,,,,,,,90.0,25.0,6.2,5.0,0.00186713,35.781148811974,6.0,-23.835,1.05,0,,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
13472821,home,Juventude,Caique Gonçalves,,,caique-goncalves,Caique,M,95,178.0,364,M,871032,EUR,813283200,D,95,95,False,26.0,25.0,2.0,2.0,1.0,16.0,17.0,9.0,9.0,,1.0,4.0,1.0,,,,,,,65.0,35.0,7.2,2.0,0.327576,69.215125655199,10.0,19.53,10.92,1,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0424,1.0,,,,,,,,,,,,,,,,
13472821,home,Juventude,Marcos Paulo,,,marcos-paulo,M. Paulo,D,47,183.0,176,M,1170913,EUR,1042848000,D,47,47,False,23.0,19.0,6.0,3.0,0.0,9.0,10.0,10.0,13.0,,1.0,5.0,3.0,,,,,,,66.0,31.0,6.5,4.0,0.0106927,64.332305284116,11.0,-4.83,13.44,0,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,
13472821,home,Juventude,Igor Formiga,,,igor-formiga,Igor Formiga,D,32,175.0,269,M,1009030,EUR,915753600,M,32,32,False,18.0,11.0,7.0,2.0,0.0,5.0,6.0,6.0,12.0,,10.0,4.0,3.0,,,,,,,90.0,55.0,6.9,18.0,0.00484203,118.53149589871,12.0,74.76,19.005,0,,,5.0,3.0,,9.0,5.0,2.0,,,2.0,1.0,,,1.0,2.0,2.0,,,,,,,,,,,,,
13472821,home,Juventude,Jádson,,,jadson,Jádson,M,16,171.0,454,M,243651,EUR,746668800,M,16,16,False,15.0,12.0,2.0,1.0,0.0,3.0,4.0,9.0,11.0,,2.0,1.0,3.0,,,,,,,90.0,30.0,6.2,9.0,0.00562129,122.85764846996,7.0,87.045,40.95,1,,,8.0,1.0,1.0,1.0,1.0,1.0,,,,3.0,0.1273,,,,1.0,3.0,1.0,1.0,1.0,0.1688,,,,,,,,
13472821,home,Juventude,Luis Mandaca,Luis Mandaca,,luis-mandaca,L. Mandaca,M,44,178.0,388,M,1116677,EUR,1001980800,M,44,44,False,16.0,15.0,,,1.0,5.0,5.0,10.0,11.0,,3.0,1.0,2.0,,,,,,,60.0,29.0,7.7,2.0,0.271749,80.648226723431,5.0,62.475,39.165,1,,,5.0,,1.0,2.0,1.0,,2.0,,3.0,5.0,0.0824,4.0,,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,
13472821,home,Juventude,Marcelo Hermes,,,marcelo-hermes,M. Hermes,D,22,177.0,288,M,783490,EUR,791596800,M,22,22,False,24.0,17.0,1.0,,0.0,6.0,8.0,11.0,16.0,1.0,3.0,3.0,2.0,,,,,,,90.0,57.0,7.2,20.0,0.176735,89.865306580917,12.0,60.795,8.925,1,,1.0,3.0,,,2.0,1.0,1.0,,,2.0,,0.0239,2.0,,11.0,,1.0,1.0,,,0.0904,1.0,,1.0,,,,,
13472821,home,Juventude,Rafael Bilú,,,rafael-bilu,Rafael Bilú,F,99,174.0,313,M,959005,EUR,924652800,F,99,99,False,6.0,4.0,,,0.0,2.0,2.0,2.0,4.0,1.0,4.0,,2.0,,,,,,,54.0,17.0,6.6,7.0,0.0006301,44.288680994489,4.0,24.99,27.825,1,,,6.0,2.0,,3.0,1.0,1.0,,,,3.0,0.0807,,,1.0,3.0,,,,,,,1.0,,,,,,
13472821,home,Juventude,Nenê,,,nene,Nenê,M,10,181.0,1562,M,5672,EUR,364348800,F,10,10,False,19.0,15.0,,,0.0,4.0,6.0,11.0,13.0,,3.0,,4.0,,,,,,,54.0,26.0,6.8,7.0,0.219636,101.17711113817,10.0,-35.07,10.185,1,,1.0,4.0,,,1.0,1.0,1.0,,,,3.0,0.0351,1.0,1.0,,2.0,,1.0,,1.0,0.055,,,,True,,,,
