match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_keyPass,captain,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_wasFouled,stat_aerialLost,stat_totalOffside,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,stat_goalAssist,player_sofascoreId,stat_penaltyWon
11369810,home,KVC Westerlo,Sinan Bolat,,,sinan-bolat,S. Bolat,G,26,187,164,M,5920,EUR,589248000,G,1,1,False,23.0,15.0,13.0,5.0,14.0,18.0,1.0,5.0,10.0,1.0,1.0,4.0,1.0,6.0,90.0,37.0,7.1,8.0,0.0,0.0,0.00035342,0,-0.0445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369810,home,KVC Westerlo,Bryan Reynolds,,,bryan-reynolds,B. Reynolds,D,22,185,426,M,862075,EUR,993686400,D,22,22,False,40.0,30.0,8.0,2.0,15.0,19.0,16.0,25.0,7.0,,,,,,90.0,79.0,6.5,20.0,0.0569,0.0542,0.0423423,1,,4.0,1.0,2.0,6.0,7.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
11369810,home,KVC Westerlo,Roman Neustädter,,,roman-neustadter,R. Neustädter,D,33,190,122,M,38471,EUR,572140800,D,33,33,False,31.0,25.0,12.0,7.0,16.0,19.0,9.0,12.0,4.0,,,,,,90.0,41.0,6.5,6.0,0.0137,0.0,0.00500007,1,,,,1.0,2.0,3.0,1.0,,1.0,1.0,,5.0,,,1.0,1.0,,,1.0,,True,1.0,,,,,,,,,,
11369810,home,KVC Westerlo,Pietro Perdichizzi,,,pietro-perdichizzi,P. Perdichizzi,D,2,182,26,M,105720,EUR,724464000,D,2,2,False,36.0,27.0,9.0,4.0,22.0,25.0,5.0,11.0,4.0,,,,,,90.0,57.0,6.7,11.0,0.1896,0.3852,0.0030469,1,,,,2.0,3.0,6.0,2.0,1.0,,,1.0,6.0,,4.0,3.0,3.0,1.0,,,,,,1.0,1.0,,,,,,,,
11369810,home,KVC Westerlo,Jordan Bos,Jordan Bos,,jordan-bos,J. Bos,D,15,180,747,M,1144138,EUR,1035849600,D,5,5,False,31.0,22.0,2.0,1.0,12.0,15.0,10.0,17.0,2.0,,,,,,84.0,66.0,6.1,20.0,0.0,0.0,0.00990705,0,,1.0,,3.0,7.0,8.0,1.0,2.0,3.0,2.0,,4.0,,1.0,1.0,1.0,4.0,,2.0,,,,,2.0,1.0,,,,,,,
11369810,home,KVC Westerlo,Edisson Jordanov,,,edisson-jordanov,E. Jordanov,D,24,172,62,M,129922,EUR,739497600,M,32,32,False,17.0,16.0,,,9.0,9.0,7.0,9.0,4.0,,,,,,71.0,33.0,6.9,5.0,0.0,0.0,0.00593861,0,,1.0,,1.0,5.0,6.0,,1.0,2.0,1.0,,2.0,,,2.0,2.0,,,,1.0,,,,2.0,3.0,1.0,,,,,,
11369810,home,KVC Westerlo,Mathias Fixelles,,,mathias-fixelles,M. Fixelles,M,11,174,39,M,876447,EUR,839721600,M,4,4,False,36.0,26.0,6.0,5.0,12.0,15.0,14.0,22.0,3.0,,,,,,84.0,53.0,6.7,16.0,0.0,0.0,0.041455,0,,1.0,,,6.0,7.0,3.0,1.0,5.0,4.0,,2.0,,,2.0,1.0,3.0,,1.0,,,,,1.0,,,,,,,,
11369810,home,KVC Westerlo,Nicolas Madsen,,,nicolas-madsen,N. Madsen,M,24,193,1189,M,938306,EUR,953251200,M,8,8,False,49.0,43.0,2.0,1.0,21.0,23.0,25.0,33.0,7.0,,,,,,90.0,73.0,7.9,13.0,0.8802,0.993,0.0893395,2,,7.0,3.0,1.0,2.0,3.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,2.0,,,3.0,,,,,1.0,,1.0,1.0,1.0,,,
11369810,home,KVC Westerlo,Thomas Van den Keybus,,,thomas-van-den-keybus,T. V. d. Keybus,M,39,179,112,M,997164,EUR,988156800,M,39,39,False,33.0,25.0,3.0,3.0,11.0,13.0,14.0,21.0,8.0,,,,,,90.0,52.0,6.4,15.0,0.1192,0.0,0.0303341,3,,1.0,,,8.0,2.0,1.0,2.0,5.0,1.0,,,,,,,,,1.0,2.0,,2.0,,1.0,,,1.0,1.0,,,,
11369810,home,KVC Westerlo,Matija Frigan,,,matija-frigan,M. Frigan,F,20,184,1391,M,1092081,EUR,1044921600,F,9,9,False,15.0,13.0,1.0,1.0,6.0,6.0,7.0,9.0,1.0,,,,,,84.0,25.0,6.8,5.0,0.0202,0.0,0.0104931,1,,,,1.0,6.0,7.0,,,,,,,,,2.0,1.0,3.0,,3.0,,,1.0,,4.0,3.0,,,,,,,
