match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_totalContest,stat_wonContest,stat_wonTackle,stat_accurateCross,stat_blockedScoringAttempt,stat_bigChanceCreated,player_sofascoreId,stat_goalAssist,stat_outfielderBlock,stat_clearanceOffLine,stat_totalOffside
11391449,home,RC Lens,Brice Samba,brice-samba,B. Samba,G,30,186,2098,M,164055,EUR,767232000,G,30,30,False,True,16.0,13.0,7.0,4.0,12.0,13.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,2.0,2.0,90.0,23.0,7.3,3.0,0.00014241,0,0.6007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391449,home,RC Lens,Jonathan Gradit,jonathan-gradit,J. Gradit,D,24,180,273,M,369650,EUR,722563200,D,24,24,False,,41.0,35.0,4.0,2.0,9.0,11.0,26.0,31.0,1.0,4.0,6.0,2.0,,,,90.0,54.0,7.9,7.0,0.0208598,1,,1.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,3.0,0.1233,0.2012,,,,,,,,,,,,,,,,,,,
11391449,home,RC Lens,Kevin Danso,danso-kevin,K. Danso,D,4,190,3440,M,794953,EUR,906163200,D,4,4,False,,41.0,35.0,5.0,5.0,19.0,22.0,16.0,19.0,4.0,8.0,4.0,4.0,,,,90.0,55.0,7.5,7.0,0.0170793,1,,,,3.0,,,6.0,2.0,,1.0,0.1425,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11391449,home,RC Lens,Facundo Medina,facundo-medina,F. Medina,D,32,184,4462,M,860307,EUR,927849600,D,14,14,False,,49.0,41.0,3.0,2.0,19.0,22.0,22.0,27.0,,2.0,6.0,,,,,90.0,62.0,6.8,13.0,0.0293107,0,,,,6.0,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,2.0,3.0,1.0,1.0,,,,,,,,
11391449,home,RC Lens,Ruben Aguilar,ruben-aguilar,R. Aguilar,M,2,172,407,M,579576,EUR,735782400,M,2,2,False,,43.0,35.0,1.0,1.0,8.0,9.0,27.0,39.0,1.0,9.0,3.0,1.0,,,,90.0,76.0,7.6,17.0,0.059597,1,,5.0,,4.0,,,1.0,,4.0,,0.0352,,3.0,,1.0,3.0,,,,1.0,3.0,3.0,2.0,,,,,,,,
11391449,home,RC Lens,Salis Abdul Samed,abdul-samed-salis,S. A. Samed,M,99,180,2025,M,993455,EUR,954028800,M,6,6,False,,20.0,16.0,,,5.0,6.0,12.0,15.0,,2.0,2.0,,,,,90.0,33.0,6.7,9.0,0.227947,0,,1.0,1.0,6.0,,,,2.0,2.0,3.0,,,1.0,,,3.0,1.0,,,1.0,,,2.0,1.0,,,,,,,
11391449,home,RC Lens,Neil El Aynaoui,neil-el-aynaoui,N. El Aynaoui,M,8,186,16055,M,1128530,EUR,994032000,M,23,23,False,,42.0,35.0,2.0,,12.0,12.0,23.0,30.0,,7.0,9.0,4.0,,,,86.0,59.0,6.8,10.0,0.0578344,3,,,2.0,12.0,1.0,,,,1.0,3.0,0.3331,0.1404,4.0,1.0,1.0,,1.0,Neil,El Aynaoui,2.0,3.0,2.0,1.0,,1.0,,,,,,
11391449,home,RC Lens,Massadio Haïdara,massadio-haidara,M. Haïdara,D,21,179,600,M,143344,EUR,723254400,M,21,21,False,,19.0,11.0,2.0,,1.0,3.0,10.0,21.0,2.0,4.0,3.0,1.0,,,,71.0,41.0,6.7,17.0,0.0827326,0,,5.0,,4.0,,,1.0,1.0,1.0,2.0,,,,,,2.0,,,,1.0,1.0,,1.0,,,,,,,,
11391449,home,RC Lens,Florian Sotoca,florian-sotoca,F. Sotoca,F,7,187,757,M,788921,EUR,656812800,F,7,7,False,,27.0,23.0,6.0,5.0,8.0,9.0,15.0,19.0,2.0,4.0,5.0,,,,,60.0,45.0,7.1,11.0,0.0205533,1,,1.0,,4.0,,,2.0,1.0,,1.0,0.0157,,,,1.0,2.0,1.0,,,2.0,3.0,2.0,,,,,,,,,
11391449,home,RC Lens,Adrien Thomasson,adrien-thomasson,A. Thomasson,M,28,177,523,M,231946,EUR,755481600,F,28,28,False,,24.0,19.0,1.0,1.0,3.0,3.0,18.0,28.0,,3.0,4.0,1.0,,,,60.0,44.0,7.7,13.0,0.44717,1,,7.0,,3.0,,,,1.0,2.0,1.0,0.0351,,2.0,,,3.0,2.0,,,,,,2.0,2.0,1.0,2.0,,,,,
11391449,home,RC Lens,Elye Wahi,elye-wahi,E. Wahi,F,11,180,3162,M,979315,EUR,1041465600,F,9,9,False,,8.0,7.0,,,2.0,2.0,5.0,6.0,,1.0,,,,,,71.0,21.0,6.2,8.0,0.0256505,2,,,1.0,5.0,,,,,,1.0,0.2176,,,1.0,2.0,4.0,,,,1.0,3.0,1.0,,,,,e.wahi7,,,,
11391449,home,RC Lens,Angelo Fulgini,angelo-fulgini,A. Fulgini,M,11,183,483,M,787540,EUR,840499200,M,11,11,True,,20.0,20.0,,,7.0,7.0,15.0,15.0,2.0,2.0,3.0,,,,,30.0,31.0,7.0,4.0,0.14413,2,,2.0,1.0,4.0,,,1.0,1.0,,,0.0966,,,,,1.0,3.0,,,2.0,1.0,,,2.0,2.0,,,1.0,,,
11391449,home,RC Lens,Morgan Guilavogui,morgan-guilavogui,M. Guilavogui,F,29,188,3076,M,990743,EUR,889488000,F,27,27,True,,22.0,17.0,,,3.0,3.0,14.0,20.0,,,2.0,,,,,30.0,26.0,6.7,9.0,0.0733146,0,,1.0,,2.0,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,MorganGuila,,,,
11391449,home,RC Lens,Deiver Machado,deiver-machado,D. Machado,M,27,179,1117,M,822110,EUR,746928000,D,3,3,True,,7.0,7.0,,,2.0,2.0,5.0,6.0,1.0,1.0,1.0,,,,,19.0,10.0,6.5,2.0,0.0127174,0,,1.0,1.0,3.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,
