match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_aerialLost,stat_wasFouled,player_firstName,player_lastName,player_sofascoreId,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_unsuccessfulTouch,stat_expectedGoals,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_errorLeadToAGoal,stat_punches,stat_bigChanceCreated,stat_totalOffside
12528089,home,Beşiktaş JK,Mert Günok,mert-gunok,M. Günok,G,34,196,4070,M,39573,EUR,604713600,G,34,34,False,True,7.0,6.0,1.0,0.0,5.0,5.0,1.0,2.0,7.0,2.0,3.0,90.0,17.0,6.8,1.0,8.501e-05,0,-0.2663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528089,home,Beşiktaş JK,Jonas Svensson,jonas-svensson,J. Svensson,D,71,170,1475,M,98199,EUR,731376000,D,2,2,False,,43.0,38.0,4.0,0.0,8.0,9.0,31.0,38.0,,,,89.0,63.0,7.2,9.0,0.162605,0,,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12528089,home,Beşiktaş JK,Gabriel Paulista,gabriel-paulista,G. Paulista,D,3,187,5352,M,124737,EUR,659577600,D,3,3,False,,46.0,41.0,2.0,0.0,16.0,17.0,25.0,29.0,3.0,,,90.0,58.0,7.3,5.0,0.0172809,0,,2.0,,,,3.0,,,,,,,3.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,,,
12528089,home,Beşiktaş JK,Felix Uduokhai,felix-uduokhai,F. Uduokhai,D,14,193,1725,M,792142,EUR,873763200,D,14,14,False,,52.0,49.0,2.0,0.0,11.0,11.0,38.0,41.0,2.0,,,89.0,59.0,7.0,3.0,0.0232837,0,,1.0,,,1.0,3.0,,,1.0,,,,2.0,3.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12528089,home,Beşiktaş JK,Arthur Masuaku,arthur-masuaku,A. Masuaku,D,27,179,10350,M,174975,EUR,752630400,D,26,26,False,,54.0,46.0,3.0,1.0,10.0,11.0,37.0,47.0,6.0,,,90.0,85.0,7.8,15.0,0.201335,2,,1.0,4.0,1.0,6.0,10.0,8.0,7.0,1.0,1.0,1.0,4.0,1.0,1.0,,1.0,2.0,1.0,,,masuaku26,1.0,1.0,2.0,2.0,0.0831,,,,,,,,
12528089,home,Beşiktaş JK,Gedson Fernandes,gedson-fernandes,G. Fernandes,M,83,184,5232,M,862055,EUR,915840000,M,83,83,False,,65.0,58.0,4.0,0.0,22.0,22.0,36.0,43.0,6.0,,,90.0,86.0,7.5,11.0,0.107355,3,,3.0,,,8.0,10.0,5.0,4.0,4.0,3.0,1.0,3.0,,1.0,,,1.0,2.0,,,gedson_83,4.0,1.0,1.0,1.0,0.1092,2.0,,,,,,,
12528089,home,Beşiktaş JK,Amir Hadžiahmetović,amir-hadziahmetovic,A. Hadžiahmetović,M,20,179,1356,M,795421,EUR,857779200,M,6,6,False,,70.0,62.0,9.0,0.0,19.0,19.0,43.0,55.0,10.0,,,90.0,85.0,7.4,14.0,0.055947,1,,5.0,4.0,,3.0,4.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,1.0,0.038,,1.0,0.1541,,,,,
12528089,home,Beşiktaş JK,Keny Arroyo,arroyo-keny,K. Arroyo,M,99,176,6018,M,1482431,EUR,1139875200,M,10,10,False,,18.0,14.0,,0.0,2.0,2.0,12.0,23.0,1.0,,,53.0,38.0,6.5,15.0,0.0219153,4,,,7.0,,4.0,5.0,2.0,1.0,,,,,3.0,1.0,,,1.0,1.0,Keny Arroyo,,,1.0,1.0,4.0,2.0,0.341,,,,,,,,
12528089,home,Beşiktaş JK,Rafa Silva,rafa-silva,R. Silva,M,27,170,17005,M,252577,EUR,737596800,M,27,27,False,,52.0,40.0,1.0,0.0,7.0,8.0,33.0,44.0,6.0,,,90.0,77.0,7.2,23.0,0.274654,4,,1.0,,,7.0,8.0,6.0,3.0,1.0,1.0,1.0,3.0,,,,,1.0,4.0,,,Rafa_Silva,2.0,1.0,,7.0,0.1983,4.0,,,,,,,
12528089,home,Beşiktaş JK,Ernest Muçi,ernest-muci,E. Muçi,M,10,180,5691,M,924670,EUR,984960000,M,23,23,False,,24.0,23.0,,0.0,9.0,9.0,14.0,15.0,,,,81.0,33.0,6.9,1.0,0.0132948,3,,,,,1.0,3.0,1.0,1.0,,,,,,,,1.0,,2.0,,,ernest_muci,1.0,,1.0,,0.1819,1.0,1.0,0.0551,,,,,
