match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_lastName,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_outfielderBlock,stat_wasFouled,stat_goalAssist,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_totalOffside,captain,stat_blockedScoringAttempt,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_penaltyWon,stat_penaltyMiss
12189919,home,Miami United,Cristian Blanco,Cristian Blanco,cristian-blanco,C. Blanco,G,1,182.0,1,M,1825297,EUR,691459200.0,G,1,1,False,26.0,16.0,13.0,3.0,15.0,19.0,1.0,7.0,14.0,3.0,2.0,1.0,1.0,4.0,90.0,40.0,8.1,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12189919,home,Miami United,Sebastián Luzuriaga,Sebastián Luzuriaga,sebastian-luzuriaga,S. Luzuriaga,D,4,175.0,3,M,1823895,EUR,832204800.0,D,30,30,False,23.0,15.0,7.0,1.0,8.0,8.0,8.0,20.0,,,,,,,90.0,51.0,7.0,18.0,1,5.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,6.0,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
12189919,home,Miami United,Frank Fraggetti,Frank Fraggetti,frank-fraggetti,F. Fraggetti,M,21,,0,M,1480546,EUR,951350400.0,D,21,21,False,24.0,21.0,6.0,3.0,14.0,14.0,7.0,10.0,6.0,,,,,,71.0,33.0,6.0,4.0,0,,,,,2.0,1.0,,,,,5.0,,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12189919,home,Miami United,Alejandro Callejas,Alejandro Callejas,alejandro-callejas,A. Callejas,D,6,,0,M,1480545,EUR,861840000.0,D,6,6,False,39.0,36.0,6.0,4.0,29.0,30.0,7.0,9.0,3.0,,,,,,75.0,44.0,7.0,3.0,1,,,1.0,,3.0,1.0,2.0,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,
12189919,home,Miami United,Josduard Serrano,Josduard,josduard-serrano,J. Serrano,D,22,,1,M,983022,EUR,,D,22,22,False,35.0,29.0,5.0,3.0,19.0,22.0,10.0,13.0,5.0,,,,,,81.0,45.0,7.1,9.0,0,,,,,3.0,1.0,,1.0,,,2.0,,,1.0,1.0,Serrano,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,
12189919,home,Miami United,José Aguinaga,José,jose-aguinaga,J. Aguinaga,M,11,178.0,1,M,983725,EUR,800150400.0,M,11,11,False,25.0,21.0,6.0,3.0,7.0,8.0,14.0,19.0,4.0,,,,,,90.0,38.0,7.4,9.0,1,2.0,,,,2.0,6.0,1.0,1.0,1.0,,,,2.0,,2.0,Aguinaga,3.0,2.0,,1.0,2.0,,1.0,,1.0,,,,,,,,,,,
12189919,home,Miami United,Daniel Daza,Daniel,daniel-daza,D. Daza,M,5,172.0,2,M,931650,EUR,778118400.0,M,5,5,False,37.0,28.0,10.0,5.0,18.0,20.0,10.0,17.0,3.0,,,,,,75.0,46.0,6.9,13.0,0,,,,,3.0,4.0,1.0,2.0,1.0,,1.0,,2.0,1.0,1.0,Daza,3.0,3.0,,,,,,,,,,,,,,,,,,
12189919,home,Miami United,Santiago Frean,Santiago Frean,santiago-frean,S. Frean,M,19,,4,M,1825346,EUR,629683200.0,M,33,33,False,25.0,17.0,3.0,1.0,9.0,13.0,10.0,20.0,3.0,,,,,,81.0,40.0,7.1,15.0,1,8.0,2.0,1.0,2.0,2.0,5.0,,,,1.0,1.0,,1.0,1.0,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,
12189919,home,Miami United,Jhon Freddy Pajoy,Jhon,jhon-freddy-pajoy,J. F. Pajoy,M,8,175.0,22,M,47243,EUR,595123200.0,M,19,19,False,15.0,11.0,2.0,,8.0,8.0,3.0,7.0,,,,,,,90.0,32.0,7.1,9.0,3,,,1.0,,7.0,3.0,1.0,4.0,,1.0,2.0,,,,1.0,Freddy Pajoy,1.0,1.0,,,2.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,
12189919,home,Miami United,Robertino Insúa,Robertino,robertino-insua,R. Insúa,M,10,170.0,4,M,859959,EUR,764812800.0,F,10,10,False,24.0,19.0,6.0,4.0,7.0,9.0,12.0,16.0,5.0,,,,,,90.0,44.0,7.3,11.0,5,1.0,,1.0,,12.0,8.0,2.0,4.0,3.0,,,,2.0,7.0,2.0,Insúa,5.0,4.0,,1.0,,,1.0,,2.0,1.0,,,,True,3.0,,,,,
