match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_shotOffTarget,stat_hitWoodwork,stat_totalClearance,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_bigChanceMissed,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_dispossessed,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_outfielderBlock,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
12437709,home,Atlético Madrid,Jan Oblak,jan-oblak,J. Oblak,G,13,189,12131,M,oblakjan,69768,EUR,726364800,G,13,13,False,20.0,17.0,7.0,4.0,0.0,13.0,13.0,4.0,7.0,4.0,1.0,1.0,1.0,90.0,25.0,7.2,3.0,0.00056429,0,0.0721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437709,home,Atlético Madrid,Marcos Llorente,marcos-llorente,M. Llorente,D,14,184,9206,M,marcosllorente,353138,EUR,791424000,D,14,14,False,57.0,48.0,4.0,2.0,0.0,28.0,31.0,24.0,30.0,8.0,,,,90.0,86.0,7.7,12.0,0.364296,1,,4.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0162,4.0,,,,,,,,,,,,,,,,,,,,,
12437709,home,Atlético Madrid,Robin Le Normand,robin-le-normand,R. Le Normand,D,24,187,6479,M,lenormand_r,787751,EUR,847670400,D,24,24,False,72.0,60.0,10.0,2.0,0.0,37.0,41.0,23.0,31.0,5.0,,,,90.0,83.0,7.0,12.0,0.00511169,1,,,,1.0,4.0,5.0,,1.0,,3.0,,1.0,3.0,0.1829,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12437709,home,Atlético Madrid,José María Giménez,jose-maria-gimenez,J. M. Giménez,D,2,185,5874,M,JoseMaGimenez13,325355,EUR,790560000,D,2,2,False,70.0,66.0,10.0,6.0,0.0,43.0,45.0,23.0,25.0,3.0,,,,90.0,81.0,7.3,4.0,0.0108557,1,,,,,1.0,3.0,,1.0,,4.0,,1.0,1.0,0.0548,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
12437709,home,Atlético Madrid,César Azpilicueta,cesar-azpilicueta,C. Azpilicueta,D,3,178,4642,M,Dave,21555,EUR,620265600,D,3,3,False,45.0,38.0,6.0,3.0,0.0,27.0,29.0,11.0,16.0,2.0,,,,77.0,55.0,7.0,8.0,0.188548,0,,,,,1.0,5.0,,,,,1.0,,,,,2.0,1.0,,,,3.0,1.0,,,,,,,,,,,,,,
12437709,home,Atlético Madrid,Samuel Lino,samuel-lino,S. Lino,M,16,178,22125,M,osamuellino,874705,EUR,945907200,D,12,12,False,31.0,28.0,1.0,1.0,1.0,16.0,16.0,14.0,18.0,4.0,,,,67.0,51.0,7.4,9.0,0.134208,3,,3.0,2.0,,4.0,4.0,2.0,2.0,,,2.0,,,0.3746,2.0,,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,
12437709,home,Atlético Madrid,Rodrigo de Paul,rodrigo-de-paul,R. de Paul,M,7,180,54582,M,RodridePaul,249399,EUR,769737600,M,5,5,False,42.0,35.0,3.0,3.0,1.0,11.0,12.0,25.0,34.0,3.0,,,,61.0,56.0,7.4,15.0,0.52286,0,,4.0,1.0,,3.0,2.0,1.0,,,,3.0,2.0,,,2.0,,2.0,,,,,,,,,,1.0,,,,,,,,,
12437709,home,Atlético Madrid,Koke,koke,Koke,M,6,177,5822,M,Koke6,84539,EUR,694828800,M,6,6,False,65.0,55.0,7.0,1.0,0.0,30.0,35.0,26.0,31.0,7.0,,,,90.0,72.0,6.4,11.0,0.384311,0,,1.0,1.0,1.0,5.0,,,,,1.0,1.0,,2.0,,1.0,,2.0,,,,,,,,,,,True,,,,,,,,
12437709,home,Atlético Madrid,Conor Gallagher,conor-gallagher,C. Gallagher,M,22,182,16658,M,conorgallagher92,904970,EUR,949795200,M,4,4,False,35.0,29.0,2.0,1.0,0.0,12.0,14.0,17.0,23.0,3.0,,,,90.0,52.0,7.8,11.0,0.00991574,1,,2.0,,2.0,5.0,8.0,,,,2.0,1.0,2.0,1.0,0.6633,,2.0,,1.0,,,4.0,3.0,,,,,1.0,,1.0,1.0,0.8569,,,,,
12437709,home,Atlético Madrid,Antoine Griezmann,antoine-griezmann,A. Griezmann,F,7,176,100258,M,AGriez,85859,EUR,669513600,F,7,7,False,36.0,29.0,2.0,2.0,0.0,10.0,11.0,23.0,37.0,2.0,,,,76.0,62.0,8.1,21.0,0.386327,2,,12.0,4.0,,,2.0,,1.0,,1.0,6.0,,,0.6604,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,0.8841,1.0,,,,
