match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_aerialLost,stat_challengeLost,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_dispossessed,stat_outfielderBlock,stat_bigChanceCreated,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_punches
12421037,home,KV Kortrijk,Patrik Sigurdur Gunnarsson,,,patrik-sigurdur-gunnarsson,P. S. Gunnarsson,G,31,188.0,108,M,879496,EUR,974246400,G,31,31,False,27.0,19.0,11.0,3.0,0.0,17.0,18.0,2.0,9.0,9.0,1.0,1.0,1.0,90.0,39.0,6.6,8.0,0.00061572,0,-0.0397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421037,home,KV Kortrijk,Haruya Fujii,,,fujii-haruya,H. Fujii,D,13,186.0,241,M,929608,EUR,977788800,D,24,24,False,78.0,64.0,13.0,7.0,0.0,41.0,42.0,24.0,37.0,4.0,,,,90.0,95.0,7.7,16.0,0.0710213,2,,1.0,1.0,3.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,0.138,0.1364,1.0,,,,,,,,,,,,
12421037,home,KV Kortrijk,João Silva,,,joao-silva,J. Silva,D,6,187.0,281,M,1068519,EUR,916272000,D,44,44,False,72.0,63.0,8.0,5.0,0.0,39.0,42.0,24.0,30.0,7.0,,,,90.0,84.0,7.9,10.0,0.0285696,2,,,,5.0,4.0,8.0,1.0,1.0,,1.0,4.0,2.0,1.0,,1.0,1.0,,0.2514,0.5535,,True,3.0,1.0,1.0,1.0,1.0,,,,,,
12421037,home,KV Kortrijk,Bram Lagae,Bram,Lagae,bram-lagae,B. Lagae,D,4,183.0,177,M,1126688,EUR,1074038400,D,26,26,False,74.0,57.0,17.0,9.0,0.0,30.0,33.0,27.0,41.0,4.0,,,,90.0,91.0,7.0,22.0,0.0129429,0,,,,5.0,3.0,7.0,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,
12421037,home,KV Kortrijk,Gilles Dewaele,,,gilles-dewaele,G. Dewaele,D,20,180.0,52,M,285943,EUR,824169600,M,20,20,False,25.0,21.0,1.0,1.0,0.0,11.0,13.0,10.0,14.0,,,,,70.0,36.0,6.4,8.0,0.0120195,0,,2.0,,,6.0,,,,,,,,,,1.0,,1.0,,,,,5.0,,,,,,,,,,
12421037,home,KV Kortrijk,Massimo Bruno,,,massimo-bruno,M. Bruno,M,17,177.0,60,M,94298,EUR,748224000,M,17,17,False,24.0,20.0,1.0,1.0,0.0,5.0,6.0,15.0,19.0,1.0,,,,63.0,41.0,6.9,8.0,0.0316198,1,,1.0,,1.0,5.0,7.0,2.0,2.0,1.0,,,,3.0,1.0,1.0,1.0,1.0,0.0154,,,,2.0,,,,,2.0,1.0,,,,
12421037,home,KV Kortrijk,Tomoki Takamine,,,takamine-tomoki,T. Takamine,M,31,177.0,78,M,981064,EUR,883353600,M,23,23,False,45.0,40.0,8.0,7.0,0.0,15.0,15.0,25.0,31.0,3.0,,,,70.0,52.0,6.9,8.0,0.0487215,2,,1.0,,,2.0,1.0,,,1.0,,1.0,,,,2.0,1.0,1.0,0.1482,,,,,1.0,1.0,,,,,,,,
12421037,home,KV Kortrijk,Abdelkahar Kadri,,,abdelkahar-kadri,A. Kadri,M,37,170.0,2010,M,1007528,EUR,961804800,M,10,10,False,38.0,34.0,3.0,3.0,1.0,8.0,8.0,31.0,40.0,4.0,,,,81.0,64.0,8.1,15.0,0.491823,1,,10.0,5.0,,3.0,6.0,3.0,1.0,1.0,,,1.0,3.0,1.0,2.0,2.0,,0.0434,,4.0,,,,,,,1.0,,1.0,,,
12421037,home,KV Kortrijk,Dion De Neve,,,dion-de-neve,D. D. Neve,M,14,180.0,102,M,923974,EUR,992304000,M,11,11,False,27.0,25.0,,,0.0,3.0,5.0,23.0,33.0,3.0,,,,90.0,55.0,6.8,17.0,0.231888,0,,11.0,1.0,1.0,5.0,4.0,3.0,1.0,,,1.0,,2.0,,3.0,,,,,1.0,,2.0,1.0,,,,,,,,,
12421037,home,KV Kortrijk,Takuro Kaneko,,,kaneko-takuro,T. Kaneko,M,77,178.0,740,M,980430,EUR,870220800,F,30,30,False,11.0,9.0,,,0.0,3.0,3.0,6.0,11.0,1.0,,,,63.0,23.0,6.9,8.0,0.00743534,1,,3.0,,1.0,4.0,2.0,,,,,,,,,2.0,1.0,2.0,0.0356,,2.0,,2.0,,1.0,,,,,,,,
