match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_aerialLost,stat_outfielderBlock,stat_wasFouled,stat_dispossessed,stat_onTargetScoringAttempt,stat_challengeLost,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_totalOffside,player_sofascoreId,stat_blockedScoringAttempt,stat_errorLeadToAShot
10408443,home,Getafe,David Soria,david-soria,D. Soria,G,13,192,676,M,604258,EUR,733881600,G,13,13,False,34.0,18.0,33.0,17.0,2.0,3.0,16.0,31.0,1.0,20.0,1.0,4.0,9.0,1.0,1.0,90.0,47.0,8.1,16.0,0.0,0.0,0.0218497,1.0,0,0.8836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408443,home,Getafe,Djené,djene,Djené,D,2,178,2527,M,307702,EUR,694137600,D,2,2,False,26.0,14.0,2.0,1.0,6.0,12.0,9.0,15.0,1.0,9.0,,,,,,48.0,36.0,6.2,12.0,0.061,0.0,0.0709709,1.0,1,,True,1.0,1.0,2.0,1.0,8.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
10408443,home,Getafe,Domingos Duarte,domingos-duarte,D. Duarte,D,22,191,695,M,576276,EUR,794793600,D,6,6,False,37.0,28.0,14.0,9.0,17.0,20.0,11.0,17.0,2.0,10.0,,,,,,90.0,46.0,6.9,9.0,0.0,0.0,0.0179615,,0,,,,,1.0,2.0,2.0,,,,3.0,,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,
10408443,home,Getafe,Omar Alderete,omar-alderete,O. Alderete,D,15,187,5163,M,805137,EUR,851558400,D,15,15,False,41.0,28.0,8.0,4.0,14.0,15.0,14.0,26.0,2.0,6.0,,,,,,90.0,63.0,7.3,17.0,0.168,0.1207,0.0309556,,4,,,,,7.0,6.0,13.0,2.0,2.0,3.0,,3.0,3.0,2.0,,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10408443,home,Getafe,Damián Suárez,damian-suarez,D. Suárez,D,22,172,368,M,36982,EUR,578102400,M,22,22,False,13.0,7.0,5.0,3.0,1.0,4.0,9.0,13.0,1.0,5.0,,,,,,45.0,34.0,7.1,10.0,0.0,0.0,0.156122,3.0,0,,,4.0,3.0,,5.0,6.0,3.0,2.0,,,2.0,2.0,2.0,,,1.0,,2.0,,,1.0,2.0,,,,,,,,
10408443,home,Getafe,Nemanja Maksimović,nemanja-maksimovic,N. Maksimović,M,88,184,1287,M,331449,EUR,791078400,M,20,20,False,24.0,19.0,,,11.0,12.0,8.0,12.0,,4.0,,,,,,65.0,29.0,6.0,5.0,0.1988,0.0,0.0193258,,1,,,,,4.0,5.0,5.0,1.0,1.0,1.0,1.0,,,3.0,,,,,,,,2.0,,1.0,,,,,,,
10408443,home,Getafe,Luis Milla,luis-milla,L. Milla,M,5,175,1429,M,811629,EUR,781488000,M,5,5,False,21.0,19.0,6.0,5.0,7.0,8.0,12.0,14.0,2.0,2.0,,,,,,42.0,26.0,6.7,3.0,0.0,0.0,0.0281986,1.0,0,,,1.0,,,5.0,2.0,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,3.0,,,,,,,,,
10408443,home,Getafe,Portu,portu,Portu,F,8,167,868,M,218616,EUR,706406400,M,9,9,False,38.0,26.0,2.0,1.0,5.0,5.0,22.0,41.0,,3.0,,,,,,89.0,66.0,7.6,24.0,0.0246,0.0225,0.476613,3.0,1,,,8.0,1.0,3.0,2.0,6.0,2.0,1.0,,,2.0,2.0,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,
10408443,home,Getafe,Borja Mayoral,borja-mayoral,B. Mayoral,F,9,182,2532,M,604954,EUR,860198400,F,19,19,False,26.0,21.0,2.0,,3.0,5.0,20.0,24.0,,2.0,,,,,,90.0,38.0,7.6,9.0,0.421,0.8618,0.686307,3.0,2,,,3.0,2.0,,6.0,2.0,2.0,1.0,,1.0,,,,,,4.0,,1.0,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,
10408443,home,Getafe,Enes Ünal,enes-unal,E. Ünal,F,26,185,3634,M,336655,EUR,863222400,F,10,10,False,24.0,13.0,1.0,,1.0,1.0,12.0,23.0,2.0,2.0,,,,,,90.0,41.0,7.1,15.0,0.4144,0.8553,0.0666732,1.0,6,,,,,15.0,13.0,17.0,4.0,1.0,,,1.0,1.0,1.0,,,7.0,,,,4.0,2.0,1.0,,,,,1.0,EnesUnal16,2.0,
