match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_blockedScoringAttempt,stat_totalClearance,stat_fouls,stat_totalTackle,stat_dispossessed,stat_totalContest,stat_wonContest,stat_wonTackle,stat_wasFouled,stat_shotOffTarget,stat_outfielderBlock,captain,stat_onTargetScoringAttempt,stat_goals,stat_accurateCross,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_punches,stat_ownGoals
10385530,home,Manchester City,Ederson,ederson,Ederson,G,31,188,48699,M,Ederson93,254491,EUR,745545600,G,31,31,False,13.0,12.0,2.0,1.0,12.0,12.0,1.0,4.0,1.0,1.0,90.0,18.0,7.2,1.0,0.0,0.0,9.558e-05,0,0.1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385530,home,Manchester City,Kyle Walker,kyle-walker,K. Walker,D,2,183,26779,M,KyleWalker2,44614,EUR,643852800,D,2,2,False,80.0,75.0,7.0,3.0,22.0,22.0,59.0,2.0,,,82.0,88.0,7.0,8.0,0.0,0.0,0.0465718,0,,,,53.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10385530,home,Manchester City,Rúben Dias,ruben-dias,R. Dias,D,3,188,40519,M,RúbenD,318941,EUR,863568000,D,3,3,False,62.0,56.0,3.0,1.0,21.0,21.0,41.0,3.0,,,64.0,73.0,6.9,6.0,0.0053,0.0,0.00979184,1,,,,35.0,,2.0,3.0,2.0,,2.0,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10385530,home,Manchester City,Nathan Aké,nathan-ake,N. Aké,D,6,180,21292,M,nathanake,149663,EUR,793065600,D,6,6,False,89.0,86.0,,,39.0,39.0,50.0,5.0,,,90.0,99.0,6.9,4.0,0.0728,0.0,0.0199882,2,,,,47.0,,,2.0,1.0,1.0,,1.0,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
10385530,home,Manchester City,João Cancelo,joao-cancelo,J. Cancelo,D,2,182,90478,M,JCancelo,138892,EUR,769996800,D,7,7,False,93.0,84.0,2.0,1.0,27.0,29.0,67.0,5.0,,,90.0,114.0,7.2,18.0,0.0378,0.0,0.0703767,1,,,,57.0,3.0,3.0,7.0,8.0,2.0,,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,
10385530,home,Manchester City,Rodri,rodri,Rodri,M,16,191,88553,M,Rodri,827606,EUR,835401600,M,16,16,False,98.0,92.0,6.0,5.0,14.0,15.0,83.0,5.0,,,90.0,104.0,7.2,7.0,0.1435,0.0,0.169338,2,,,,78.0,,1.0,2.0,2.0,,,,,,,,1.0,,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,
10385530,home,Manchester City,İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,180,51151,M,IGunny,45853,EUR,656726400,M,8,8,False,38.0,34.0,2.0,2.0,8.0,8.0,30.0,6.0,,,65.0,49.0,7.6,8.0,0.512,0.9241,0.063148,2,,,,26.0,,2.0,4.0,6.0,1.0,,1.0,3.0,,,,,2.0,1.0,2.0,,2.0,2.0,1.0,,True,1.0,1.0,,,,,,,,
10385530,home,Manchester City,Riyad Mahrez,riyad-mahrez,R. Mahrez,M,7,179,70808,M,RMahrez,158213,EUR,667094400,M,26,26,False,70.0,65.0,8.0,7.0,13.0,13.0,63.0,5.0,,,90.0,86.0,7.7,10.0,0.0857,0.1714,0.182044,3,,,,54.0,6.0,,1.0,4.0,1.0,,1.0,2.0,,1.0,,,1.0,,1.0,1.0,,2.0,1.0,,,1.0,,2.0,1.0,,,,,,
10385530,home,Manchester City,Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,317675,M,KDB,70996,EUR,678067200,M,17,17,False,47.0,46.0,2.0,2.0,8.0,8.0,50.0,1.0,,,90.0,73.0,9.5,10.0,0.1987,0.6599,0.585145,4,,,,42.0,11.0,,3.0,5.0,,,,5.0,2.0,1.0,,,,1.0,4.0,4.0,,1.0,1.0,,,2.0,1.0,4.0,,1.0,1.0,,,,
10385530,home,Manchester City,Phil Foden,phil-foden,P. Foden,M,47,171,175652,M,Foden,859765,EUR,959472000,M,47,47,False,29.0,26.0,2.0,1.0,7.0,8.0,26.0,2.0,,,45.0,41.0,8.0,4.0,0.5433,1.2569,0.0800882,2,,,,23.0,5.0,,,1.0,,1.0,,2.0,,,,,1.0,,,,,,,,,2.0,1.0,4.0,,1.0,,1.0,,,
