match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_aerialLost,stat_duelLost,stat_outfielderBlock,stat_interceptionWon,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalCross,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_keyPass,captain,stat_challengeLost,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,player_firstName,stat_accurateCross,stat_dispossessed,stat_errorLeadToAGoal,stat_bigChanceCreated,stat_penaltyWon,stat_goals,stat_totalOffside,stat_lastManTackle,stat_goodHighClaim,stat_penaltyFaced,player_lastName,stat_penaltyConceded
14566597,home,Real Madrid,Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,200,201925,M,TheOctopus,70988,EUR,705542400,G,1,1,False,27.0,18.0,13.0,4.0,0.0,15.0,16.0,3.0,11.0,1.0,7.0,1.0,4.0,2.0,2.0,90.0,36.0,6.3,9.0,0.0005022,21.744,5.28228,0.0,0.2077,0,-0.5257,0.04,0.08,-0.07,-0.34,3.66,1.43,0.16,0.04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566597,home,Real Madrid,Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,211619,M,TrentAA,795064,EUR,907718400,D,12,12,False,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,,,,,,,5.0,3.0,,,0.00029547,27.9,0.38579,1.0,,0,,,,,,0.08,0.18,0.05,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566597,home,Real Madrid,Éder Militão,eder-militao,É. Militão,D,3,186,139875,M,EMilitão,822519,EUR,885081600,D,3,3,False,30.0,29.0,1.0,1.0,0.0,16.0,16.0,13.0,14.0,5.0,5.0,,,,,90.0,40.0,6.2,3.0,0.0054107,29.376,9.33557,10.0,,0,,0.06,0.11,-0.11,,3.19,4.41,1.02,0.51,0.2,2.0,5.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566597,home,Real Madrid,Dean Huijsen,dean-huijsen,D. Huijsen,D,24,195,161561,M,deanhuijsen,1176744,EUR,1113436800,D,24,24,False,53.0,44.0,8.0,5.0,0.0,25.0,27.0,19.0,26.0,4.0,3.0,,,,,90.0,62.0,7.3,9.0,0.0207641,28.008,10.22411,8.0,,2,,0.22,0.06,-0.02,,2.96,4.9,1.59,0.61,0.18,,,,1.0,,,,1.0,3.0,1.0,1.0,2.0,0.1011,0.406,0.08,,,,,,,,,,,,,,,,,,,,,,,,
14566597,home,Real Madrid,Álvaro Carreras,alvaro-carreras,Á. Carreras,D,18,186,80889,M,,1085081,EUR,1048377600,D,18,18,False,28.0,22.0,1.0,,0.0,12.0,12.0,10.0,16.0,3.0,7.0,,,,,90.0,57.0,6.8,12.0,0.0440992,31.824,10.05677,19.0,,0,,0.21,0.34,-0.06,,3.37,4.19,1.39,0.7,0.41,1.0,5.0,1.0,1.0,,2.0,2.0,1.0,6.0,,,2.0,,,,1.0,3.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
14566597,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375067,M,Fede,831808,EUR,901065600,M,8,8,False,51.0,45.0,3.0,1.0,0.0,11.0,12.0,34.0,39.0,3.0,3.0,,,,,90.0,59.0,7.0,10.0,0.168345,29.196,11.25519,9.0,,0,,0.41,0.07,-0.01,,2.96,5.83,1.7,0.57,0.19,2.0,3.0,,,,2.0,,2.0,3.0,,,,,,,1.0,1.0,,1.0,1.0,2.0,True,,,,,,,,,,,,,,,,,
14566597,home,Real Madrid,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,188,145314,M,ATchouaméni,859025,EUR,948931200,M,14,14,False,56.0,51.0,2.0,1.0,0.0,11.0,11.0,40.0,45.0,,5.0,,,,,90.0,66.0,6.5,7.0,0.0528716,26.712,11.10916,5.0,,1,,0.33,0.13,-0.11,,2.98,5.45,1.99,0.59,0.1,,5.0,,5.0,,,2.0,,,,1.0,,0.0185,0.075,0.0,,1.0,,,,3.0,,2.0,,,,,,,,,,,,,,,,
14566597,home,Real Madrid,Franco Mastantuono,franco-mastantuono,F. Mastantuono,M,30,177,178940,M,franco.mastantuono,1403559,EUR,1187049600,M,30,30,False,16.0,9.0,1.0,,0.0,,2.0,9.0,14.0,,3.0,,,,,63.0,37.0,6.8,12.0,0.0646744,29.268,7.17835,8.0,,6,,0.11,0.48,-0.05,,2.22,3.09,1.18,0.52,0.16,1.0,6.0,,,,1.0,1.0,,6.0,2.0,3.0,1.0,0.751,0.617,0.02,,7.0,3.0,2.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,
14566597,home,Real Madrid,Arda Güler,arda-guler,A. Güler,M,15,176,398152,M,AGüler,1091116,EUR,1109289600,M,15,15,False,37.0,34.0,5.0,5.0,0.0,3.0,4.0,31.0,33.0,,4.0,,,,,73.0,55.0,6.1,12.0,0.10202,25.884,9.18235,1.0,,2,,0.06,0.05,-0.45,,2.09,5.16,1.56,0.34,0.04,1.0,7.0,,,,1.0,,,4.0,1.0,1.0,3.0,0.1107,0.0672,-0.46,5.0,2.0,,1.0,1.0,2.0,,1.0,,,,Arda Guler,2.0,3.0,1.0,,,,,,,,,
14566597,home,Real Madrid,Rodrygo,rodrygo,Rodrygo,F,11,174,704705,M,Rodrygo,910536,EUR,978998400,M,11,11,False,20.0,17.0,,,0.0,2.0,3.0,15.0,17.0,1.0,3.0,,,,,63.0,37.0,7.8,7.0,0.252917,27.54,7.5428,6.0,,3,,0.42,0.79,-0.09,,2.12,3.46,1.29,0.55,0.12,,3.0,,1.0,,1.0,,,5.0,1.0,2.0,2.0,0.1549,0.1695,-0.52,1.0,3.0,2.0,1.0,1.0,3.0,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,
14566597,home,Real Madrid,Kylian Mbappé,kylian-mbappe,K. Mbappé,F,10,178,1752512,M,KMbappé,826643,EUR,914112000,F,10,10,False,29.0,25.0,1.0,,0.0,2.0,3.0,23.0,26.0,,1.0,,,,,90.0,48.0,8.1,7.0,0.462277,27.612,9.13401,8.0,,10,,0.21,0.33,-0.06,,3.62,3.88,1.06,0.44,0.13,2.0,6.0,,,,,,,5.0,2.0,5.0,1.0,2.2422,2.1217,0.48,,6.0,4.0,,,6.0,,1.0,1.0,3.0,1.0,,,1.0,,1.0,,2.0,1.0,,,,,
