match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_dispossessed,stat_interceptionWon,stat_fouls,stat_keyPass,stat_dribbleValueNormalized,stat_aerialLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_penaltyWon,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_blockedScoringAttempt,captain,stat_shotOffTarget,player_sofascoreId,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork
14083109,home,Deportivo Alavés,Antonio Sivera,antonio-sivera,A. Sivera,G,1,184.0,563,M,369004,EUR,839721600,G,1,1,False,34.0,17.0,29.0,12.0,0.0,5.0,5.0,12.0,29.0,1.0,1.0,3.0,7.0,1.0,5.0,5.0,2.0,1.0,1.0,90.0,44.0,7.5,17.0,0.00264896,0.9686,0,1.3316,0.06,-0.25,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083109,home,Deportivo Alavés,Jonny Otto,jonny-otto,J. Otto,D,17,175.0,572,M,235648,EUR,762652800,D,17,17,False,51.0,45.0,4.0,,0.0,24.0,24.0,21.0,27.0,1.0,1.0,3.0,2.0,,,,,,,90.0,62.0,6.5,7.0,0.00830749,,0,,0.11,-0.04,,3.0,1.0,1.0,2.0,1.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083109,home,Deportivo Alavés,Facundo Garcés,facundo-garces,F. Garcés,D,2,191.0,1959,M,879875,EUR,936489600,D,2,2,False,27.0,24.0,1.0,,0.0,20.0,21.0,4.0,6.0,2.0,4.0,9.0,1.0,,,,,,,90.0,40.0,6.8,4.0,0.00079928,,0,,0.0,-0.03,,1.0,,,,,0.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
14083109,home,Deportivo Alavés,Nahuel Tenaglia,nahuel-tenaglia,N. Tenaglia,D,14,182.0,1025,M,896073,EUR,824860800,D,14,14,False,35.0,26.0,8.0,1.0,0.0,14.0,15.0,12.0,20.0,1.0,6.0,8.0,1.0,,,,,,,90.0,54.0,6.9,9.0,0.00340303,,0,,-0.08,-0.06,,6.0,,1.0,1.0,,0.03,4.0,1.0,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14083109,home,Deportivo Alavés,Moussa Diarra,diarra-moussa,M. Diarra,D,93,183.0,821,M,985262,EUR,973814400,D,22,22,False,19.0,12.0,2.0,,0.0,3.0,5.0,9.0,14.0,,2.0,1.0,4.0,,,,,,,58.0,41.0,6.0,14.0,0.0364579,,0,,0.18,-0.35,,6.0,1.0,1.0,1.0,1.0,0.0,,,1.0,,2.0,1.0,,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,
14083109,home,Deportivo Alavés,Carlos Vicente,vicente-carlos,C. Vicente,M,23,179.0,1926,M,1084399,EUR,924825600,M,7,7,False,35.0,32.0,2.0,1.0,0.0,12.0,13.0,20.0,22.0,,7.0,,4.0,,,,,,,90.0,53.0,7.2,10.0,0.213535,,1,,0.18,-0.05,,8.0,1.0,,1.0,,0.01,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,1.0,,5.0,3.0,,,1.0,1.0,0.7884,0.7423,0.32,,,,,,,,,,
14083109,home,Deportivo Alavés,Pablo Ibáñez,pablo-ibanez-lumbreras,P. Ibáñez,M,19,179.0,350,M,1084381,EUR,883612800,M,19,19,False,36.0,31.0,4.0,2.0,0.0,12.0,14.0,19.0,22.0,,5.0,1.0,3.0,,,,,,,79.0,54.0,6.7,10.0,0.0138019,,1,,0.02,-0.02,,5.0,1.0,1.0,,,0.18,2.0,,2.0,4.0,,1.0,1.0,,,,2.0,,,,,,0.06,,-0.17,1.0,,,,,,,,,
14083109,home,Deportivo Alavés,Antonio Blanco,antonio-blanco,A. Blanco,M,8,176.0,1655,M,855832,EUR,964310400,M,8,8,False,44.0,36.0,3.0,1.0,0.0,15.0,17.0,21.0,27.0,3.0,10.0,2.0,7.0,,,,,,,90.0,61.0,7.3,12.0,0.0148806,,1,,0.1,0.19,,2.0,1.0,,,,0.09,,,1.0,1.0,,5.0,4.0,,1.0,,2.0,1.0,,,1.0,,0.0263,0.0201,-0.06,,True,,,,,,,,
14083109,home,Deportivo Alavés,Carles Aleñá,carles-alena,C. Aleñá,M,10,180.0,1587,M,794937,EUR,883958400,M,10,10,False,33.0,28.0,4.0,2.0,0.0,7.0,9.0,21.0,24.0,,5.0,2.0,9.0,,,,,,,90.0,56.0,7.2,11.0,0.0661988,,0,,0.29,0.28,,3.0,1.0,1.0,1.0,1.0,0.15,1.0,,3.0,2.0,,3.0,2.0,,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,
14083109,home,Deportivo Alavés,Jon Guridi,jon-guridi,J. Guridi,M,18,179.0,324,M,788141,EUR,793929600,F,18,18,False,29.0,27.0,1.0,1.0,0.0,9.0,10.0,18.0,19.0,1.0,1.0,,2.0,,,,,,,57.0,31.0,6.5,2.0,0.0211057,,0,,0.05,-0.04,,4.0,,,,,0.13,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
