match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_sofascoreId,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_expectedGoals,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_expectedGoalsOnTarget,stat_wonContest,stat_wonTackle,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_penaltyMiss,captain,stat_bigChanceCreated,stat_penaltyWon,stat_hitWoodwork,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_penaltyConceded
11369379,home,Deportivo Alavés,Antonio Sivera,antonio-sivera,A. Sivera,G,1,184.0,563,M,369004,EUR,839721600,G,1,1,False,22.0,13.0,13.0,6.0,7.0,12.0,6.0,10.0,8.0,3.0,90.0,26.0,7.3,9.0,0.00555047,1.0,0,0.4815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369379,home,Deportivo Alavés,Andoni Gorosabel,andoni-gorosabel,A. Gorosabel,D,2,174.0,530,M,866810,EUR,839116800,D,2,2,False,28.0,23.0,2.0,1.0,10.0,12.0,14.0,19.0,4.0,,83.0,44.0,6.7,10.0,0.274546,1.0,0,,3.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369379,home,Deportivo Alavés,Abdelkabir Abqar,abqar-abdelkabir,A. Abqar,D,3,188.0,4060,M,1101232,EUR,921024000,D,5,5,False,22.0,18.0,6.0,3.0,9.0,9.0,9.0,13.0,4.0,,90.0,29.0,7.1,4.0,0.0253293,1.0,1,,,,2.0,,,,,,1.0,abdel.abqar,1.0,1.0,3.0,1.0,0.0959,,,,,,,,,,,,,,,,,,,,,,
11369379,home,Deportivo Alavés,Aleksandar Sedlar,aleksandar-sedlar,A. Sedlar,D,4,180.0,222,M,799195,EUR,692582400,D,4,4,False,33.0,30.0,4.0,3.0,16.0,17.0,14.0,16.0,4.0,,89.0,49.0,7.5,5.0,0.00805963,,2,,,,9.0,3.0,,1.0,1.0,,3.0,,,1.0,4.0,,0.2189,5.0,2.0,1.0,1.0,1.0,1.0,0.2813,,,,,,,,,,,,,,,
11369379,home,Deportivo Alavés,Javi López,lopez-javi,J. López,D,25,183.0,401,M,945404,EUR,1009843200,D,27,27,False,30.0,26.0,3.0,3.0,9.0,11.0,19.0,24.0,4.0,,90.0,68.0,7.0,18.0,0.0460216,,0,,5.0,2.0,6.0,3.0,2.0,,,1.0,1.0,,,,2.0,,,,,4.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,
11369379,home,Deportivo Alavés,Antonio Blanco,antonio-blanco,A. Blanco,M,8,176.0,1655,M,855832,EUR,964310400,M,8,8,False,45.0,36.0,5.0,2.0,11.0,14.0,25.0,31.0,4.0,,90.0,56.0,7.2,10.0,0.0517481,,5,,,,4.0,5.0,,1.0,1.0,3.0,,,1.0,3.0,,,0.2428,3.0,2.0,,1.0,,,0.1543,,,,,1.0,,,,,,,,,,
11369379,home,Deportivo Alavés,Ander Guevara,ander-guevara,A. Guevara,M,6,180.0,265,M,891931,EUR,868233600,M,6,6,False,59.0,45.0,4.0,1.0,17.0,22.0,28.0,37.0,8.0,,90.0,77.0,7.8,15.0,0.0521208,1.0,2,,,,4.0,9.0,,3.0,,1.0,1.0,,,2.0,2.0,,0.0552,2.0,2.0,1.0,,,6.0,,,5.0,,,,,,,,,,,,,
11369379,home,Deportivo Alavés,Ianis Hagi,ianis-hagi,I. Hagi,M,14,180.0,7098,M,756344,EUR,909014400,M,10,10,False,18.0,15.0,1.0,1.0,3.0,4.0,14.0,21.0,4.0,,68.0,39.0,7.0,10.0,0.456777,4.0,2,,7.0,2.0,2.0,4.0,,,,2.0,,ianishagi,,2.0,1.0,,0.8627,,,2.0,,,2.0,,,2.0,,,,1.0,1.0,,,,,,,,
11369379,home,Deportivo Alavés,Jon Guridi,jon-guridi,J. Guridi,M,18,179.0,324,M,788141,EUR,793929600,M,18,18,False,27.0,17.0,,,6.0,8.0,11.0,19.0,4.0,,90.0,38.0,6.8,14.0,0.333647,1.0,3,,,,8.0,4.0,1.0,,,1.0,,,1.0,1.0,,,0.2805,3.0,2.0,4.0,,,,,1.0,,,,2.0,,,,,,,,,,
11369379,home,Deportivo Alavés,Luis Rioja,luis-rioja,L. Rioja,M,11,173.0,860,M,900433,EUR,750729600,M,11,11,False,33.0,22.0,2.0,1.0,5.0,6.0,20.0,36.0,4.0,,83.0,56.0,7.2,20.0,0.508449,3.0,2,,9.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,,0.0568,,,,,,1.0,,,1.0,,,1.0,,,True,1.0,,,,,,
11369379,home,Deportivo Alavés,Kike García,kike-garcia,K. García,F,19,186.0,1005,M,84972,EUR,627955200,F,15,15,False,8.0,6.0,,,1.0,1.0,5.0,7.0,4.0,,68.0,21.0,7.3,7.0,0.0125835,2.0,4,,,,4.0,4.0,1.0,,2.0,2.0,,,,3.0,1.0,,0.5316,1.0,2.0,2.0,1.0,,,0.5778,,,,,,1.0,,,,1.0,,,,,
