match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_totalTackle,stat_wonTackle,stat_outfielderBlock,stat_penaltyConceded,player_sofascoreId,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_dispossessed,stat_bigChanceCreated,player_firstName,player_lastName,captain,stat_hitWoodwork,stat_goodHighClaim,stat_penaltyWon,stat_bigChanceMissed,stat_penaltyMiss
10411512,home,Lazio,Ivan Provedel,ivan-provedel,I. Provedel,G,94,194,1818,M,308182,EUR,763862400,G,94,94,False,32.0,26.0,10.0,5.0,26.0,29.0,3.0,1.0,13.0,1.0,1.0,2.0,1.0,1.0,1.0,90.0,40.0,6.4,6.0,0.0,0.0,0.00024908,65.533491162715,9.0,30.345,12.18,0,-0.9102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411512,home,Lazio,Manuel Lazzari,manuel-lazzari,M. Lazzari,D,29,173,753,M,273405,EUR,754531200,D,29,29,False,45.0,39.0,3.0,2.0,15.0,17.0,32.0,2.0,3.0,,,,,,,90.0,76.0,6.5,14.0,0.0556,0.0,0.09927,263.31508970874,23.0,161.175,33.495,1,,25.0,4.0,1.0,1.0,3.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,149.21060212713,7.0,1.0,,,,,,,,,,,,,,,,,,,,
10411512,home,Lazio,Nicolò Casale,nicolo-casale,N. Casale,D,16,191,431,M,862697,EUR,887414400,D,15,15,False,83.0,72.0,5.0,5.0,48.0,54.0,29.0,2.0,5.0,,,,,,,90.0,90.0,6.8,11.0,0.0,0.0,0.0103385,325.5413773225,38.0,109.935,23.625,0,,24.0,,,,1.0,,3.0,,,,,,,,23.940843782123,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,
10411512,home,Lazio,Alessio Romagnoli,alessio-romagnoli,A. Romagnoli,D,13,185,1922,M,227864,EUR,789868800,D,13,13,False,95.0,77.0,10.0,3.0,42.0,48.0,47.0,,6.0,,,,,,,90.0,99.0,6.6,19.0,0.0,0.0,0.0602365,222.16437357683,26.0,86.835,13.545,0,,35.0,,,2.0,7.0,4.0,8.0,,,,1.0,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,
10411512,home,Lazio,Elseid Hysaj,elseid-hysaj,E. Hysaj,D,23,182,1316,M,136322,EUR,760147200,D,23,23,False,30.0,24.0,1.0,,11.0,13.0,17.0,2.0,4.0,,,,,,,58.0,42.0,6.1,6.0,0.0,0.0,0.0116182,82.883834880342,12.0,-22.68,5.04,0,,13.0,,,1.0,,2.0,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
10411512,home,Lazio,Sergej Milinković-Savić,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191,13428,M,331447,EUR,793843200,M,21,21,False,47.0,33.0,4.0,,13.0,15.0,33.0,3.0,2.0,,,,,,,90.0,71.0,7.9,18.0,0.4689,0.6046,0.0665776,91.717284195024,15.0,7.455,4.725,5,,20.0,1.0,,3.0,10.0,6.0,14.0,2.0,1.0,1.0,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,sms,1.0,2.0,2.0,1.0,,,,,,,,,,,
10411512,home,Lazio,Marcos Antônio,marcos-antonio,M. Antônio,M,8,166,2921,M,905453,EUR,960854400,M,6,6,False,65.0,59.0,2.0,,33.0,36.0,29.0,3.0,4.0,,,,,,,73.0,74.0,6.8,6.0,0.0,0.0,0.0178392,172.07643700852,28.0,8.19,7.56,0,,26.0,,,1.0,,3.0,4.0,,,,1.0,,2.0,1.0,,,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,
10411512,home,Lazio,Luis Alberto,luis-alberto,L. Alberto,M,32,182,1864,M,111416,EUR,717638400,M,10,10,False,71.0,65.0,5.0,3.0,22.0,23.0,51.0,,3.0,,,,,,,90.0,84.0,7.4,12.0,0.0607,0.0,0.549108,268.85955501655,30.0,150.99,27.09,2,,43.0,3.0,,,1.0,5.0,5.0,3.0,2.0,2.0,,1.0,1.0,1.0,93.416188273063,5.0,3.0,1.0,1.0,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,
10411512,home,Lazio,Felipe Anderson,felipe-anderson,F. Anderson,M,7,175,6043,M,152276,EUR,734832000,F,7,7,False,28.0,21.0,4.0,2.0,8.0,10.0,18.0,1.0,4.0,,,,,,,58.0,45.0,6.7,12.0,0.1093,0.0,0.0122885,61.319103034071,10.0,7.665,16.905,2,,13.0,,,,,4.0,5.0,1.0,,2.0,,4.0,,,18.272578389488,1.0,1.0,5.0,3.0,,,F_Andersoon,3.0,,,,,,,,,,,,,,
10411512,home,Lazio,Ciro Immobile,ciro-immobile,C. Immobile,F,36,185,15127,M,45923,EUR,635472000,F,17,17,False,21.0,16.0,,,4.0,4.0,17.0,2.0,1.0,,,,,,,90.0,34.0,7.6,8.0,0.8145,0.7068,0.0124996,113.43294186594,14.0,53.13,27.195,4,,12.0,,,1.0,1.0,2.0,4.0,2.0,1.0,1.0,,2.0,,,69.556361646205,5.0,,2.0,,,,ciroimmobile17,,,3.0,1.0,,,,,,True,,,,,
