match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_dispossessed,stat_shotOffTarget,stat_penaltyWon,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_challengeLost,captain,stat_accurateCross,stat_blockedScoringAttempt,player_sofascoreId,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_bigChanceCreated,stat_goalAssist,stat_totalOffside,stat_outfielderBlock,stat_bigChanceMissed
11450075,home,Trabzonspor,Uğurcan Çakır,ugurcan-cakir,U. Çakır,G,1,192,4886,M,754330,EUR,828662400,G,1,1,False,31.0,22.0,12.0,3.0,20.0,21.0,2.0,10.0,1.0,1.0,3.0,1.0,2.0,90.0,37.0,6.1,9.0,0.00071597,0,-0.8246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450075,home,Trabzonspor,Thomas Meunier,thomas-meunier,T. Meunier,D,12,190,2758,M,128587,EUR,684633600,D,12,12,False,58.0,45.0,3.0,1.0,22.0,26.0,23.0,34.0,,1.0,4.0,,,90.0,75.0,6.1,21.0,0.0128905,0,,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450075,home,Trabzonspor,Joaquín Fernández,joaquin-fernandez,J. Fernández,D,12,190,91,M,822923,EUR,833500800,D,3,3,False,37.0,33.0,6.0,2.0,25.0,26.0,8.0,11.0,1.0,3.0,4.0,1.0,,45.0,43.0,6.4,4.0,0.00224011,0,,,2.0,4.0,,,2.0,,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11450075,home,Trabzonspor,Stefano Denswil,stefano-denswil,S. Denswil,D,4,188,263,M,97404,EUR,736732800,D,24,24,False,66.0,61.0,9.0,7.0,47.0,49.0,14.0,17.0,4.0,7.0,6.0,3.0,,90.0,81.0,7.3,6.0,0.0117116,1,,,2.0,4.0,,,2.0,,1.0,3.0,,,1.0,1.0,1.0,0.1446,1.0,,,,,,,,,,,,,,,,,,,,,
11450075,home,Trabzonspor,Eren Elmalı,eren-elmali,E. Elmalı,D,17,180,4102,M,981483,EUR,962928000,D,18,18,False,36.0,29.0,1.0,,15.0,16.0,14.0,21.0,1.0,4.0,4.0,2.0,,90.0,53.0,6.2,12.0,0.0334863,0,,1.0,1.0,5.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
11450075,home,Trabzonspor,Berat Ayberk Özdemir,berat-ayberk-ozdemir,B. A. Özdemir,M,2,187,216,M,876857,EUR,895881600,M,5,5,False,44.0,40.0,5.0,4.0,22.0,23.0,18.0,21.0,1.0,11.0,5.0,3.0,,90.0,61.0,7.4,5.0,0.0119402,0,,,1.0,4.0,,,1.0,,1.0,4.0,7.0,5.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
11450075,home,Trabzonspor,Batista Mendy,batista-mendy,B. Mendy,M,19,191,1292,M,859021,EUR,947635200,M,6,6,False,54.0,53.0,5.0,4.0,29.0,29.0,24.0,25.0,,1.0,6.0,1.0,,90.0,60.0,6.5,2.0,0.0120286,0,,,1.0,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450075,home,Trabzonspor,Edin Višća,edin-visca,E. Višća,M,7,172,1000,M,109779,EUR,635212800,M,7,7,False,36.0,28.0,2.0,1.0,11.0,14.0,18.0,32.0,,3.0,3.0,2.0,,90.0,58.0,6.6,20.0,0.0443471,3,,10.0,1.0,5.0,2.0,1.0,,,1.0,,,,,2.0,,0.1386,1.0,,,2.0,True,1.0,1.0,,,,,,,,,,,,,,,
11450075,home,Trabzonspor,Nicolas Pépé,nicolas-pepe,N. Pépé,F,19,183,12626,M,593526,EUR,801705600,M,19,19,False,26.0,23.0,1.0,1.0,11.0,12.0,12.0,14.0,,4.0,2.0,3.0,,90.0,43.0,6.6,9.0,0.00894247,1,,,,4.0,2.0,1.0,1.0,3.0,1.0,,,,2.0,,,0.0635,,,,,,,,nicolas_pepe19,1.0,0.0368,,,,,,,,,,,,
11450075,home,Trabzonspor,Mahmoud Trézéguet,mahmoud-trezeguet,M. Trézéguet,M,7,179,38551,M,295361,EUR,780969600,M,10,10,False,21.0,18.0,2.0,1.0,3.0,3.0,15.0,21.0,,2.0,3.0,1.0,,89.0,32.0,6.8,10.0,0.212276,1,,3.0,1.0,3.0,2.0,,,2.0,,,1.0,1.0,,,,0.7884,,,,,,,,mahmoudtrezeguet,1.0,0.9807,1.0,,,,,,,,,,,
