match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_challengeLost,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_aerialLost,stat_shotOffTarget,stat_totalOffside,stat_expectedGoals,stat_lastManTackle,stat_keyPass,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12504427,home,Juventus,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,29,29,False,32.0,25.0,11.0,4.0,0.0,23.0,24.0,2.0,8.0,3.0,1.0,1.0,90.0,34.0,6.9,7.0,0.00080855,0,0.4043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504427,home,Juventus,Weston McKennie,,,weston-mckennie,W. McKennie,M,22,185,7292,M,west.mckennie,881931,EUR,904262400,D,16,16,False,45.0,40.0,2.0,1.0,0.0,18.0,19.0,23.0,27.0,7.0,,,90.0,58.0,6.8,8.0,0.0187356,0,,1.0,1.0,5.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
12504427,home,Juventus,Federico Gatti,Federico Gatti,,federico-gatti,F. Gatti,D,4,190,4940,M,FedericoGatti,1128063,EUR,898646400,D,4,4,False,53.0,52.0,,,0.0,35.0,36.0,17.0,17.0,4.0,,,90.0,59.0,7.5,1.0,0.00972285,0,,,,4.0,2.0,,,,,,,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
12504427,home,Juventus,Pierre Kalulu,,,pierre-kalulu,P. Kalulu,D,15,183,6630,M,Kalulujr_,965330,EUR,960163200,D,15,15,False,85.0,79.0,8.0,5.0,0.0,43.0,46.0,36.0,39.0,3.0,,,90.0,98.0,7.4,8.0,0.0186178,1,,,,5.0,3.0,,1.0,,1.0,,1.0,2.0,2.0,1.0,1.0,,2.0,1.0,,1.0,1.0,1.0,0.1143,,,,,,,,,,,,,
12504427,home,Juventus,Andrea Cambiaso,,,cambiaso-andrea,A. Cambiaso,D,27,181,7318,M,andrea_cambiaso,917048,EUR,951004800,D,27,27,False,70.0,67.0,1.0,,0.0,33.0,34.0,34.0,37.0,2.0,,,90.0,85.0,7.0,9.0,0.0432183,0,,1.0,,7.0,1.0,2.0,,,1.0,1.0,2.0,4.0,,1.0,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,
12504427,home,Juventus,Manuel Locatelli,,,manuel-locatelli,M. Locatelli,M,5,185,8228,M,locamanuel73,363860,EUR,884217600,M,5,5,False,87.0,78.0,15.0,12.0,0.0,25.0,26.0,53.0,62.0,2.0,,,90.0,98.0,7.8,11.0,0.0385113,0,,1.0,,,7.0,,1.0,1.0,2.0,,,,3.0,,1.0,,1.0,1.0,1.0,,,,,,,True,,,,,,,,,,
12504427,home,Juventus,Khéphren Thuram,,,khephren-thuram,K. Thuram,M,19,191,11655,M,k_thuram,904832,EUR,985564800,M,19,19,False,43.0,40.0,2.0,1.0,1.0,13.0,13.0,27.0,30.0,4.0,,,83.0,57.0,7.0,11.0,0.150352,1,,,,8.0,1.0,1.0,4.0,,1.0,,2.0,1.0,,1.0,,,,1.0,,1.0,1.0,,0.0209,,2.0,,1.0,,,,,,,,,
12504427,home,Juventus,Kenan Yıldız,Kenan Yıldız,,yildiz-kenan,K. Yıldız,M,10,187,82614,M,KenanYıldız,1149011,EUR,1115164800,M,10,10,False,18.0,17.0,3.0,3.0,0.0,7.0,8.0,10.0,11.0,3.0,,,45.0,24.0,7.0,3.0,0.0227069,1,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,0.1001,,1.0,,,1.0,0.1489,,,,,,,
12504427,home,Juventus,Teun Koopmeiners,,,teun-koopmeiners,T. Koopmeiners,M,8,183,6981,M,teunkoopmeiners,803033,EUR,888624000,M,8,8,False,38.0,35.0,1.0,1.0,0.0,10.0,10.0,27.0,35.0,2.0,,,75.0,63.0,7.6,9.0,0.382655,4,,7.0,2.0,4.0,7.0,1.0,2.0,2.0,3.0,3.0,,3.0,1.0,,,,1.0,1.0,1.0,,2.0,,0.2381,,1.0,,,1.0,0.1144,1.0,1.0,,,,,
12504427,home,Juventus,Samuel Mbangula,Samuel,Mbangula,samuel-mbangula,S. Mbangula,M,7,180,4367,M,Samu,1100836,EUR,1074211200,M,51,51,False,40.0,39.0,1.0,1.0,0.0,8.0,8.0,32.0,37.0,2.0,,,89.0,59.0,8.0,11.0,0.0721614,3,,5.0,1.0,4.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,3.0,,1.0,,0.0757,,1.0,,,2.0,0.2015,,,1.0,,,,
