match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialWon,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_outfielderBlock,stat_wasFouled,stat_interceptionWon,player_sofascoreId,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_bigChanceCreated,stat_ownGoals,stat_goals
12437619,home,Osasuna,Sergio Herrera,sergio-herrera,S. Herrera,G,1,192,995,M,294377,EUR,736646400,G,1,1,False,True,16.0,12.0,6.0,3.0,0.0,9.0,11.0,3.0,5.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,90.0,25.0,6.9,5.0,0.00048163,0,0.5412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437619,home,Osasuna,Jesús Areso,jesus-areso,J. Areso,D,12,183,656,M,910267,EUR,930873600,D,12,12,False,,30.0,25.0,1.0,,0.0,2.0,3.0,24.0,33.0,1.0,2.0,,,,,,90.0,60.0,6.3,21.0,0.0464529,0,,,,6.0,1.0,3.0,9.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12437619,home,Osasuna,Alejandro Catena,alejandro-catena,A. Catena,D,24,194,940,M,900792,EUR,783302400,D,24,24,False,,51.0,37.0,11.0,4.0,0.0,15.0,18.0,22.0,33.0,7.0,8.0,,,,,,90.0,63.0,7.1,14.0,0.00943753,2,,,,,,1.0,3.0,6.0,1.0,,1.0,,,,,5.0,1.0,1.0,1.0,1.0,0.2406,0.0978,,,,,,,,,,,
12437619,home,Osasuna,Jorge Herrando,herrando-jorge,J. Herrando,D,5,192,259,M,944225,EUR,983318400,D,5,5,False,,39.0,24.0,12.0,1.0,0.0,15.0,19.0,9.0,20.0,5.0,2.0,,,,,,90.0,49.0,6.7,16.0,0.00771365,1,,,,,,,1.0,3.0,,,,,,1.0,,3.0,,,1.0,1.0,0.088,0.1357,1.0,,,,,,,,,,
12437619,home,Osasuna,Abel Bretones,abel-bretones,A. Bretones,D,23,188,428,M,1010165,EUR,966816000,D,23,23,False,,26.0,19.0,3.0,1.0,0.0,12.0,16.0,10.0,15.0,2.0,4.0,,,,,,60.0,53.0,6.9,15.0,0.195759,0,,,,5.0,3.0,1.0,3.0,4.0,,1.0,,3.0,2.0,1.0,3.0,,,,,1.0,,,,1.0,,,,,,,,,
12437619,home,Osasuna,Iker Muñoz,iker-munoz,I. Muñoz,M,8,179,228,M,1119586,EUR,1036454400,M,18,18,False,,28.0,19.0,3.0,1.0,0.0,7.0,9.0,12.0,20.0,1.0,1.0,,,,,,45.0,33.0,6.6,10.0,0.00663065,0,,,,1.0,,1.0,1.0,3.0,,,1.0,,,,,2.0,1.0,,,,,,,1.0,,,,,,,,,
12437619,home,Osasuna,Lucas Torró,lucas-torro,L. Torró,M,6,190,714,M,187313,EUR,774576000,M,6,6,False,,63.0,47.0,5.0,1.0,0.0,16.0,19.0,31.0,45.0,3.0,5.0,,,,,,90.0,82.0,6.9,21.0,0.0271834,0,,,,1.0,,3.0,8.0,10.0,1.0,1.0,,3.0,2.0,3.0,,5.0,,,,4.0,,,,2.0,2.0,,,,,,,,
12437619,home,Osasuna,Moi Gómez,moi-gomez,M. Gómez,M,16,174,627,M,149370,EUR,772329600,M,16,16,False,,44.0,39.0,3.0,2.0,0.0,14.0,14.0,26.0,32.0,1.0,8.0,,,,,,60.0,53.0,6.8,8.0,0.106129,0,,,,2.0,1.0,3.0,5.0,3.0,,1.0,1.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,
12437619,home,Osasuna,Rubén García,ruben-garcia,R. García,M,14,171,1085,M,260031,EUR,742608000,F,14,14,False,,35.0,30.0,3.0,3.0,0.0,11.0,13.0,21.0,29.0,,4.0,,,,,,78.0,56.0,7.5,13.0,0.356755,3,,,,7.0,2.0,2.0,7.0,6.0,1.0,1.0,2.0,,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.1769,0.0417,,3.0,1.0,,,,,,,,
12437619,home,Osasuna,Ante Budimir,ante-budimir,A. Budimir,F,17,190,8134,M,37318,EUR,680140800,F,17,17,False,,25.0,15.0,,,0.0,4.0,6.0,11.0,19.0,,1.0,,,,,,90.0,41.0,7.2,17.0,0.00961602,3,,,,,,3.0,6.0,12.0,,1.0,2.0,2.0,2.0,5.0,,8.0,1.0,,1.0,2.0,0.1987,0.5185,1.0,1.0,,budimir_ante,2.0,1.0,,,,,
