match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_challengeLost,stat_outfielderBlock,stat_wasFouled,stat_totalContest,stat_wonContest,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_shotOffTarget,stat_penaltyWon,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_clearanceOffLine
14065724,home,RC Strasbourg,Mike Penders,Mike Penders,,mike-penders,M. Penders,G,39,199.0,4381,M,1149148,EUR,1122768000.0,G,39,39,False,40.0,35.0,9.0,4.0,0.0,35.0,37.0,3.0,1.0,10.0,1.0,1.0,1.0,90.0,46.0,7.1,5.0,0.00015602,0.1069,0,0.1973,0.0,0.02,0.26,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065724,home,RC Strasbourg,Mamadou Sarr,Mamadou Sarr,,sarr-mamadou,M. Sarr,D,19,194.0,21849,M,1154657,EUR,1125273600.0,D,23,23,False,57.0,54.0,7.0,5.0,0.0,37.0,39.0,18.0,5.0,6.0,,,,90.0,70.0,7.3,6.0,0.00695962,,0,,0.21,0.08,0.19,,True,17.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14065724,home,RC Strasbourg,Lucas Høgsberg,,,lucas-hogsberg,L. Høgsberg,D,24,187.0,1156,M,1426597,EUR,1151020800.0,D,24,24,False,58.0,56.0,6.0,4.0,0.0,49.0,49.0,9.0,5.0,3.0,,,,90.0,69.0,7.1,3.0,0.00189188,,0,,0.09,0.04,0.29,,,7.0,,1.0,3.0,4.0,,,,1.0,3.0,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
14065724,home,RC Strasbourg,Ismael Doukouré,Ismael Doukoure,,ismael-doukoure,I. Doukouré,D,6,183.0,1100,M,1049517,EUR,1059004800.0,D,6,6,False,60.0,51.0,4.0,1.0,0.0,34.0,37.0,23.0,3.0,5.0,,,,90.0,71.0,7.1,10.0,0.00395531,,0,,0.06,0.09,0.15,,,17.0,1.0,2.0,1.0,5.0,,,,1.0,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
14065724,home,RC Strasbourg,Rafael Luis,Rafael Luís,,luis-rafael,R. Luís,M,83,186.0,579,M,1153333,EUR,1108684800.0,M,83,83,False,26.0,24.0,1.0,1.0,0.0,16.0,17.0,9.0,2.0,2.0,,,,70.0,33.0,6.9,3.0,0.199831,,0,,0.03,0.18,-0.02,,,8.0,,,1.0,2.0,,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14065724,home,RC Strasbourg,Diego Moreira,Diego,Moreira,diego-moreira,D. Moreira,F,7,179.0,6007,M,1142233,EUR,1091750400.0,M,7,7,False,39.0,34.0,3.0,1.0,0.0,17.0,18.0,21.0,,4.0,,,,82.0,63.0,7.2,17.0,0.175938,,0,,0.43,0.16,-0.01,,,17.0,1.0,,6.0,5.0,1.0,3.0,2.0,3.0,,3.0,1.0,,1.0,4.0,1.0,diegzyyy,6.0,2.0,1.0,,,,,,,,,,,,,,,,,
14065724,home,RC Strasbourg,Mathis Amougou,,,mathis-amougou,M. Amougou,M,17,177.0,3772,M,1426224,EUR,1137542400.0,M,17,17,False,12.0,8.0,,,0.0,1.0,3.0,9.0,,4.0,,,,45.0,18.0,7.1,5.0,0.0456394,,1,,0.17,0.09,0.18,,,7.0,,,1.0,3.0,,1.0,1.0,,,1.0,,,2.0,1.0,,,,,,1.0,0.0095,0.0577,0.09,,,,,,,,,,,,,
14065724,home,RC Strasbourg,Valentín Barco,Valentín Barco,,valentin-barco,V. Barco,M,32,172.0,11515,M,1127057,EUR,1090540800.0,M,32,32,False,53.0,47.0,3.0,2.0,0.0,21.0,21.0,32.0,2.0,2.0,,,,90.0,80.0,7.3,13.0,0.022678,,2,,0.13,0.23,0.4,,,26.0,2.0,1.0,6.0,6.0,,4.0,4.0,,,,,,1.0,1.0,,colo.barco,4.0,1.0,3.0,2.0,0.1624,0.2291,0.04,,,,,,,,,,,,,
14065724,home,RC Strasbourg,Ben Chilwell,,,ben-chilwell,B. Chilwell,D,3,181.0,10903,M,802695,EUR,851126400.0,M,3,3,False,25.0,18.0,4.0,2.0,0.0,9.0,9.0,16.0,1.0,,,,,45.0,40.0,6.6,15.0,0.0133194,,0,,0.12,0.04,-0.04,,,9.0,,1.0,5.0,2.0,,1.0,1.0,2.0,1.0,,1.0,,,1.0,,Chilly,1.0,,2.0,,,,,,,,,,,,,,,,,
14065724,home,RC Strasbourg,Joaquin Panichelli,Joaquín Panichelli,,panichelli-joaquin,J. Panichelli,F,9,190.0,11517,M,1410925,EUR,1033948800.0,F,9,9,False,16.0,14.0,,,0.0,8.0,8.0,8.0,2.0,2.0,,,,90.0,32.0,7.3,8.0,0.0104956,,3,,-0.1,0.2,0.15,,,6.0,3.0,4.0,7.0,7.0,1.0,,,3.0,,,1.0,,3.0,2.0,,,,,1.0,3.0,1.0456,1.1879,0.28,1.0,1.0,1.0,1.0,,,,,,,,,
