match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_keyPass,player_sofascoreId,captain,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_errorLeadToAGoal,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_savedShotsFromInsideTheBox,stat_saves,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed
12501504,home,Venezia,Ionuț Radu,ionut-radu,I. Radu,G,13,188.0,3683,M,815202,EUR,864777600,G,28,28,False,18.0,16.0,3.0,1.0,0.0,15.0,15.0,1.0,3.0,1.0,6.0,1.0,1.0,90.0,22.0,6.3,2.0,0.00059187,0,-0.6086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501504,home,Venezia,Joel Schingtienne,schingtienne-joel,J. Schingtienne,D,3,188.0,258,M,1388438,EUR,1029283200,D,25,25,False,24.0,20.0,,,0.0,11.0,11.0,9.0,13.0,1.0,3.0,,,64.0,36.0,6.8,5.0,0.00996743,0,,Joel Schingtienne,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12501504,home,Venezia,Jay Idzes,jay-idzes,J. Idzes,D,21,190.0,19111,M,933641,EUR,959904000,D,4,4,False,49.0,42.0,3.0,,0.0,30.0,32.0,12.0,17.0,2.0,7.0,,,90.0,62.0,6.7,8.0,0.00311004,2,,,,4.0,1.0,8.0,3.0,1.0,,,,3.0,1.0,1.0,,1.0,1.0,jayidzes,True,1.0,1.0,1.0,3.0,0.2687,,,,,,,,,,,,
12501504,home,Venezia,Fali Candé,fali-cande,F. Candé,D,5,184.0,402,M,892430,EUR,885600000,D,2,2,False,65.0,54.0,5.0,2.0,0.0,34.0,40.0,20.0,25.0,,2.0,,,90.0,76.0,6.0,12.0,0.0118574,1,,,,3.0,,6.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,1.0,1.0,0.0567,1.0,,,,,,,,,,,
12501504,home,Venezia,Alessio Zerbin,alessio-zerbin,A. Zerbin,M,7,182.0,1060,M,869888,EUR,920419200,M,24,24,False,31.0,21.0,5.0,1.0,0.0,8.0,9.0,15.0,30.0,,3.0,,,90.0,72.0,6.5,22.0,0.159188,2,,,,,,13.0,7.0,4.0,6.0,1.0,,,6.0,5.0,,,1.0,,,2.0,,,3.0,0.1537,,8.0,2.0,1.0,1.0,,,,,,,
12501504,home,Venezia,Cheick Oumar Condé,conde-cheick-oumar,C. O. Condé,M,26,185.0,537,M,1019971,EUR,964569600,M,17,17,False,28.0,23.0,,,0.0,6.0,6.0,17.0,22.0,1.0,6.0,,,67.0,45.0,6.8,8.0,0.0361375,0,,,,1.0,1.0,9.0,6.0,2.0,2.0,2.0,,4.0,2.0,1.0,,,,,,,,1.0,3.0,,,,,3.0,,,,,,,,
12501504,home,Venezia,Hans Nicolussi Caviglia,hans-nicolussi-caviglia,H. N. Caviglia,M,41,184.0,1622,M,876259,EUR,961286400,M,14,14,False,50.0,47.0,2.0,1.0,0.0,24.0,24.0,25.0,29.0,1.0,4.0,,,90.0,70.0,7.0,8.0,0.0415173,4,,,,1.0,1.0,7.0,4.0,2.0,2.0,,1.0,,2.0,2.0,,,,,,3.0,,1.0,1.0,0.1935,,3.0,2.0,1.0,,1.0,0.0616,,,,,
12501504,home,Venezia,Gianluca Busio,gianluca-busio,G. Busio,M,6,170.0,907,M,896180,EUR,1022544000,M,6,6,False,22.0,21.0,1.0,1.0,0.0,11.0,11.0,10.0,12.0,,2.0,,,63.0,30.0,6.8,6.0,0.448575,1,,,,1.0,,4.0,2.0,1.0,2.0,1.0,,,,,,2.0,2.0,,,,,1.0,,0.1647,,1.0,,1.0,1.0,1.0,0.3507,,,,,
12501504,home,Venezia,Ridgeciano Haps,ridgeciano-haps,R. Haps,D,5,175.0,339,M,250501,EUR,739843200,M,5,5,False,19.0,16.0,2.0,1.0,0.0,8.0,8.0,8.0,12.0,1.0,6.0,,,80.0,37.0,6.7,11.0,0.00600648,0,,,,,,2.0,4.0,1.0,1.0,,,,3.0,2.0,,3.0,,,,,,1.0,,,,1.0,,,,,,,,,,
12501504,home,Venezia,John Yeboah,john-yeboah,J. Yeboah,F,10,170.0,3981,M,879802,EUR,961718400,F,10,10,False,32.0,28.0,1.0,1.0,0.0,5.0,5.0,24.0,30.0,1.0,6.0,,,90.0,59.0,7.6,17.0,0.333834,2,,,,,,3.0,8.0,,7.0,6.0,,,,,,8.0,3.0,,,1.0,1.0,2.0,,0.155,,3.0,1.0,2.0,,,,,,,,
