match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,captain,stat_challengeLost,player_sofascoreId,stat_dispossessed,player_firstName,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_lastName,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_outfielderBlock,stat_goals
12436895,home,Brighton & Hove Albion,Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193,4212,M,994363,EUR,1029628800,G,1,1,False,31.0,28.0,5.0,3.0,0.0,26.0,27.0,2.0,4.0,1.0,6.0,1.0,1.0,90.0,33.0,6.6,3.0,0.0072303,0,-0.1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436895,home,Brighton & Hove Albion,Joël Veltman,joel-veltman,J. Veltman,D,34,184,1147,M,219572,EUR,695433600,D,34,34,False,95.0,82.0,5.0,3.0,0.0,28.0,30.0,56.0,68.0,7.0,4.0,,,84.0,128.0,7.4,17.0,0.0968972,2,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,0.0653,2.0,,,,,,,,,,,,,,,,
12436895,home,Brighton & Hove Albion,Jan Paul van Hecke,jan-paul-van-hecke,J. P. van Hecke,D,6,189,3186,M,962012,EUR,960422400,D,29,29,False,108.0,97.0,8.0,3.0,0.0,43.0,44.0,55.0,67.0,8.0,7.0,2.0,,90.0,123.0,7.4,14.0,0.106205,0,,3.0,1.0,4.0,4.0,,,,,3.0,1.0,2.0,1.0,,,1.0,,2.0,4.0,,,,,,,,,,,,,,,
12436895,home,Brighton & Hove Albion,Lewis Dunk,lewis-dunk,L. Dunk,D,5,190,1911,M,115365,EUR,690681600,D,5,5,False,130.0,120.0,17.0,10.0,0.0,63.0,63.0,57.0,67.0,8.0,5.0,,,90.0,138.0,7.3,10.0,0.086178,0,,,,6.0,5.0,,,,,6.0,,2.0,,,,,,,3.0,True,2.0,,,,,,,,,,,,,
12436895,home,Brighton & Hove Albion,Tariq Lamptey,lamptey-tariq,T. Lamptey,D,48,165,4021,M,914691,EUR,970272000,D,2,2,False,33.0,30.0,2.0,,0.0,15.0,15.0,16.0,24.0,3.0,2.0,1.0,,74.0,54.0,6.7,13.0,0.0662786,1,,6.0,1.0,,5.0,4.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,0.0607,1.0,1.0,,,TariqLamptey,1.0,,,,,,,,,,,
12436895,home,Brighton & Hove Albion,Carlos Baleba,baleba-carlos,C. Baleba,M,17,179,25912,M,1199043,EUR,1073088000,M,20,20,False,57.0,55.0,5.0,4.0,0.0,22.0,22.0,33.0,37.0,8.0,6.0,3.0,,89.0,78.0,7.2,9.0,0.0606074,3,,2.0,,,5.0,,,2.0,1.0,,1.0,5.0,2.0,2.0,,1.0,0.0656,1.0,1.0,,,carlos_baleba,3.0,,,,,,,,,,,
12436895,home,Brighton & Hove Albion,Yasin Ayari,yasin-ayari,Y. Ayari,M,26,172,2693,M,1036269,EUR,1065398400,M,26,26,False,33.0,25.0,1.0,,0.0,12.0,13.0,14.0,26.0,3.0,6.0,1.0,,75.0,50.0,6.8,16.0,0.0381894,1,,6.0,1.0,,6.0,1.0,,1.0,,1.0,,2.0,1.0,,,1.0,0.1317,2.0,2.0,,,,2.0,,,,,,,,,,,
12436895,home,Brighton & Hove Albion,Brajan Gruda,gruda-brajan,B. Gruda,M,10,178,2810,M,1198075,EUR,1085961600,M,8,8,False,16.0,12.0,2.0,,0.0,3.0,4.0,9.0,12.0,3.0,5.0,1.0,,45.0,25.0,6.7,5.0,0.00924967,0,,,,,2.0,,,,,1.0,,2.0,2.0,,,,,1.0,1.0,,,,1.0,Brajan Gruda,1.0,,,,,,,,,
12436895,home,Brighton & Hove Albion,João Pedro,joao-pedro,J. Pedro,F,20,182,97251,M,975079,EUR,1001462400,M,9,9,False,35.0,26.0,1.0,,0.0,6.0,7.0,20.0,28.0,4.0,2.0,,,90.0,52.0,6.6,17.0,0.0598539,3,,,,3.0,10.0,3.0,1.0,1.0,1.0,,1.0,,,4.0,,2.0,0.2031,,4.0,,1.0,joaopedro,2.0,,,1.0,0.6075,,,,,,,
12436895,home,Brighton & Hove Albion,Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,178,20820,M,936849,EUR,864086400,M,22,22,False,37.0,33.0,,,0.0,2.0,3.0,31.0,38.0,4.0,1.0,,,90.0,62.0,6.5,17.0,0.0689467,2,,4.0,,2.0,11.0,5.0,1.0,2.0,,,1.0,1.0,,1.0,,1.0,0.067,,2.0,,1.0,KaoruM,3.0,,,,,,,,,,,
