match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,captain,stat_aerialWon,stat_wasFouled,stat_challengeLost,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_outfielderBlock,stat_hitWoodwork
13473375,home,Vitória,Lucas Arcanjo,lucas-arcanjo,L. Arcanjo,G,1,190,811,M,982558,EUR,902534400,G,1,1,False,35.0,24.0,17.0,6.0,0.0,21.0,22.0,3.0,13.0,1.0,10.0,2.0,2.0,3.0,1.0,90.0,46.0,7.2,11.0,0.00069301,0,0.7879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13473375,home,Vitória,Claudinho,claudinho,Claudinho,D,2,180,509,M,992791,EUR,969753600,D,2,2,False,44.0,35.0,5.0,2.0,0.0,16.0,19.0,19.0,25.0,,5.0,,,,,90.0,66.0,6.5,16.0,0.0417033,3,,,,4.0,1.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.1014,,,,,,,,,,,,,,,,,,,,
13473375,home,Vitória,Lucas Halter,lucas-halter,L. Halter,D,5,187,777,M,905450,EUR,957225600,D,5,5,False,45.0,38.0,5.0,,0.0,31.0,33.0,7.0,12.0,8.0,1.0,,,,,90.0,56.0,6.5,7.0,0.00273766,0,,,,,,1.0,1.0,3.0,,,,2.0,,,,True,1.0,,,,,,,,,,,,,,,,,,
13473375,home,Vitória,Zé Marcos,ze-marcos,Z. Marcos,D,3,188,355,M,901700,EUR,886291200,D,3,3,False,48.0,39.0,6.0,1.0,0.0,27.0,31.0,12.0,17.0,5.0,4.0,,,,,90.0,57.0,6.5,10.0,0.00321017,0,,,,,,2.0,2.0,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
13473375,home,Vitória,Jamerson,jamerson,Jamerson,D,83,177,408,M,972373,EUR,905299200,D,83,83,False,46.0,43.0,5.0,2.0,1.0,24.0,26.0,19.0,20.0,2.0,8.0,,,,,83.0,67.0,7.5,9.0,0.0491494,0,,,,4.0,1.0,,3.0,8.0,2.0,,,4.0,3.0,2.0,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,
13473375,home,Vitória,Gabriel Baralhas,gabriel-baralhas,G. Baralhas,M,44,178,849,M,922575,EUR,907977600,M,44,44,False,31.0,26.0,3.0,1.0,0.0,15.0,16.0,11.0,15.0,2.0,2.0,,,,,90.0,45.0,6.9,10.0,0.0547826,1,,,,2.0,,,5.0,4.0,,,,1.0,1.0,4.0,0.0184,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0151,,,,,,,,
13473375,home,Vitória,Ricardo Ryller,ricardo-ryller,R. Ryller,M,28,176,231,M,870943,EUR,762307200,M,28,28,False,30.0,26.0,2.0,1.0,0.0,16.0,17.0,10.0,13.0,1.0,2.0,,,,,59.0,37.0,6.7,5.0,0.00282973,0,,,,,,,1.0,2.0,,,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
13473375,home,Vitória,Erick,erick,Erick,F,33,173,1390,M,895650,EUR,881712000,M,33,33,False,19.0,16.0,3.0,3.0,1.0,3.0,3.0,13.0,16.0,,1.0,,,,,59.0,27.0,7.4,6.0,0.493745,0,,,,2.0,2.0,1.0,3.0,3.0,2.0,,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,4.0,,1.0,,,,,,,,,,
13473375,home,Vitória,Matheuzinho,matheuzinho,Matheuzinho,M,10,165,1521,M,795266,EUR,877132800,M,30,30,False,31.0,28.0,1.0,,0.0,6.0,6.0,22.0,25.0,,4.0,,,,,83.0,50.0,7.5,9.0,0.021927,5,,,,1.0,,2.0,5.0,1.0,1.0,,1.0,,,,0.4379,,,1.0,1.0,,4.0,2.0,1.0,1.0,,4.0,1.0041,1.0,1.0,,,,,,
13473375,home,Vitória,Gustavo Silva,gustavo-silva,G. Silva,M,7,169,745,M,863283,EUR,873590400,M,7,7,False,18.0,16.0,,,0.0,4.0,4.0,12.0,14.0,1.0,2.0,,,,,71.0,28.0,6.4,6.0,0.178624,1,,,,2.0,1.0,,7.0,2.0,2.0,,,,,2.0,0.0197,,1.0,,3.0,1.0,,1.0,,1.0,,1.0,0.0348,,,2.0,,,,,
