match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,player_firstName,player_lastName,stat_fouls,stat_shotOffTarget,captain,stat_blockedScoringAttempt,stat_accurateCross,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_goalAssist,stat_totalOffside,stat_bigChanceMissed,stat_punches
10433849,home,Adana Demirspor,Ertaç Özbir,ertac-ozbir,E. Özbir,G,186,92,M,126077,EUR,625276800,G,25,25,False,33.0,26.0,11.0,4.0,25.0,28.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,3.0,90.0,42.0,6.7,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433849,home,Adana Demirspor,Jonas Svensson,jonas-svensson,J. Svensson,D,170,1475,M,98199,EUR,731376000,D,22,22,False,32.0,25.0,3.0,2.0,11.0,12.0,14.0,22.0,4.0,1.0,1.0,,,,90.0,54.0,6.5,12.0,0,71,2.0,1.0,4.0,3.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
10433849,home,Adana Demirspor,Samet Akaydın,samet-akaydin,S. Akaydın,D,190,969,M,863600,EUR,763516800,D,5,5,False,65.0,58.0,10.0,5.0,34.0,34.0,24.0,31.0,8.0,6.0,1.0,,,,90.0,75.0,7.1,8.0,0,3,,3.0,4.0,,2.0,,,,4.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,
10433849,home,Adana Demirspor,Yaroslav Rakitskyi,yaroslav-rakitskyi,Y. Rakitskyi,D,180,204,M,70797,EUR,618105600,D,44,44,False,46.0,39.0,9.0,4.0,23.0,26.0,16.0,21.0,1.0,8.0,1.0,,,,75.0,51.0,6.0,10.0,0,,1.0,2.0,7.0,3.0,,,1.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,
10433849,home,Adana Demirspor,Kévin Rodrigues,kevin-rodrigues,K. Rodrigues,D,169,248,M,234232,EUR,762825600,D,77,77,False,52.0,40.0,5.0,3.0,12.0,13.0,28.0,44.0,4.0,9.0,2.0,,,,90.0,75.0,6.9,21.0,1,77,5.0,1.0,6.0,2.0,1.0,1.0,1.0,4.0,,,2.0,1.0,,,1.0,,,2.0,1.0,,,,,,,,,,
10433849,home,Adana Demirspor,Benjamin Stambouli,benjamin-stambouli,B. Stambouli,M,180,161,M,105951,EUR,650505600,M,90,90,False,53.0,42.0,5.0,1.0,18.0,20.0,24.0,33.0,4.0,4.0,1.0,,,,83.0,67.0,6.6,14.0,2,21,,3.0,8.0,1.0,1.0,1.0,,2.0,,1.0,3.0,2.0,2.0,1.0,,,,2.0,,True,2.0,,,,,,,,
10433849,home,Adana Demirspor,Badou Ndiaye,badou-ndiaye,B. Ndiaye,M,180,427,M,228342,EUR,656985600,M,17,17,False,49.0,44.0,3.0,1.0,21.0,21.0,23.0,28.0,10.0,9.0,5.0,,,,90.0,72.0,7.2,9.0,4,,,2.0,6.0,2.0,1.0,1.0,3.0,1.0,,1.0,4.0,4.0,1.0,1.0,1.0,,,1.0,3.0,,1.0,,,,,,,,
10433849,home,Adana Demirspor,Babajide David Akintola,babajide-david-akintola,D. Babajide,M,178,297,M,798676,EUR,821491200,M,11,11,False,21.0,14.0,2.0,,3.0,3.0,12.0,19.0,3.0,2.0,,,,,65.0,28.0,7.6,7.0,4,11,1.0,2.0,3.0,,1.0,,,1.0,2.0,,,,1.0,,,,,2.0,3.0,,,1.0,1.0,1.0,1.0,,,,
10433849,home,Adana Demirspor,Emre Akbaba,emre-akbaba,E. Akbaba,M,180,414,M,343527,EUR,718156800,M,20,20,False,31.0,21.0,3.0,1.0,7.0,8.0,15.0,25.0,4.0,3.0,3.0,,,,75.0,51.0,7.2,19.0,4,8,2.0,1.0,4.0,,1.0,,5.0,1.0,,1.0,,,,,2.0,,,2.0,2.0,,1.0,1.0,1.0,,,1.0,,,
10433849,home,Adana Demirspor,Henry Onyekuru,henry-onyekuru,H. Onyekuru,F,175,741,M,809220,EUR,865468800,M,7,7,False,12.0,9.0,,,1.0,1.0,8.0,12.0,3.0,2.0,,,,,83.0,23.0,6.6,8.0,1,7,1.0,,3.0,1.0,1.0,1.0,2.0,2.0,,1.0,3.0,2.0,,,,,,,,,,,1.0,,,,2.0,,
10433849,home,Adana Demirspor,Younès Belhanda,younes-belhanda,Y. Belhanda,M,177,1189,M,72999,EUR,635904000,F,10,10,False,31.0,26.0,2.0,1.0,6.0,7.0,20.0,24.0,6.0,2.0,,,,,90.0,50.0,6.6,9.0,6,10,,,3.0,,3.0,1.0,2.0,,1.0,2.0,2.0,2.0,,,,Younès,Belhanda,1.0,3.0,,2.0,,1.0,,,,1.0,2.0,
10433849,home,Adana Demirspor,Yusuf Sarı,yusuf-sari,Y. Sarı,M,168,562,M,896364,EUR,911520000,F,26,26,True,6.0,4.0,1.0,,2.0,2.0,3.0,5.0,1.0,4.0,,,,,25.0,18.0,6.7,6.0,1,7,1.0,1.0,4.0,,1.0,1.0,1.0,1.0,,2.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,
10433849,home,Adana Demirspor,Semih Güler,semih-guler,S. Güler,D,184,112,M,325155,EUR,786153600,D,4,4,True,12.0,11.0,3.0,2.0,7.0,7.0,4.0,5.0,1.0,1.0,,,,,15.0,14.0,6.8,1.0,0,6,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
10433849,home,Adana Demirspor,Fredrik Gulbrandsen,fredrik-gulbrandsen,F. Gulbrandsen,F,178,352,M,51833,EUR,716083200,F,23,23,True,7.0,4.0,,,2.0,4.0,2.0,3.0,2.0,1.0,1.0,,,,15.0,11.0,6.7,4.0,0,8,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10433849,home,Adana Demirspor,Gökhan Inler,gokhan-inler,G. Inler,M,183,108,M,4252,EUR,457142400,M,88,88,True,3.0,3.0,,,2.0,2.0,1.0,1.0,2.0,,,,,,16.0,8.0,6.7,2.0,0,,,,1.0,,2.0,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,
10433849,home,Adana Demirspor,Britt Assombalonga,britt-assombalonga,B. Assombalonga,F,177,240,M,151512,EUR,723600000,F,9,9,True,3.0,3.0,,,,,3.0,3.0,1.0,,,,,,16.0,6.0,6.6,,1,27,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,
10433849,home,Adana Demirspor,Vedat Karakuş,vedat-karakus,V. Karakuş,G,185,49,M,847353,EUR,888624000,G,39,39,True,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433849,home,Adana Demirspor,Abdurrahim Dursun,abdurrahim-dursun,A. Dursun,D,176,46,M,883275,EUR,912470400,D,3,3,True,,,,,,,,,,,,,,,,,,,0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433849,home,Adana Demirspor,İsmail Çokçalış,ismail-cokcalis,İ. Çokçalış,D,176,32,M,906050,EUR,961545600,D,16,16,True,,,,,,,,,,,,,,,,,,,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433849,home,Adana Demirspor,Erhun Öztümer,erhun-oztumer,E. Öztümer,M,160,17,M,582228,EUR,675388800,M,50,50,True,,,,,,,,,,,,,,,,,,,0,99,,,,,,,,,,,,,,,,Erhun,Öztümer,,,,,,,,,,,,
10433849,home,Adana Demirspor,Birkir Bjarnason,birkir-bjarnason,B. Bjarnason,M,182,161,M,13270,EUR,580694400,M,8,8,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433849,away,Konyaspor,Ibrahim Šehić,ibrahim-sehic,I. Šehić,G,190,350,M,63952,EUR,589161600,G,13,13,False,47.0,39.0,17.0,9.0,31.0,34.0,8.0,13.0,1.0,9.0,,,2.0,3.0,90.0,55.0,6.9,8.0,0,13,,,,,,,,,1.0,,,,1.0,,,,,,,True,,,,,,,,,1.0
10433849,away,Konyaspor,Ahmet Oğuz,ahmet-oguz,A. Oğuz,D,175,120,M,603902,EUR,727142400,D,22,22,False,40.0,34.0,9.0,7.0,17.0,20.0,18.0,23.0,5.0,9.0,2.0,,,,90.0,67.0,6.7,12.0,1,22,3.0,,6.0,4.0,1.0,1.0,2.0,1.0,,2.0,2.0,2.0,2.0,,3.0,,,,1.0,,,1.0,,,,,,,
10433849,away,Konyaspor,Adil Demirbağ,adil-demirbag,A. Demirbağ,D,182,168,M,787949,EUR,881712000,D,4,4,False,39.0,34.0,7.0,5.0,29.0,33.0,5.0,6.0,,2.0,,,,,90.0,55.0,7.4,5.0,1,4,,1.0,2.0,1.0,,,,,,,,,4.0,4.0,4.0,,,,,,,,1.0,,,,,,
10433849,away,Konyaspor,Francisco Calvo,francisco-calvo,F. Calvo,D,181,677,M,156400,EUR,710553600,D,15,15,False,45.0,36.0,10.0,5.0,30.0,31.0,6.0,14.0,6.0,6.0,,,,,90.0,64.0,7.5,13.0,1,5,,,2.0,,3.0,1.0,2.0,,3.0,1.0,,,4.0,1.0,5.0,,,1.0,1.0,,,,,,,,,,
10433849,away,Konyaspor,Guilherme Haubert Sityá,guilherme-haubert-sitya,G. H. Sityá,D,179,254,M,224112,EUR,638928000,D,12,12,False,39.0,27.0,3.0,,19.0,25.0,9.0,20.0,3.0,5.0,,,,,90.0,57.0,6.8,18.0,0,12,6.0,1.0,1.0,,,,,2.0,3.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,
10433849,away,Konyaspor,Amir Hadžiahmetović,amir-hadziahmetovic,A. Hadžiahmetović,M,179,1356,M,795421,EUR,857779200,M,18,18,False,44.0,36.0,7.0,3.0,16.0,18.0,21.0,28.0,2.0,7.0,,,,,90.0,62.0,6.8,11.0,2,20,2.0,,3.0,,,,,,1.0,1.0,1.0,1.0,4.0,,4.0,,,2.0,1.0,,1.0,1.0,,,,,,,
10433849,away,Konyaspor,Konrad Michalak,konrad-michalak,K. Michalak,M,174,588,M,851243,EUR,874627200,M,77,77,False,14.0,8.0,,,1.0,3.0,7.0,11.0,7.0,2.0,3.0,,,,89.0,29.0,6.9,9.0,0,71,,,3.0,,1.0,1.0,2.0,1.0,,1.0,3.0,3.0,,1.0,1.0,Konrad,Michalak,2.0,,,,,,,,,2.0,,
