match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_aerialLost,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_totalContest,stat_wasFouled,stat_dispossessed,stat_accurateCross,stat_wonContest,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,player_sofascoreId,stat_hitWoodwork,stat_goodHighClaim,stat_punches,stat_errorLeadToAShot,stat_bigChanceMissed
10556824,home,Udinese,Daniele Padelli,daniele-padelli,D. Padelli,G,93,191.0,191,M,2899,EUR,499046400,G,20,20,False,30.0,29.0,5.0,4.0,28.0,28.0,1.0,2.0,1.0,6.0,5.0,5.0,90.0,40.0,6.8,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556824,home,Udinese,Nehuén Pérez,nehuen-perez,N. Pérez,D,18,184.0,3341,M,913401,EUR,961804800,D,18,18,False,64.0,57.0,6.0,3.0,33.0,36.0,24.0,29.0,1.0,8.0,,,90.0,87.0,8.4,10.0,3,,,1.0,2.0,5.0,6.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,
10556824,home,Udinese,Bram Nuytinck,bram-nuytinck,B. Nuytinck,D,17,190.0,134,M,70930,EUR,641779200,D,17,17,False,59.0,55.0,5.0,2.0,34.0,35.0,21.0,24.0,4.0,4.0,,,90.0,69.0,7.1,4.0,1,,,,4.0,2.0,5.0,,,,,,1.0,,,,,True,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10556824,home,Udinese,Enzo Ebosse,enzo-ebosse,E. Ebosse,D,77,185.0,507,M,848279,EUR,921110400,D,23,23,False,57.0,51.0,6.0,4.0,24.0,26.0,27.0,31.0,1.0,7.0,,,90.0,71.0,6.5,9.0,0,,,,,1.0,2.0,,,,,3.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,
10556824,home,Udinese,Kingsley Ehizibue,kingsley-ehizibue,K. Ehizibue,M,19,189.0,687,M,609206,EUR,801360000,M,19,19,False,16.0,11.0,1.0,,6.0,7.0,5.0,9.0,1.0,2.0,,,65.0,27.0,6.4,8.0,0,,,,,5.0,3.0,1.0,,,,1.0,2.0,1.0,2.0,3.0,,,,,,,,1.0,1.0,,,,,,,,,,,
10556824,home,Udinese,Sandi Lovrić,sandi-lovric,S. Lovrić,M,4,180.0,805,M,575852,EUR,891043200,M,4,4,False,56.0,49.0,6.0,3.0,12.0,14.0,39.0,46.0,1.0,7.0,,,90.0,79.0,7.3,14.0,1,,,4.0,,3.0,6.0,,,1.0,,1.0,4.0,3.0,1.0,2.0,4.0,,,,,,1.0,1.0,3.0,2.0,1.0,,,,,,,,,
10556824,home,Udinese,Mato Jajalo,mato-jajalo,M. Jajalo,M,,180.0,69,M,42147,EUR,580521600,M,8,8,False,12.0,9.0,3.0,3.0,6.0,6.0,3.0,7.0,,3.0,,,45.0,21.0,6.7,6.0,1,,,1.0,2.0,2.0,4.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,
10556824,home,Udinese,Tolgay Arslan,tolgay-arslan,T. Arslan,F,30,180.0,388,M,71203,EUR,650764800,M,5,5,False,59.0,53.0,2.0,2.0,20.0,21.0,34.0,41.0,2.0,6.0,,,90.0,73.0,6.8,10.0,1,,,3.0,,4.0,2.0,2.0,,,,,,,1.0,1.0,4.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
10556824,home,Udinese,Festy Ebosele,festy-ebosele,F. Ebosele,D,36,180.0,588,M,983059,EUR,1028246400,M,2,2,False,12.0,11.0,,,4.0,4.0,7.0,9.0,,3.0,,,45.0,18.0,6.7,2.0,0,,,1.0,,,2.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
10556824,home,Udinese,Beto,beto,Beto,F,9,194.0,3386,M,987489,EUR,886204800,F,9,9,False,10.0,7.0,1.0,1.0,1.0,2.0,6.0,8.0,,2.0,,,65.0,26.0,7.2,10.0,3,,,,2.0,5.0,6.0,,1.0,,,,2.0,2.0,3.0,1.0,1.0,,1.0,2.0,,,1.0,2.0,2.0,,,1.0,1.0,,,,,,,
