match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_outfielderBlock,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_challengeLost,stat_totalContest,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_wonContest,stat_bigChanceCreated,captain,stat_bigChanceMissed,stat_totalOffside
12359685,home,Juventude,Gabriel Vasconcelos,gabriel-vasconcelos,G. Vasconcelos,G,1,193,501,M,147467,EUR,717552000,G,1,1,False,25.0,23.0,4.0,2.0,0.0,23.0,24.0,1.0,1.0,7.0,3.0,1.0,90.0,36.0,6.9,2.0,5.374e-05,0,-0.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12359685,home,Juventude,Ewerthon,ewerton,Ewerthon,D,2,171,176,M,992512,EUR,971222400,D,14,14,False,44.0,34.0,5.0,2.0,0.0,23.0,27.0,21.0,3.0,6.0,,,78.0,60.0,7.1,16.0,0.0104742,1,,12.0,4.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,0.0197,,,,,,,,,,,,,,,,,
12359685,home,Juventude,Danilo Boza,danilo-boza,D. Boza,D,3,184,230,M,924226,EUR,894412800,D,4,4,False,88.0,82.0,7.0,6.0,0.0,55.0,59.0,29.0,5.0,5.0,,,90.0,99.0,7.3,6.0,0.0202409,0,,27.0,,,,1.0,1.0,1.0,,2.0,,,1.0,,,,2.0,,,,,,,,,,,,,,
12359685,home,Juventude,Rodrigo Sam,rodrigo-sam,R. Sam,D,34,185,108,M,794640,EUR,806544000,D,34,34,False,74.0,68.0,4.0,2.0,0.0,54.0,57.0,17.0,3.0,3.0,,,90.0,89.0,8.0,8.0,0.00477982,3,,14.0,,,,6.0,4.0,8.0,1.0,3.0,2.0,1.0,2.0,0.2618,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,
12359685,home,Juventude,Alan Ruschel,alan-ruschel,A. L. Ruschel,D,28,175,447,M,551674,EUR,619833600,D,28,28,False,51.0,43.0,4.0,2.0,0.0,24.0,26.0,27.0,,1.0,,,90.0,83.0,6.7,16.0,0.0216741,0,,19.0,2.0,,2.0,1.0,6.0,6.0,,1.0,3.0,1.0,2.0,,,,,,,,,1.0,1.0,2.0,2.0,,,,,,
12359685,home,Juventude,Jádson,jadson,Jádson,M,16,171,454,M,243651,EUR,746668800,M,16,16,False,52.0,46.0,6.0,3.0,0.0,26.0,28.0,26.0,,3.0,,,90.0,69.0,7.1,12.0,0.0265993,2,,20.0,2.0,,,,2.0,5.0,,,5.0,2.0,1.0,0.0464,,,,,2.0,,,1.0,,4.0,,1.0,,,,,
12359685,home,Juventude,Caique Gonçalves,caique-goncalves,Caique,M,95,178,364,M,871032,EUR,813283200,M,95,95,False,60.0,52.0,6.0,4.0,0.0,29.0,29.0,31.0,,7.0,,,90.0,70.0,7.0,10.0,0.0142806,0,,23.0,,,,2.0,4.0,8.0,,,4.0,4.0,1.0,,,,,,,,,1.0,3.0,,1.0,1.0,1.0,,,,
12359685,home,Juventude,Lucas Barbosa,lucas-barbosa,L. Barbosa,M,21,193,762,M,1067641,EUR,982800000,M,21,21,False,26.0,22.0,6.0,5.0,0.0,10.0,10.0,19.0,,3.0,,,87.0,43.0,7.2,9.0,0.479728,1,,13.0,3.0,1.0,4.0,2.0,6.0,5.0,,,2.0,1.0,2.0,0.0164,Lucas Barbosa,,,,1.0,,,,,3.0,1.0,1.0,,1.0,,,
12359685,home,Juventude,Nenê,nene,Nenê,M,10,181,1562,M,5672,EUR,364348800,M,10,10,False,24.0,12.0,5.0,3.0,1.0,3.0,4.0,33.0,,1.0,,,78.0,43.0,7.3,20.0,0.336251,0,,17.0,13.0,8.0,2.0,,5.0,1.0,,,,,3.0,,,,,1.0,,,,,,2.0,1.0,5.0,,,True,,
12359685,home,Juventude,Marcelinho,marcelinho,Marcelinho,M,99,164,258,M,1046439,EUR,1039564800,M,11,11,False,13.0,7.0,,,0.0,1.0,1.0,14.0,,4.0,,,56.0,27.0,6.7,10.0,0.0592517,2,,7.0,2.0,1.0,1.0,2.0,4.0,6.0,,,,,1.0,0.2472,Marcelinho,,,1.0,1.0,1.0,,,3.0,1.0,2.0,1.0,2.0,,,1.0,
