match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_interceptionWon,stat_aerialWon,stat_challengeLost,stat_totalCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_fouls,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalOffside,stat_onTargetScoringAttempt,player_sofascoreId,stat_punches,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_goalAssist
10433855,home,Fatih Karagümrük,Emiliano Viviano,emiliano-viviano,E. Viviano,G,195,127,M,38599,EUR,502243200,G,2,2,False,True,34.0,16.0,25.0,7.0,14.0,18.0,2.0,16.0,1.0,13.0,1.0,1.0,6.0,10.0,1.0,1.0,90.0,53.0,8.8,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Davide Biraschi,davide-biraschi,D. Biraschi,D,182,102,M,233252,EUR,773107200,D,4,4,False,,20.0,13.0,4.0,1.0,7.0,13.0,6.0,7.0,6.0,5.0,3.0,,,,,,90.0,48.0,7.3,16.0,0,,,4,1.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Steven Caulker,steven-caulker,S. Caulker,D,190,140,M,73685,EUR,693964800,D,44,44,False,,23.0,18.0,2.0,,18.0,21.0,,2.0,1.0,2.0,,,,,,,90.0,34.0,7.0,5.0,0,,,,,,7.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Ibrahim Drešević,ibrahim-dresevic,I. Drešević,D,186,210,M,817987,EUR,854064000,D,5,5,False,,21.0,18.0,,,15.0,18.0,3.0,3.0,4.0,3.0,,,,,,,90.0,36.0,6.8,3.0,0,,,5,2.0,3.0,6.0,3.0,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Caner Erkin,caner-erkin,C. Erkin,D,181,260,M,15680,EUR,591926400,D,88,88,False,,24.0,14.0,6.0,2.0,9.0,12.0,5.0,19.0,,2.0,,,,,,,90.0,49.0,6.3,25.0,2,,,88,,1.0,1.0,,,,,,1.0,,,7.0,1.0,1.0,1.0,,,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Jimmy Durmaz,jimmy-durmaz,J. Durmaz,M,180,109,M,37504,EUR,606528000,M,21,21,False,,24.0,15.0,6.0,4.0,9.0,12.0,6.0,12.0,4.0,4.0,2.0,,,,,,81.0,45.0,6.1,16.0,1,,,,1.0,8.0,1.0,,1.0,,3.0,1.0,1.0,,2.0,,,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,
10433855,home,Fatih Karagümrük,Otabek Shukurov,otabek-shukurov,O. Shukurov,M,182,2967,M,358890,EUR,835401600,M,29,29,False,,37.0,31.0,6.0,3.0,25.0,27.0,6.0,10.0,5.0,7.0,,,,,,,90.0,56.0,6.5,11.0,1,,,63,3.0,9.0,2.0,1.0,4.0,,2.0,,2.0,1.0,,,,1.0,4.0,,2.0,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Adnan Uğur,adnan-ugur,A. Uğur,M,174,53,M,987539,EUR,993686400,M,77,77,False,,4.0,4.0,,,3.0,3.0,1.0,1.0,1.0,,,,,,,,33.0,8.0,5.4,2.0,0,,,77,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Jean Evrard Kouassi,jean-evrard-kouassi,J. Kouassi,M,174,581,M,156008,EUR,780451200,F,70,70,False,,10.0,6.0,,,2.0,3.0,4.0,7.0,3.0,2.0,1.0,,,,,,61.0,18.0,6.2,11.0,0,,,17,,4.0,,,,,2.0,,,2.0,,,,,,1.0,3.0,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Mbaye Diagne,mbaye-diagne,M. Diagne,F,191,1430,M,346790,EUR,688608000,F,9,9,False,,14.0,9.0,,,7.0,9.0,2.0,5.0,2.0,2.0,1.0,,,,,,90.0,24.0,6.3,9.0,0,,,45,5.0,10.0,2.0,,1.0,1.0,1.0,,,,,,,,2.0,3.0,,,2.0,,,,,,,,,
10433855,home,Fatih Karagümrük,Fabio Borini,fabio-borini,F. Borini,F,180,487,M,89510,EUR,670204800,F,16,16,False,,10.0,6.0,1.0,,4.0,6.0,2.0,4.0,8.0,6.0,4.0,,,,,,90.0,28.0,7.0,6.0,2,,,16,,4.0,2.0,1.0,3.0,3.0,1.0,,1.0,1.0,3.0,,1.0,,,1.0,,,,1.0,,,,,,,,
10433855,home,Fatih Karagümrük,Salih Dursun,salih-dursun,S. Dursun,D,188,33,M,179189,EUR,679276800,D,54,54,True,,6.0,5.0,,,1.0,1.0,4.0,5.0,1.0,1.0,,,,,,,29.0,10.0,6.3,3.0,0,,,24,,1.0,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Nicholas Anwan,nicholas-anwan,N. Anwan,M,188,32,M,1129985,EUR,990057600,M,24,24,True,,4.0,3.0,,,2.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,9.0,8.0,6.4,2.0,0,Nicholas,Anwan,24,,1.0,1.0,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,
10433855,home,Fatih Karagümrük,Batuhan Şen,batuhan-ahmet-sen,B. A. Şen,G,192,1076,M,867595,EUR,918000000,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,0,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Emir Tintiş,emir-tintis,E. Tintiş,D,187,27,M,1210418,EUR,1073865600,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Rayyan Baniya,rayyan-baniya,R. Baniya,D,192,339,M,929739,EUR,919296000,D,99,99,True,,,,,,,,,,,,,,,,,,,,,,0,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Burak Bekaroğlu,burak-bekaroglu,B. Bekaroğlu,D,185,23,M,802645,EUR,861148800,D,86,86,True,,,,,,,,,,,,,,,,,,,,,,0,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Levent Mercan,munir-levent-mercan,L. Mercan,D,176,1693,M,1085938,EUR,976406400,M,18,18,True,,,,,,,,,,,,,,,,,,,,,,0,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Kerim Frei,kerim-frei,K. Frei,M,173,68,M,157014,EUR,753667200,M,11,11,True,,,,,,,,,,,,,,,,,,,,,,0,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Samed Onur,samed-onur,S. Onur,M,175,60,M,980608,EUR,1026691200,M,17,17,True,,,,,,,,,,,,,,,,,,,,,,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433855,home,Fatih Karagümrük,Ebrima Colley,colley-ebrima,E. Colley,F,179,640,M,928106,EUR,949363200,M,19,19,True,,,,,,,,,,,,,,,,,,,,,,0,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433855,away,Galatasaray,Fernando Muslera,fernando-muslera,F. Muslera,G,190,9264,M,28381,EUR,519264000,G,1,1,False,True,26.0,25.0,7.0,6.0,23.0,23.0,2.0,3.0,1.0,8.0,,,,1.0,2.0,2.0,90.0,32.0,7.3,1.0,0,,,16,,,2.0,,,,,,,1.0,,,,,,,,,,,Muslera,1.0,,,,,,
10433855,away,Galatasaray,Léo Dubois,leo-dubois,L. Dubois,D,178,587,M,552680,EUR,779500800,D,2,2,False,,68.0,61.0,6.0,4.0,24.0,25.0,39.0,46.0,4.0,2.0,,,,,,,90.0,89.0,7.9,11.0,2,,,,2.0,4.0,3.0,,,,1.0,4.0,1.0,2.0,,3.0,,1.0,,2.0,2.0,2.0,,1.0,,,2.0,1.0,,,,
10433855,away,Galatasaray,Victor Nelsson,victor-nelsson,V. Nelsson,D,187,2642,M,846148,EUR,908323200,D,25,25,False,,65.0,62.0,9.0,8.0,38.0,40.0,24.0,25.0,1.0,9.0,,,,,,,90.0,69.0,7.2,3.0,2,,,15,,3.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,3.0,,,,,1.0,Nelsson,,,,1.0,1.0,,
