match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_aerialWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_aerialLost,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12117260,away,Palmeiras,Gabriel Menino,gabriel-menino,G. Menino,M,25,176,2791,M,974556,EUR,970185600,M,25,25,True,,9.0,6.0,4.0,2.0,0.0,4.0,6.0,2.0,3.0,1.0,,,,25.0,11.0,6.7,3.0,0.126788,1,,,,3.0,,,,1.0,,,1.0,0.0346,2.0,,,,,1.0,,,,,2.0,,,,,,,,,,
12117260,away,Palmeiras,Dudu,dudu,Dudu,F,92,167,5188,M,147464,EUR,694742400,F,7,7,True,,9.0,6.0,1.0,1.0,0.0,1.0,2.0,5.0,8.0,,,,,12.0,12.0,7.0,4.0,0.0137398,2,,1.0,,,,,,1.0,,,,0.1701,,1.0,,,,,0.4705,,,,,,,,,,,7_dudu,,,
12117260,away,Palmeiras,Rony,rony,Rony,F,11,167,5631,M,835260,EUR,800150400,F,10,10,True,,2.0,,1.0,,0.0,,,,3.0,1.0,,,,15.0,6.0,6.4,3.0,,1,,1.0,,1.0,,1.0,1.0,1.0,,,,0.5405,,,1.0,,,,,,,,,,,,,,1.0,Rony,,,
12117260,away,Palmeiras,Vanderlan,vanderlan,Vanderlan,D,6,183,1727,M,1067640,EUR,1031356800,D,6,6,True,,3.0,2.0,,,0.0,2.0,2.0,,1.0,,,,,15.0,4.0,6.5,1.0,1.28e-05,0,,,,,,,,,1.0,,,,,,,,,,,Vanderlan,,,,,,,,,,,,,
12117260,away,Palmeiras,Marcelo Lomba,marcelo-lomba,M. Lomba,G,14,187,2235,M,34141,EUR,535248000,G,14,14,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117260,away,Palmeiras,Vitor Reis,reis-vitor,V. Reis,D,12,186,12928,M,1485300,EUR,1137024000,D,44,44,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitorreiss_06,,,
12117260,away,Palmeiras,Rômulo,romulo,Rômulo,M,10,176,1438,M,1105078,EUR,1002412800,M,20,20,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,Rômulo,,,,,,,,,,,,,
12117260,away,Palmeiras,Fabinho,fabinho,Fabinho,M,5,178,1291,M,1117513,EUR,1018310400,M,35,35,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117260,away,Palmeiras,Zé Rafael,ze-rafael,Z. Rafael,M,6,175,2603,M,329069,EUR,740188800,M,8,8,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117260,away,Palmeiras,Lázaro,lazaro,Lázaro,F,7,181,1899,M,1002556,EUR,1015891200,F,17,17,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
