match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_sofascoreId,captain,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_wasFouled,stat_errorLeadToAShot,stat_totalCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_accurateCross,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine,stat_hitWoodwork
12504357,home,Venezia,Ionuț Radu,ionut-radu,I. Radu,G,13,188,3683,M,815202,EUR,864777600,G,28,28,False,34.0,6.0,29.0,2.0,0.0,4.0,5.0,2.0,29.0,1.0,10.0,1.0,7.0,7.0,90.0,47.0,8.3,29.0,0.00081459,0,2.5817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504357,home,Venezia,Joel Schingtienne,schingtienne-joel,J. Schingtienne,D,3,188,258,M,1388438,EUR,1029283200,D,25,25,False,24.0,23.0,1.0,,0.0,11.0,11.0,12.0,13.0,3.0,2.0,,,,90.0,37.0,7.3,4.0,0.00963838,0,,Joel Schingtienne,,1.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12504357,home,Venezia,Jay Idzes,jay-idzes,J. Idzes,D,21,190,19111,M,933641,EUR,959904000,D,4,4,False,20.0,18.0,1.0,1.0,0.0,12.0,12.0,6.0,8.0,5.0,,,,,90.0,36.0,7.3,4.0,0.00848646,0,,,,6.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,jayidzes,True,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12504357,home,Venezia,Fali Candé,fali-cande,F. Candé,D,5,184,402,M,892430,EUR,885600000,D,2,2,False,38.0,32.0,10.0,4.0,0.0,23.0,24.0,9.0,14.0,8.0,5.0,,,,90.0,56.0,6.8,9.0,0.00689059,0,,,,9.0,3.0,,2.0,2.0,2.0,1.0,3.0,,,6.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
12504357,home,Venezia,Alessio Zerbin,alessio-zerbin,A. Zerbin,M,7,182,1060,M,869888,EUR,920419200,M,24,24,False,29.0,18.0,2.0,1.0,0.0,4.0,5.0,14.0,27.0,2.0,3.0,,,,90.0,59.0,7.0,20.0,0.0284559,1,,,,7.0,5.0,1.0,,,,1.0,2.0,,,1.0,,,2.0,,3.0,2.0,5.0,3.0,1.0,1.0,0.049,,,,,,,,,,,
12504357,home,Venezia,Alfred Duncan,alfred-duncan,A. Duncan,M,32,178,572,M,232224,EUR,731721600,M,32,32,False,26.0,21.0,5.0,2.0,0.0,7.0,7.0,14.0,19.0,,4.0,,,,70.0,30.0,7.0,6.0,0.0712036,0,,,,1.0,2.0,,,,,,,,,,,1.0,,,,,2.0,2.0,,,,2.0,,,,,,,,,,
12504357,home,Venezia,Hans Nicolussi Caviglia,hans-nicolussi-caviglia,H. N. Caviglia,M,41,184,1622,M,876259,EUR,961286400,M,14,14,False,41.0,34.0,4.0,4.0,0.0,15.0,16.0,19.0,26.0,3.0,4.0,,,,90.0,58.0,7.2,12.0,0.0252127,4,,,,6.0,3.0,,1.0,1.0,1.0,3.0,4.0,,,1.0,1.0,,,,1.0,,2.0,1.0,2.0,,0.2158,,1.0,1.0,0.0783,,,,,,,
12504357,home,Venezia,Kike Pérez,kike-perez,K. Pérez,M,71,184,312,M,857178,EUR,855878400,M,71,71,False,35.0,28.0,4.0,1.0,0.0,8.0,8.0,20.0,31.0,2.0,4.0,,,,87.0,61.0,6.8,15.0,0.0839446,2,,,,11.0,5.0,1.0,,3.0,,1.0,2.0,,,3.0,1.0,2.0,,,4.0,3.0,2.0,1.0,1.0,,0.1467,2.0,1.0,,0.0972,1.0,1.0,,,,,
12504357,home,Venezia,Mikael Ellertsson,mikael-ellertsson,M. Ellertsson,M,77,182,433,M,933203,EUR,1015804800,M,77,77,False,20.0,17.0,3.0,2.0,0.0,4.0,6.0,15.0,18.0,3.0,6.0,,,,87.0,42.0,7.1,10.0,0.0612648,0,,,,5.0,2.0,,1.0,,,,,,,,2.0,1.0,,,4.0,2.0,2.0,,,,,4.0,,,,1.0,,2.0,,,,
12504357,home,Venezia,Daniel Fila,fila-daniel,D. Fila,F,17,190,449,M,1088870,EUR,1029888000,F,18,18,False,12.0,10.0,2.0,2.0,0.0,1.0,1.0,9.0,11.0,3.0,1.0,,,,70.0,22.0,6.9,3.0,0.025769,2,,,,5.0,1.0,,,,,1.0,2.0,,,2.0,,,,,,1.0,1.0,1.0,,,0.2392,2.0,2.0,,0.093,,1.0,,,,,
