match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_fouls,captain,stat_shotOffTarget,stat_expectedGoals,stat_challengeLost,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_punches
12437667,home,Mallorca,Leo Román,,,leo-roman,L. Román,G,1,189,1557,M,1131909,EUR,962841600,G,13,13,False,22.0,16.0,12.0,6.0,0.0,14.0,15.0,2.0,7.0,6.0,3.0,7.0,90.0,32.0,8.5,6.0,0.00063459,0,0.9776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437667,home,Mallorca,Pablo Maffeo,,,pablo-maffeo,P. Maffeo,D,23,173,2206,M,788216,EUR,868665600,D,23,23,False,29.0,24.0,1.0,1.0,0.0,8.0,10.0,19.0,24.0,4.0,,,90.0,64.0,7.3,18.0,0.07399,0,,5.0,3.0,1.0,3.0,5.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,6.0,1.0,1.0,,,,,,,,,,,,,
12437667,home,Mallorca,Martin Valjent,,,martin-valjent,M. Valjent,D,24,187,757,M,300522,EUR,818640000,D,24,24,False,53.0,46.0,8.0,5.0,0.0,36.0,37.0,10.0,16.0,6.0,,,90.0,63.0,7.1,7.0,0.00502392,0,,,,2.0,2.0,2.0,,,,8.0,,,,,,,,1.0,1.0,,,,,,,,,,,
12437667,home,Mallorca,Antonio Raíllo,,,antonio-raillo,A. Raíllo,D,21,186,793,M,807116,EUR,686880000,D,21,21,False,48.0,42.0,5.0,3.0,0.0,29.0,31.0,13.0,17.0,4.0,,,90.0,57.0,7.1,6.0,0.00674951,1,,,,1.0,3.0,1.0,,,,4.0,1.0,1.0,,,,,,2.0,1.0,True,1.0,0.0287,,,,,,,,
12437667,home,Mallorca,Johan Mojica,,,johan-mojica,J. Mojica,D,22,185,3950,M,344847,EUR,714355200,D,22,22,False,31.0,23.0,6.0,4.0,0.0,7.0,11.0,17.0,24.0,4.0,,,90.0,58.0,6.7,15.0,0.0525053,1,,4.0,1.0,,6.0,2.0,2.0,1.0,,1.0,,1.0,2.0,,1.0,,1.0,,2.0,,1.0,0.0105,1.0,,,,,,,
12437667,home,Mallorca,Samú Costa,,,samuel-costa,S. Costa,M,12,183,1427,M,988351,EUR,975283200,M,12,12,False,50.0,44.0,6.0,4.0,0.0,15.0,15.0,29.0,36.0,4.0,,,90.0,63.0,7.3,7.0,0.0279504,0,,1.0,,2.0,5.0,7.0,,,,2.0,,2.0,1.0,,,4.0,1.0,2.0,1.0,,,,2.0,1.0,,,,,,
12437667,home,Mallorca,Manu Morlanes,,,manu-morlanes,M. Morlanes,M,8,178,430,M,826004,EUR,916099200,M,8,8,False,41.0,38.0,2.0,1.0,0.0,14.0,14.0,24.0,27.0,4.0,,,73.0,54.0,7.0,7.0,0.0230498,0,,,,,5.0,2.0,2.0,,,1.0,1.0,2.0,2.0,2.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,
12437667,home,Mallorca,Sergi Darder,,,sergi-darder,S. Darder,M,10,180,979,M,110783,EUR,756518400,M,10,10,False,36.0,26.0,5.0,2.0,0.0,7.0,8.0,21.0,36.0,5.0,,,82.0,52.0,7.0,18.0,0.0683102,0,,8.0,2.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,,,1.0,,,,2.0,,2.0,,,,,,,,,,,
12437667,home,Mallorca,Antonio Sánchez,,,antonio-sanchez,A. Sánchez,M,6,179,256,M,949722,EUR,861667200,F,18,18,False,16.0,11.0,2.0,1.0,0.0,3.0,3.0,9.0,15.0,1.0,,,65.0,30.0,7.0,10.0,0.336291,1,,2.0,1.0,,2.0,3.0,1.0,,,,,,3.0,1.0,2.0,,1.0,,1.0,,,0.0304,,,1.0,0.1046,,,,
12437667,home,Mallorca,Vedat Muriqi,,,vedat-muriqi,V. Muriqi,F,7,194,5879,M,310874,EUR,767145600,F,7,7,False,24.0,14.0,1.0,1.0,0.0,,,14.0,24.0,2.0,,,82.0,40.0,7.5,14.0,0.0390473,5,,,,4.0,4.0,6.0,1.0,1.0,1.0,3.0,,,,,2.0,1.0,2.0,2.0,1.0,,3.0,0.6919,,,2.0,0.7552,vedatmuriqi,1.0,,
