match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_bigChanceMissed,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,captain,stat_goals,stat_totalOffside,player_sofascoreId
12624939,home,Al-Khaleej,Ibrahim Šehić,ibrahim-sehic,I. Šehić,G,13,190.0,350,M,63952,EUR,589161600,G,23,23,False,34.0,27.0,12.0,5.0,0.0,25.0,30.0,2.0,4.0,1.0,1.0,4.0,11.0,2.0,2.0,3.0,4.0,1.0,1.0,90.0,48.0,7.9,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624939,home,Al-Khaleej,Saeed Al Hamsal,saeed-al-hamsal,S. A. Hamsal,D,39,176.0,21,M,818563,EUR,829785600,D,39,39,False,35.0,27.0,6.0,4.0,0.0,20.0,25.0,7.0,11.0,1.0,4.0,1.0,4.0,,,,,,,90.0,55.0,6.9,12.0,1,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12624939,home,Al-Khaleej,Marcel Tisserand,marcel-tisserand,M. Tisserand,D,32,190.0,461,M,338651,EUR,726624000,D,32,32,False,51.0,45.0,7.0,3.0,0.0,37.0,38.0,8.0,13.0,,1.0,5.0,4.0,,,,,,,90.0,63.0,7.0,7.0,0,,5.0,,,1.0,,1.0,,,,4.0,1.0,2.0,1.0,,,,,,,,,,,,,
12624939,home,Al-Khaleej,Mohammed Al-Khabrani,mohammed-al-khabrani,M. Al-Khabrani,D,3,178.0,21,M,818696,EUR,750556800,D,3,3,False,61.0,55.0,6.0,3.0,0.0,38.0,41.0,17.0,20.0,,3.0,1.0,6.0,,,,,,,89.0,69.0,7.1,6.0,0,,2.0,,,1.0,1.0,,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,
12624939,home,Al-Khaleej,Pedro Rebocho,pedro-rebocho,P. Rebocho,D,5,172.0,204,M,190139,EUR,790819200,D,5,5,False,44.0,34.0,6.0,2.0,1.0,19.0,26.0,15.0,18.0,1.0,4.0,2.0,2.0,,,,,,,90.0,62.0,7.7,12.0,0,,4.0,1.0,,2.0,2.0,2.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
12624939,home,Al-Khaleej,Mansour Hamzi,mansour-hamzi,M. Hamzi,M,15,170.0,31,M,818581,EUR,738892800,M,15,15,False,42.0,37.0,5.0,3.0,0.0,20.0,21.0,17.0,21.0,,4.0,1.0,6.0,,,,,,,90.0,51.0,6.7,7.0,1,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,
12624939,home,Al-Khaleej,Dimitrios Kourbelis,dimitrios-kourbelis,D. Kourbelis,M,21,182.0,579,M,128089,EUR,752198400,M,21,21,False,35.0,29.0,4.0,1.0,0.0,18.0,18.0,11.0,17.0,,1.0,1.0,3.0,,,,,,,75.0,47.0,6.7,9.0,0,,4.0,,,1.0,1.0,2.0,,,,1.0,,3.0,2.0,1.0,,,,,,,,,,,,
12624939,home,Al-Khaleej,Saleh Abu Al-Shamat,saleh-aboulshamat,S. Aboulshamat,M,47,171.0,764,M,1429250,EUR,1029024000,M,47,47,False,30.0,21.0,3.0,1.0,1.0,10.0,10.0,12.0,23.0,,5.0,1.0,6.0,,,,,,,75.0,51.0,7.1,17.0,1,3.0,10.0,4.0,1.0,3.0,3.0,,1.0,Saleh Aboulshamat,,,,2.0,1.0,5.0,1.0,1.0,2.0,,1.0,1.0,,,,,,
12624939,home,Al-Khaleej,Kostas Fortounis,kostas-fortounis,K. Fortounis,M,10,183.0,2903,M,115577,EUR,719193600,M,17,17,False,39.0,34.0,3.0,3.0,0.0,12.0,12.0,24.0,31.0,,5.0,,6.0,,,,,,,90.0,66.0,6.9,20.0,2,4.0,7.0,,,1.0,1.0,6.0,2.0,,,,,,1.0,4.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,,,,
12624939,home,Al-Khaleej,Fábio Martins,fabio-martins,F. Martins,M,10,178.0,359,M,193064,EUR,743472000,M,10,10,False,17.0,14.0,2.0,1.0,0.0,9.0,9.0,5.0,9.0,,4.0,1.0,7.0,,,,,,,89.0,30.0,7.3,6.0,1,1.0,3.0,1.0,,2.0,1.0,2.0,2.0,,,1.0,,1.0,1.0,,,,,,,,1.0,,True,1.0,1.0,
