match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_keyPass,stat_aerialLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_shotOffTarget,player_lastName,captain,stat_goals,stat_penaltyWon,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_goalAssist,stat_bigChanceCreated,stat_penaltyConceded,stat_bigChanceMissed
11067636,home,Flamengo,Matheus Cunha,Matheus Cunha,matheus-cunha,M. Cunha,G,25,193,4946,M,1105835,EUR,990662400,G,25,25,False,29.0,28.0,4.0,3.0,28.0,28.0,1.0,5.0,90.0,32.0,6.3,1.0,0.0,0.0,0.00021224,0,-0.7673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067636,home,Flamengo,Wesley,,wesley-franca,Wesley,D,43,178,26920,M,1134200,EUR,1062806400,D,43,43,False,51.0,48.0,2.0,2.0,13.0,14.0,43.0,5.0,90.0,81.0,7.2,12.0,0.0168,0.0169,0.0837416,1,,WesleyFranca03,36.0,6.0,1.0,4.0,5.0,9.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11067636,home,Flamengo,Fabrício Bruno,,fabricio-bruno,F. Bruno,D,15,192,6526,M,840220,EUR,824083200,D,15,15,False,66.0,60.0,8.0,4.0,38.0,40.0,26.0,7.0,90.0,76.0,7.0,6.0,0.0,0.0,0.0147636,0,,fabriciobruno96,22.0,,,1.0,,3.0,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11067636,home,Flamengo,Léo Pereira,,leo-pereira,L. Pereira,D,4,189,8450,M,358548,EUR,823046400,D,4,4,False,83.0,74.0,3.0,1.0,39.0,40.0,43.0,10.0,90.0,93.0,7.2,10.0,0.0,0.0,0.0204789,0,,leopereira4,35.0,,,5.0,4.0,8.0,1.0,,,2.0,2.0,2.0,2.0,,2.0,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
11067636,home,Flamengo,Ayrton Lucas,,ayrton-lucas,A. Lucas,D,6,180,7146,M,818473,EUR,866678400,D,6,6,False,64.0,55.0,3.0,1.0,26.0,32.0,36.0,6.0,90.0,91.0,6.1,19.0,0.0324,0.0,0.0277055,1,,AyrtonLucas,29.0,4.0,,1.0,8.0,7.0,2.0,3.0,,,,2.0,2.0,3.0,1.0,,,,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,
11067636,home,Flamengo,Thiago Maia,,thiago-maia,T. Maia,M,29,179,1392,M,358550,EUR,859075200,M,8,8,False,32.0,30.0,1.0,1.0,14.0,16.0,17.0,3.0,45.0,39.0,7.1,2.0,0.0994,0.0,0.024137,2,,,17.0,1.0,1.0,1.0,1.0,4.0,,,,,,3.0,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,
11067636,home,Flamengo,Allan,,allan,Allan,M,29,172,5267,M,828839,EUR,857347200,M,21,21,False,85.0,74.0,15.0,10.0,36.0,38.0,47.0,9.0,90.0,103.0,8.0,13.0,0.072,0.014,0.0884469,3,,,38.0,,,,2.0,7.0,1.0,,1.0,1.0,2.0,4.0,3.0,1.0,,,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,
11067636,home,Flamengo,Victor Hugo,,victor-hugo,V. Hugo,M,30,184,3548,M,1170954,EUR,1084233600,M,29,29,False,23.0,18.0,3.0,2.0,5.0,7.0,17.0,5.0,77.0,42.0,7.2,9.0,0.0443,0.0,0.210111,2,,,14.0,1.0,1.0,1.0,4.0,8.0,2.0,1.0,,,1.0,1.0,,2.0,,1.0,1.0,1.0,4.0,4.0,,3.0,,2.0,,,,,,,,,,,,
11067636,home,Flamengo,Bruno Henrique,,bruno-henrique,B. Henrique,F,27,184,33811,M,795291,EUR,662515200,M,27,27,False,22.0,16.0,2.0,1.0,4.0,4.0,19.0,1.0,90.0,38.0,6.9,11.0,0.0148,0.021,0.0438721,1,,B.henrique,12.0,1.0,,4.0,8.0,8.0,1.0,,1.0,2.0,,1.0,1.0,2.0,2.0,,1.0,5.0,1.0,1.0,,4.0,,,,,,,,,,,,,,
11067636,home,Flamengo,Giorgian De Arrascaeta,,giorgian-de-arrascaeta,Arrascaeta,M,10,173,86686,M,333587,EUR,770428800,M,14,14,False,21.0,17.0,2.0,2.0,1.0,1.0,24.0,2.0,45.0,30.0,7.1,10.0,0.0,0.0,0.138759,0,,G10DeArrascaeta,17.0,4.0,1.0,,1.0,2.0,,1.0,,,,1.0,1.0,,,,3.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,
