match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_clearanceOffLine,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_penaltyConceded,stat_wasFouled,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,captain,stat_goals,stat_goodHighClaim,stat_penaltyWon,stat_lastManTackle,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalOffside
14572805,home,Malmö FF,Robin Olsen,,,robin-olsen,R. Olsen,G,30,198.0,1284,M,26025,EUR,631756800,G,30,30,False,15.0,14.0,5.0,5.0,0.0,12.0,12.0,2.0,3.0,5.0,1.0,4.0,1.0,5.0,90.0,29.0,7.4,1.0,0.00330369,0.7079,0,0.3089,0.02,0.01,-0.49,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572805,home,Malmö FF,Jens Stryger Larsen,,,jens-stryger-larsen,J. Stryger Larsen,D,17,180.0,369,M,44848,EUR,667094400,D,17,17,False,62.0,52.0,9.0,3.0,0.0,33.0,34.0,19.0,28.0,7.0,,,,,90.0,80.0,6.5,14.0,0.0210378,,0,,0.03,0.05,-0.3,,2.0,2.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572805,home,Malmö FF,Pontus Jansson,,,pontus-jansson,P. Jansson,D,18,194.0,315,M,55123,EUR,666403200,D,18,18,False,85.0,74.0,2.0,,0.0,53.0,56.0,21.0,29.0,6.0,,,,,90.0,100.0,7.1,12.0,0.00805655,,0,,0.05,0.13,0.36,,,8.0,3.0,1.0,,,4.0,6.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14572805,home,Malmö FF,Colin Rösler,,,colin-rosler,C. Rösler,D,19,186.0,116,M,907462,EUR,956361600,D,19,19,False,90.0,86.0,1.0,,0.0,48.0,49.0,38.0,41.0,6.0,,,,,90.0,101.0,7.3,5.0,0.014106,,0,,0.18,0.22,-0.09,,,3.0,4.0,1.0,1.0,,3.0,2.0,4.0,,,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
14572805,home,Malmö FF,Busanello,,,busanello,Busanello,D,25,179.0,319,M,880179,EUR,909619200,D,25,25,False,70.0,56.0,5.0,2.0,0.0,27.0,30.0,29.0,40.0,7.0,,,,,90.0,102.0,5.9,24.0,0.083979,,0,,0.4,0.06,-0.82,,6.0,3.0,,,,2.0,1.0,,4.0,1.0,1.0,,1.0,2.0,1.0,1.0,,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
14572805,home,Malmö FF,Hugo Bolin,Hugo Bolin,,bolin-hugo,H. Bolin,M,38,179.0,801,M,1142210,EUR,1059004800,M,38,38,False,25.0,19.0,,,0.0,2.0,2.0,17.0,23.0,3.0,,,,,90.0,41.0,6.8,9.0,0.0631671,,3,,-0.06,0.33,-0.03,,2.0,3.0,,2.0,1.0,2.0,,,2.0,1.0,,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,2.0,0.3788,0.4066,-0.54,,,,,,,,
14572805,home,Malmö FF,Otto Rosengren,,,otto-rosengren,O. Rosengren,M,7,178.0,503,M,1106662,EUR,1053043200,M,7,7,False,42.0,37.0,3.0,2.0,0.0,14.0,14.0,23.0,28.0,6.0,,,,,90.0,66.0,7.1,12.0,0.121456,,2,,0.28,0.16,0.25,,5.0,7.0,1.0,1.0,1.0,,1.0,2.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,3.0,,1.0,1.0,0.0516,0.0396,-0.25,,,,,,,,
14572805,home,Malmö FF,Adrian Skogmar,,,skogmar-adrian,A. Skogmar,M,37,175.0,120,M,1503622,EUR,1132704000,M,37,37,False,54.0,50.0,1.0,,0.0,17.0,17.0,33.0,37.0,1.0,,,,,76.0,63.0,6.2,7.0,0.0191359,,0,,-0.06,-0.2,-0.02,,,2.0,1.0,2.0,2.0,,,,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
14572805,home,Malmö FF,Sead Hakšabanović,,,sead-haksabanovic,S. Hakšabanović,M,29,174.0,528,M,791978,EUR,925776000,M,29,29,False,36.0,30.0,1.0,,0.0,4.0,4.0,26.0,32.0,3.0,,,,,76.0,50.0,6.6,13.0,0.161416,,0,,0.32,0.15,-0.24,,2.0,3.0,,2.0,,1.0,1.0,,6.0,3.0,1.0,,,2.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,
14572805,home,Malmö FF,Anders Christiansen,,,anders-christiansen,A. Christiansen,M,10,174.0,316,M,81859,EUR,644803200,F,10,10,False,37.0,29.0,2.0,1.0,0.0,7.0,8.0,22.0,29.0,2.0,,,,,60.0,50.0,6.3,12.0,0.0201145,,3,,-0.07,0.18,-0.02,,1.0,4.0,,1.0,,1.0,2.0,1.0,8.0,,,,1.0,,3.0,,,,3.0,,,2.0,,2.0,1.0,0.109,0.0239,-0.33,True,,,,,,,
