match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_outfielderBlock,player_sofascoreId,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_dispossessed,stat_totalOffside
11067497,home,Cuiabá,Walter,walter,Walter,G,22,188,774,M,329055,EUR,564192000,G,1,1,False,True,29.0,20.0,12.0,3.0,18.0,19.0,2.0,10.0,10.0,2.0,2.0,2.0,90.0,37.0,7.3,9.0,0.0,0.0,0.00032266,0,0.1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067497,home,Cuiabá,Matheus Alexandre,matheus-alexandre,M. Alexandre,D,33,188,291,M,953736,EUR,923443200,D,2,2,False,,35.0,31.0,4.0,2.0,15.0,16.0,17.0,21.0,6.0,,,,90.0,58.0,7.2,10.0,0.0,0.0,0.0427624,0,,,,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
11067497,home,Cuiabá,Marllon,marllon,Marllon,D,3,184,365,M,221206,EUR,703382400,D,4,4,False,,44.0,37.0,7.0,3.0,28.0,32.0,9.0,12.0,3.0,,,,90.0,56.0,7.0,9.0,0.0691,0.0,0.00382657,1,,,,,,1.0,,2.0,2.0,7.0,,2.0,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,
11067497,home,Cuiabá,Allyson,allyson,Allyson,D,3,184,69,M,809194,EUR,656640000,D,34,34,False,,45.0,43.0,2.0,1.0,31.0,32.0,12.0,13.0,2.0,,,,90.0,56.0,7.2,4.0,0.0,0.0,0.00977338,0,,,,,,1.0,,1.0,1.0,6.0,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,
11067497,home,Cuiabá,Rikelme,rikelme,Rikelme,D,16,184,260,M,1102383,EUR,1058313600,D,20,20,False,,30.0,23.0,4.0,1.0,12.0,14.0,11.0,18.0,4.0,,,,90.0,56.0,7.7,14.0,0.0138,0.3748,0.0100005,1,,,,2.0,,,1.0,3.0,4.0,1.0,2.0,1.0,,1.0,,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,
11067497,home,Cuiabá,Pablo Ceppelini,pablo-ceppelini,P. Ceppelini,M,,181,476,M,146599,EUR,684547200,M,10,10,False,,35.0,29.0,6.0,6.0,6.0,6.0,26.0,41.0,4.0,,,,78.0,57.0,8.5,17.0,0.0978,0.0,0.343818,1,,,,12.0,3.0,,,1.0,1.0,,,2.0,,,4.0,1.0,1.0,1.0,,,,,,2.0,1.0,1.0,,,,,
11067497,home,Cuiabá,Raniele,raniele,Raniele,M,14,184,6186,M,866392,EUR,851990400,M,14,14,False,,29.0,22.0,5.0,3.0,10.0,11.0,12.0,18.0,4.0,,,,83.0,50.0,7.3,10.0,0.3679,0.834,0.242447,3,,,,,,,1.0,2.0,10.0,3.0,2.0,1.0,4.0,,1.0,1.0,,5.0,2.0,1.0,,1.0,,,,,R14niele,1.0,2.0,,
11067497,home,Cuiabá,Denilson,denilson,Denilson,M,8,180,370,M,1175760,EUR,985305600,M,27,27,False,,43.0,38.0,6.0,6.0,20.0,20.0,18.0,27.0,8.0,,,,90.0,63.0,8.0,15.0,0.0739,0.3923,0.274083,2,,Denilson,,4.0,,,,4.0,7.0,,,3.0,,,1.0,1.0,,3.0,1.0,5.0,4.0,2.0,1.0,,,,,,,2.0,
11067497,home,Cuiabá,Jonathan Cafú,jonathan-cafu,Jonathan Cafú,M,11,175,197,M,790103,EUR,679104000,F,7,7,False,,23.0,20.0,1.0,,5.0,5.0,16.0,23.0,3.0,,,,69.0,40.0,6.9,11.0,0.1023,0.0,0.1347,1,,,,5.0,1.0,,,2.0,4.0,1.0,,3.0,3.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,
11067497,home,Cuiabá,Deyverson,deyverson,Deyverson,F,16,185,4460,M,270287,EUR,673660800,F,16,16,False,,12.0,6.0,1.0,,1.0,1.0,5.0,11.0,2.0,,,,84.0,28.0,7.4,13.0,0.3108,0.282,0.0129447,3,,,,,,5.0,3.0,7.0,8.0,,,5.0,4.0,1.0,,,,,,2.0,1.0,2.0,1.0,,,,,,1.0,1.0,
