match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_interceptionWon,stat_wasFouled,stat_keyPass,captain,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_shotOffTarget,stat_expectedGoals,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12117203,home,Criciúma,Gustavo,gustavo,Gustavo,G,1,186,199,M,124766,EUR,731721600,G,1,1,False,19.0,13.0,9.0,3.0,0.0,12.0,13.0,1.0,6.0,1.0,5.0,1.0,1.0,2.0,90.0,28.0,6.4,6.0,0.00047693,0,-0.2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117203,home,Criciúma,Claudinho,claudinho,Claudinho,D,2,180,509,M,992791,EUR,969753600,D,27,27,False,22.0,22.0,1.0,1.0,0.0,8.0,8.0,15.0,16.0,1.0,4.0,,,,73.0,37.0,6.8,3.0,0.0194887,0,,,,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,
12117203,home,Criciúma,Rodrigo Fagundes,rodrigo-fagundes,R. Fagundes,D,3,187,155,M,886773,EUR,542419200,D,3,3,False,62.0,52.0,9.0,5.0,0.0,33.0,35.0,20.0,28.0,3.0,8.0,,,,90.0,70.0,6.8,10.0,0.0292304,0,,,,1.0,1.0,5.0,2.0,5.0,4.0,,,,,1.0,,1.0,True,2.0,2.0,1.0,,,,,,,,,,,,,,,
12117203,home,Criciúma,Wilker Ángel,wilker-angel,W. Ángel,D,4,190,807,M,147358,EUR,732412800,D,4,4,False,48.0,40.0,4.0,2.0,0.0,30.0,34.0,10.0,14.0,2.0,2.0,,,,90.0,59.0,6.8,9.0,0.00508487,0,,,,,,1.0,3.0,3.0,4.0,,,,,,,2.0,,1.0,,1.0,2.0,1.0,2.0,,,,,,,,,,,,
12117203,home,Criciúma,Miguel Trauco,miguel-trauco,M. Trauco,D,,175,1359,M,247665,EUR,714700800,D,14,14,False,49.0,36.0,8.0,3.0,0.0,12.0,15.0,24.0,37.0,1.0,4.0,,,,90.0,70.0,6.8,20.0,0.0671384,1,,,,3.0,,1.0,,4.0,3.0,1.0,1.0,,,,,1.0,,3.0,2.0,,2.0,,1.0,1.0,0.0212,,,,,,,,,,
12117203,home,Criciúma,Newton,newton,Newton,M,28,188,888,M,1463909,EUR,952819200,M,8,8,False,29.0,24.0,4.0,1.0,0.0,15.0,16.0,9.0,13.0,2.0,4.0,,,,90.0,40.0,6.3,8.0,0.0038487,0,,Newton,,,,2.0,1.0,10.0,4.0,1.0,,2.0,,1.0,,1.0,,2.0,,,,2.0,6.0,,,1.0,,,,,,,,,
12117203,home,Criciúma,Higor Meritão,higor-meritao,H. Meritão,M,22,186,200,M,973845,EUR,772329600,M,5,5,False,39.0,32.0,2.0,2.0,0.0,15.0,17.0,17.0,22.0,1.0,5.0,,,,62.0,50.0,6.7,8.0,0.00985879,1,,,,,,1.0,,8.0,6.0,6.0,1.0,1.0,,,1.0,,,4.0,3.0,,,,,,0.0224,1.0,1.0,0.0319,,,,,,,
12117203,home,Criciúma,Marquinhos Gabriel,marquinhos-gabriel,Marquinhos Gabriel,M,10,174,310,M,90812,EUR,648518400,M,10,10,False,21.0,21.0,1.0,1.0,0.0,10.0,10.0,11.0,12.0,,1.0,,,,62.0,30.0,6.7,3.0,0.0555668,3,,,,1.0,,4.0,,4.0,1.0,,,,,1.0,,1.0,,1.0,,,,,,2.0,0.1319,,,,1.0,,,,,,
12117203,home,Criciúma,Fellipe Mateus,fellipe-mateus,F. Mateus,M,7,178,153,M,865321,EUR,666316800,M,7,7,False,35.0,24.0,1.0,,0.0,9.0,11.0,15.0,30.0,,3.0,,,,83.0,57.0,6.7,22.0,0.0114312,2,,,,6.0,,2.0,1.0,7.0,3.0,1.0,1.0,3.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,0.1564,,2.0,0.2146,,,,,,,
12117203,home,Criciúma,Allano,allano,Allano,M,29,182,510,M,796925,EUR,798681600,M,2,2,False,29.0,26.0,,,1.0,2.0,3.0,24.0,28.0,1.0,3.0,,,,73.0,45.0,7.2,10.0,0.56622,2,,,,2.0,,,1.0,7.0,4.0,2.0,1.0,3.0,1.0,,,2.0,,2.0,2.0,,,2.0,2.0,2.0,0.0426,1.0,,,,,,,,,
