match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_fouls,captain,stat_outfielderBlock,stat_wasFouled,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_keyPass,stat_dispossessed,stat_shotOffTarget,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_bigChanceCreated,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside,stat_goals,stat_goalAssist
10438067,home,Casa Pia,Ricardo Batista,ricardo-batista,R. Batista,G,33,193,111,M,9668,EUR,532656000,G,33,33,False,33.0,21.0,15.0,3.0,20.0,22.0,1.0,11.0,2.0,9.0,2.0,4.0,90.0,42.0,7.2,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438067,home,Casa Pia,Fernando Varela,fernando-varela,F. Varela,D,5,183,60,M,51705,EUR,564883200,D,15,15,False,51.0,42.0,3.0,1.0,23.0,29.0,19.0,22.0,2.0,2.0,,,90.0,60.0,6.8,9.0,0,4.0,3.0,6.0,5.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10438067,home,Casa Pia,Vasco Fernandes,vasco-fernandes,V. Fernandes,D,,181,45,M,41650,EUR,532137600,D,13,13,False,59.0,53.0,5.0,3.0,42.0,45.0,11.0,14.0,,,,,78.0,67.0,6.9,6.0,0,1.0,4.0,2.0,7.0,1.0,2.0,1.0,,True,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
10438067,home,Casa Pia,João Nunes,joao-nunes,J. Nunes,D,30,188,83,M,190135,EUR,816739200,D,3,3,False,81.0,73.0,9.0,4.0,53.0,54.0,20.0,27.0,2.0,8.0,,,90.0,89.0,7.1,8.0,0,1.0,,2.0,3.0,,1.0,3.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
10438067,home,Casa Pia,Lucas Soares,lucas-soares,L. Soares,M,42,176,85,M,991358,EUR,894240000,M,42,42,False,53.0,42.0,2.0,,19.0,24.0,24.0,37.0,,7.0,,,90.0,82.0,7.3,22.0,0,,1.0,1.0,5.0,1.0,1.0,2.0,,,,1.0,2.0,8.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,
10438067,home,Casa Pia,Afonso Taira,afonso-taira,A. Taira,M,6,177,41,M,153040,EUR,708739200,M,27,27,False,58.0,51.0,4.0,3.0,22.0,26.0,29.0,32.0,,11.0,,,74.0,76.0,7.3,10.0,2,,2.0,4.0,9.0,2.0,2.0,3.0,1.0,,,3.0,1.0,,,1.0,1.0,2.0,,1.0,2.0,,,,,,,,,,,,
10438067,home,Casa Pia,Romário Baró,romario-baro,R. Baró,M,6,179,668,M,892224,EUR,948758400,M,17,17,False,29.0,23.0,1.0,1.0,8.0,8.0,15.0,21.0,,7.0,,,74.0,41.0,6.9,8.0,0,,,2.0,4.0,,2.0,3.0,,,,1.0,2.0,,,,,,,2.0,,,,,,,,,,,,,
10438067,home,Casa Pia,Leonardo Lelo,leonardo-lelo,L. Lelo,M,5,175,353,M,1006865,EUR,954374400,M,5,5,False,49.0,36.0,2.0,,14.0,19.0,24.0,35.0,2.0,5.0,,,90.0,79.0,7.4,18.0,1,,4.0,2.0,7.0,1.0,,2.0,,,,1.0,1.0,5.0,2.0,,,1.0,,1.0,,,,1.0,,,,,,,,,
10438067,home,Casa Pia,Takahiro Kunimoto,takahiro-kunimoto,T. Kunimoto,M,,172,110,M,794765,EUR,876268800,F,14,14,False,40.0,29.0,2.0,1.0,7.0,9.0,23.0,37.0,1.0,7.0,,,85.0,61.0,6.5,24.0,0,,,6.0,1.0,1.0,,1.0,2.0,,,,1.0,6.0,1.0,1.0,,5.0,,2.0,,,,,,,,,,,,,
10438067,home,Casa Pia,Clayton,clayton,Clayton,F,19,184,1602,M,1017023,EUR,916012800,F,99,99,False,17.0,14.0,3.0,1.0,5.0,6.0,9.0,11.0,,,,,90.0,35.0,6.7,12.0,3,4.0,,8.0,4.0,,,1.0,1.0,,,3.0,,,,,,6.0,1.0,3.0,1.0,,,1.0,1.0,,,,,,,,
10438067,home,Casa Pia,Saviour Godwin,saviour-godwin,S. Godwin,M,77,170,247,M,359650,EUR,840672000,F,7,7,False,22.0,17.0,,,7.0,7.0,11.0,18.0,1.0,2.0,,,90.0,44.0,6.6,16.0,4,2.0,,8.0,2.0,,,,4.0,,,1.0,,3.0,1.0,2.0,1.0,7.0,1.0,1.0,,,,3.0,1.0,1.0,,,,,,,
10438067,home,Casa Pia,Yan Eteki,yan-eteki,Y. Eteki,M,88,187,113,M,848082,EUR,872553600,M,88,88,True,11.0,10.0,3.0,3.0,1.0,2.0,9.0,9.0,,3.0,,,16.0,20.0,7.6,2.0,0,,1.0,2.0,6.0,,,3.0,1.0,,,2.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,
10438067,home,Casa Pia,Neto,neto,Neto,M,8,181,91,M,843358,EUR,683769600,M,8,8,True,13.0,10.0,1.0,,1.0,2.0,9.0,13.0,,1.0,,,16.0,20.0,6.4,9.0,1,,,2.0,,1.0,,,,,,,,2.0,,,,3.0,2.0,1.0,,,,,1.0,,,,,,,,
10438067,home,Casa Pia,Rafael Martins,rafael-martins,R. Martins,F,99,177,43,M,123231,EUR,606096000,F,11,11,True,4.0,4.0,,,2.0,2.0,2.0,2.0,,2.0,,,12.0,6.0,6.5,,1,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
10438067,home,Casa Pia,Vitó,vito,Vitó,M,8,180,26,M,845680,EUR,874540800,M,18,18,True,6.0,4.0,1.0,,,,5.0,7.0,,,,,10.0,7.0,6.7,2.0,0,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
