match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,from,id,isHome,incidentClass,player_id,player_name,injury,confirmed,playerName,reason,rescinded,length
12624928,FT,2.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
12624928,,2.0,1.0,,90,20.0,,1,,,goal,penalty,194557606.0,True,penalty,880790.0,Mourad Batna,,,,,,
12624928,,,,,90,20.0,,1,,,substitution,,123487317.0,True,injury,,,True,,,,,
12624928,,,,,90,17.0,,1,,,varDecision,,30687.0,True,penaltyNotAwarded,1486287.0,Ahmed Al Julaydan,,False,,,,
12624928,,,,,90,9.0,,1,,,card,,121858010.0,True,yellow,803055.0,Amaar Al Dohaim,,,Amaar Al Dohaim,Foul,False,
12624928,,,,,90,7.0,,1,,,card,,121858007.0,False,yellow,1217924.0,Faisal Al-Sibyani,,,Faisal Al-Sibyani,Foul,False,
12624928,,,,,90,4.0,,1,,,substitution,,123487296.0,True,regular,,,False,,,,,
12624928,,,,,90,4.0,,1,,,substitution,,123487295.0,True,regular,,,False,,,,,
12624928,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,,,10.0
12624928,,,,,88,,,3,,,substitution,,123487291.0,False,regular,,,False,,,,,
12624928,,,,,82,,,9,,,substitution,,123487276.0,False,regular,,,False,,,,,
12624928,,,,,80,,,11,,,card,,121857999.0,True,yellow,1096521.0,Othman Al-Othman,,,Othman Al-Othman,Argument,False,
12624928,,1.0,1.0,,78,,,13,,,goal,penalty,194555813.0,True,penalty,845609.0,Sofiane Bendebka,,,,,,
12624928,,,,,75,,,16,,,varDecision,,30686.0,True,penaltyNotAwarded,796723.0,Matías Vargas,,False,,,,
12624928,,0.0,1.0,,69,,,22,,,goal,,194555449.0,False,regular,108673.0,Nicolae Stanciu,,,,,,
12624928,,,,,66,,,25,,,substitution,,123487263.0,True,regular,,,False,,,,,
12624928,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
12624928,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,,,2.0
12624928,,,,,20,,,26,,,card,,121857942.0,False,yellow,880083.0,Farouk Chafaï,,,Farouk Chafaï,Foul,False,
