match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_challengeLost,stat_wonContest,stat_keyPass,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_shotOffTarget,stat_lastManTackle,stat_bigChanceCreated,stat_errorLeadToAShot,stat_hitWoodwork,stat_bigChanceMissed,stat_goals,stat_penaltyWon
12709451,home,Harrogate Town,James Belshaw,james-belshaw,J. Belshaw,G,31,191.0,24,M,47310,EUR,653270400,G,31,31,False,32.0,22.0,16.0,6.0,0.0,20.0,22.0,2.0,10.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,90.0,39.0,5.5,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12709451,home,Harrogate Town,Toby Sims,toby-sims,T. Sims,D,4,185.0,12,M,1191069,EUR,876873600,D,14,14,False,46.0,35.0,13.0,6.0,0.0,23.0,28.0,13.0,21.0,6.0,3.0,,,,,,90.0,78.0,5.8,23.0,0,Toby Sims,,3.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
12709451,home,Harrogate Town,Anthony O'Connor,anthony-oconnor,A. O'Connor,D,15,188.0,27,M,137715,EUR,719971200,D,15,15,False,34.0,28.0,8.0,4.0,0.0,25.0,27.0,3.0,7.0,3.0,4.0,,,,,,59.0,38.0,5.8,6.0,0,,,,,,,2.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,
12709451,home,Harrogate Town,Matthew Foulds,matthew-foulds,M. Foulds,D,14,178.0,11,M,808710,EUR,887673600,D,3,3,False,44.0,35.0,8.0,2.0,0.0,25.0,27.0,10.0,17.0,1.0,5.0,,,,,,90.0,59.0,6.1,11.0,0,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
12709451,home,Harrogate Town,Zico Asare,zico-asare,Z. Asare,D,2,176.0,9,M,991549,EUR,986947200,M,2,2,False,26.0,23.0,1.0,,0.0,13.0,13.0,10.0,14.0,,4.0,,,,,,90.0,37.0,6.6,5.0,0,,,1.0,,2.0,,3.0,6.0,4.0,,1.0,1.0,,,,2.0,,,3.0,1.0,,,,,,,,,,,,,
12709451,home,Harrogate Town,Warren Burrell,warren-burrell,W. Burrell,D,6,185.0,7,M,36776,EUR,644371200,M,6,6,False,19.0,14.0,3.0,,0.0,9.0,9.0,5.0,10.0,1.0,1.0,,,,,,58.0,29.0,6.0,8.0,0,,,,,,,3.0,,,,1.0,,,1.0,,,1.0,,,,True,2.0,,,,,,,,,,,
12709451,home,Harrogate Town,Levi Sutton,levi-sutton,L. Sutton,M,17,180.0,10,M,603928,EUR,827625600,M,17,17,False,26.0,24.0,3.0,2.0,0.0,13.0,15.0,11.0,11.0,,2.0,,,,,,59.0,32.0,6.4,3.0,0,,,,,,1.0,,2.0,1.0,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,
12709451,home,Harrogate Town,Ellis Taylor,ellis-taylor,E. Taylor,M,21,182.0,52,M,1082900,EUR,1050278400,M,21,21,False,30.0,22.0,6.0,1.0,0.0,9.0,11.0,13.0,21.0,2.0,4.0,,,,,,90.0,46.0,6.2,15.0,0,,,2.0,,4.0,1.0,9.0,3.0,,,3.0,2.0,1.0,2.0,,,,3.0,,1.0,,2.0,,,,,,,,,,,
12709451,home,Harrogate Town,Matty Daly,matty-daly,M. Daly,M,28,176.0,32,M,978180,EUR,984182400,F,10,10,False,23.0,21.0,1.0,,0.0,12.0,12.0,9.0,11.0,,2.0,,,,,,59.0,29.0,6.3,6.0,0,,,,,2.0,,5.0,2.0,1.0,,,,,2.0,,2.0,1.0,,,,,1.0,,,,,,,,,,,
12709451,home,Harrogate Town,Josh March,josh-march,J. March,F,24,175.0,68,M,1014626,EUR,858643200,F,24,24,False,19.0,13.0,1.0,,0.0,7.0,7.0,6.0,15.0,1.0,1.0,,,,,,90.0,39.0,6.9,14.0,3,Josh,March,3.0,,7.0,3.0,11.0,6.0,2.0,,3.0,2.0,2.0,2.0,,,,1.0,1.0,,,2.0,2.0,1.0,1.0,,,,,,,,
