match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_totalClearance,stat_totalTackle,stat_fouls,captain,stat_aerialLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_wonTackle,stat_keyPass,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_unsuccessfulTouch,stat_shotOffTarget,player_sofascoreId,stat_outfielderBlock,stat_wasFouled,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_penaltyFaced,stat_penaltyConceded,stat_hitWoodwork
13232151,home,RB Leipzig,Maarten Vandevoordt,maarten-vandevoordt,M. Vandevoordt,G,26,192,1428,M,934385,EUR,1014681600,G,26,26,False,28.0,20.0,13.0,5.0,0.0,16.0,17.0,4.0,11.0,1.0,1.0,12.0,1.0,3.0,5.0,1.0,1.0,90.0,39.0,8.2,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13232151,home,RB Leipzig,Lutsharel Geertruida,lutsharel-geertruida,L. Geertruida,D,6,185,2491,M,856739,EUR,963878400,D,3,3,False,34.0,32.0,2.0,1.0,0.0,15.0,15.0,17.0,19.0,1.0,3.0,2.0,,,,,,89.0,39.0,6.8,2.0,0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13232151,home,RB Leipzig,Willi Orbán,willi-orban,W. Orbán,D,4,186,3118,M,136924,EUR,720748800,D,4,4,False,45.0,39.0,3.0,2.0,0.0,22.0,25.0,17.0,20.0,6.0,11.0,3.0,,,,,,90.0,59.0,7.4,6.0,0,6.0,6.0,4.0,1.0,True,2.0,3.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
13232151,home,RB Leipzig,El Chadaille Bitshiabu,el-chadaille-bitshiabu,E. C. Bitshiabu,D,5,196,1701,M,1048009,EUR,1116201600,D,5,5,False,54.0,46.0,8.0,3.0,0.0,24.0,26.0,22.0,28.0,3.0,3.0,5.0,,,,,,74.0,62.0,6.9,9.0,0,2.0,5.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13232151,home,RB Leipzig,Ridle Baku,ridle-baku,R. Baku,M,17,176,1448,M,856553,EUR,891993600,M,17,17,False,31.0,27.0,1.0,,0.0,3.0,3.0,26.0,35.0,,4.0,2.0,,,,,,90.0,66.0,7.0,20.0,0,6.0,2.0,2.0,1.0,,1.0,,5.0,2.0,1.0,2.0,1.0,,,7.0,2.0,1.0,2.0,,,,,,,,,,,,,
13232151,home,RB Leipzig,Kevin Kampl,kevin-kampl,K. Kampl,M,,178,749,M,84251,EUR,655430400,M,44,44,False,41.0,37.0,3.0,1.0,0.0,12.0,13.0,25.0,30.0,,2.0,5.0,,,,,,74.0,52.0,7.1,9.0,1,1.0,,1.0,,,,,2.0,1.0,1.0,1.0,1.0,,,2.0,,,2.0,1.0,,,,,,,,,,,,
13232151,home,RB Leipzig,Arthur Vermeeren,arthur-vermeeren,A. Vermeeren,M,18,180,4721,M,1149127,EUR,1107734400,M,18,18,False,45.0,37.0,1.0,1.0,0.0,12.0,13.0,25.0,32.0,1.0,6.0,5.0,,,,,,89.0,61.0,7.4,8.0,0,4.0,1.0,3.0,1.0,,,3.0,1.0,1.0,4.0,1.0,,Arthur Vermeeren,,,,,,,arthurvermeeren,1.0,1.0,,,,,,,,,
13232151,home,RB Leipzig,David Raum,david-raum,D. Raum,D,22,180,2194,M,856076,EUR,893203200,M,22,22,False,47.0,41.0,4.0,2.0,0.0,14.0,17.0,29.0,38.0,1.0,7.0,6.0,,,,,,90.0,82.0,7.6,16.0,2,4.0,7.0,5.0,3.0,,,1.0,1.0,1.0,,2.0,1.0,,,8.0,2.0,,,1.0,,,,1.0,1.0,,,,,,,
13232151,home,RB Leipzig,Xavi Simons,xavi-simons,X. Simons,M,7,179,50727,M,997183,EUR,1050883200,F,10,10,False,58.0,41.0,2.0,,0.0,9.0,11.0,32.0,48.0,2.0,7.0,6.0,,,,,,89.0,74.0,7.2,23.0,1,6.0,,1.0,1.0,,1.0,2.0,3.0,1.0,,1.0,2.0,,,1.0,,,2.0,,XaviSimons,,3.0,,1.0,,,,,,,
13232151,home,RB Leipzig,Loïs Openda,lois-openda,L. Openda,F,20,177,15647,M,835480,EUR,950659200,F,11,11,False,19.0,11.0,1.0,1.0,0.0,1.0,3.0,10.0,17.0,,3.0,2.0,,,,,,90.0,41.0,7.3,17.0,6,3.0,1.0,,2.0,,,,1.0,,1.0,,1.0,,,1.0,,,7.0,4.0,l_openda,,3.0,1.0,1.0,1.0,1.0,,,,,
