match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,player_firstName,player_lastName,captain,stat_totalCross,stat_dispossessed,stat_blockedScoringAttempt,stat_wonTackle,stat_keyPass,stat_outfielderBlock,stat_aerialLost,stat_wonContest,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_shotOffTarget,stat_totalOffside,stat_goodHighClaim,stat_goals,player_sofascoreId,stat_errorLeadToAShot,stat_goalAssist,stat_hitWoodwork,stat_bigChanceCreated
11061799,home,De Graafschap,Hidde Jurjus,hidde-jurjus,H. Jurjus,G,21,187.0,69,M,339941,EUR,760752000,G,1,1,False,27.0,17.0,20.0,10.0,9.0,11.0,8.0,16.0,1.0,9.0,3.0,3.0,1.0,1.0,90.0,35.0,6.3,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11061799,home,De Graafschap,Robin Schouten,robin-schouten,R. Schouten,D,23,176.0,24,M,803036,EUR,888364800,D,27,27,False,17.0,9.0,6.0,2.0,6.0,8.0,3.0,9.0,1.0,5.0,,,,,70.0,33.0,6.2,11.0,0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11061799,home,De Graafschap,Jeffrey Fortes,jeffrey-fortes,J. Fortes,D,22,182.0,33,M,52753,EUR,606528000,D,22,22,False,34.0,25.0,9.0,6.0,14.0,19.0,11.0,17.0,4.0,5.0,,,,,90.0,56.0,6.7,12.0,1,1.0,1.0,4.0,,,2.0,3.0,,,,,True,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
11061799,home,De Graafschap,Xandro Schenk,xandro-schenk,X. Schenk,D,,188.0,35,M,97405,EUR,735955200,D,4,4,False,21.0,17.0,4.0,2.0,12.0,13.0,5.0,8.0,7.0,3.0,,,,,90.0,33.0,6.7,4.0,0,2.0,1.0,3.0,,,2.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
11061799,home,De Graafschap,Rio Hillen,rio-hillen,R. Hillen,D,22,187.0,90,M,1012927,EUR,1046822400,D,20,20,False,28.0,19.0,7.0,4.0,12.0,16.0,7.0,12.0,3.0,8.0,,,,,90.0,43.0,6.2,10.0,0,,5.0,4.0,2.0,2.0,,2.0,,1.0,Rio,Hillen,,,,,1.0,,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,
11061799,home,De Graafschap,Alexander Büttner,alexander-buttner,A. Büttner,D,28,174.0,101,M,35402,EUR,603158400,D,28,28,False,18.0,10.0,8.0,3.0,4.0,5.0,8.0,18.0,,1.0,,,,,90.0,43.0,6.0,15.0,1,,6.0,5.0,2.0,2.0,,1.0,3.0,2.0,,,,5.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,2.0,,,,,,,,,,,
11061799,home,De Graafschap,Philip Brittijn,philip-brittijn,P. Brittijn,M,23,182.0,100,M,1132766,EUR,1081468800,M,23,23,False,18.0,14.0,2.0,1.0,6.0,6.0,8.0,14.0,,4.0,,,,,90.0,34.0,6.6,10.0,0,1.0,4.0,4.0,,2.0,3.0,1.0,1.0,,Philip Brittijn,,,2.0,1.0,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,,,,,,
11061799,home,De Graafschap,Lion Kaak,lion-kaak,L. Kaak,M,,180.0,9,M,103509,EUR,677894400,M,6,6,False,17.0,13.0,1.0,1.0,8.0,9.0,5.0,8.0,1.0,5.0,,,,,70.0,26.0,6.5,4.0,0,,3.0,1.0,1.0,,2.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
11061799,home,De Graafschap,Joel Valencia,joel-valencia,J. Valencia,M,,164.0,112,M,155804,EUR,784944000,M,21,21,False,12.0,8.0,3.0,1.0,4.0,5.0,5.0,9.0,,4.0,,,,,76.0,31.0,6.1,12.0,1,,8.0,7.0,5.0,6.0,,3.0,,,,,,2.0,1.0,,2.0,,,,4.0,,4.0,1.0,1.0,1.0,,,,,,,,,
11061799,home,De Graafschap,Camiel Neghli,camiel-neghli,C. Neghli,M,10,180.0,992,M,1089021,EUR,1005004800,F,14,14,False,25.0,15.0,,,5.0,6.0,10.0,19.0,,6.0,,,,,89.0,39.0,6.8,15.0,2,,3.0,3.0,2.0,2.0,1.0,1.0,,,Camiel Neghli,,,,,,1.0,1.0,,1.0,2.0,,4.0,,,,2.0,1.0,,,,,,,
