match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_totalShots,captain,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_possessionLostCtrl,stat_keyPass,stat_wonContest,stat_interceptionWon,stat_fouls,stat_aerialLost,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_goodHighClaim,stat_punches,stat_clearanceOffLine,stat_outfielderBlock,stat_errorLeadToAShot
13856441,home,Al-Nassr,Bento,,,bento,Bento,G,24,190,9735,M,bento_matheus,1016104,EUR,928972800,G,24,24,False,24.0,24.0,2.0,2.0,0.0,23.0,23.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0,90.0,30.0,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13856441,home,Al-Nassr,Sultan Al-Ghannam,,,sultan-al-ghannam,S. Al-Ghannam,D,2,173,1607,M,,830126,EUR,768182400,D,2,2,False,36.0,30.0,5.0,2.0,0.0,12.0,14.0,20.0,29.0,4.0,3.0,,,,90.0,61.0,7.1,3,True,7.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,13.0,3.0,,,,,,,,,,,,,,,
13856441,home,Al-Nassr,Ali Lajami,,,ali-lajami,A. Lajami,D,78,175,1281,M,,818667,EUR,830390400,D,78,78,False,51.0,48.0,6.0,4.0,0.0,27.0,27.0,21.0,24.0,7.0,2.0,1.0,,,90.0,62.0,7.0,1,,,,3.0,3.0,2.0,,1.0,1.0,,2.0,2.0,1.0,4.0,,1.0,1.0,1.0,,,,,,,,,,,,
13856441,home,Al-Nassr,Mohammed Al-Fatil,,,mohammed-al-fatil,M. Al-Fatil,D,33,181,549,M,,328829,EUR,694483200,D,4,4,False,46.0,41.0,6.0,6.0,0.0,29.0,32.0,12.0,14.0,6.0,,,,,89.0,56.0,7.0,0,,,,2.0,3.0,1.0,,,,,2.0,4.0,2.0,6.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,
13856441,home,Al-Nassr,Nawaf Boushal,,,nawaf-boushal,N. Boushal,D,12,178,1391,M,,986400,EUR,937440000,D,12,12,False,37.0,35.0,,,0.0,14.0,15.0,21.0,23.0,4.0,1.0,,,,81.0,55.0,6.9,1,,1.0,,2.0,2.0,1.0,1.0,2.0,1.0,,3.0,,,7.0,,2.0,,1.0,,3.0,,,,,,,,,,
13856441,home,Al-Nassr,Marcelo Brozović,,,marcelo-brozovic,M. Brozović,M,11,181,13081,M,marcelo_brozovic,108800,EUR,721872000,M,11,11,False,96.0,88.0,3.0,2.0,0.0,36.0,37.0,55.0,68.0,3.0,10.0,,,,90.0,112.0,8.0,0,,9.0,3.0,,3.0,,1.0,,,,,3.0,2.0,15.0,3.0,,,1.0,1.0,,1.0,,,,,,,,,
13856441,home,Al-Nassr,Abdulmajeed Al-Sulaiheem,,,abdulmajeed-al-sulaiheem,A. Al-Sulaiheem,M,8,165,600,M,,538320,EUR,768960000,M,8,8,False,61.0,57.0,5.0,5.0,1.0,30.0,31.0,28.0,31.0,3.0,8.0,2.0,,,64.0,70.0,7.1,0,,1.0,1.0,,4.0,1.0,2.0,1.0,,,,1.0,,7.0,1.0,,1.0,,,,,,,,,,,,,
13856441,home,Al-Nassr,Ayman Yahya,,,ayman-ahmed,A. Yahya,M,23,168,1412,M,,1130539,EUR,989798400,M,23,23,False,39.0,35.0,,,0.0,10.0,11.0,29.0,32.0,3.0,4.0,1.0,,,81.0,62.0,7.4,1,,4.0,4.0,1.0,4.0,,1.0,,,1.0,1.0,1.0,1.0,11.0,4.0,,2.0,2.0,1.0,5.0,1.0,,,,,,,,,
13856441,home,Al-Nassr,Otávio,,,otavio,Otávio,M,25,171,6951,M,otavio,244801,EUR,792288000,M,25,25,False,49.0,45.0,1.0,1.0,0.0,17.0,18.0,29.0,32.0,7.0,7.0,2.0,,,90.0,65.0,7.9,2,,1.0,1.0,4.0,3.0,1.0,,2.0,,1.0,,1.0,,9.0,3.0,,,,,2.0,,1.0,1.0,,,,,,,
13856441,home,Al-Nassr,Sadio Mané,,,sadio-mane,S. Mané,M,10,175,169227,M,SadioMané,217704,EUR,702864000,M,10,10,False,21.0,19.0,2.0,2.0,0.0,5.0,5.0,14.0,19.0,9.0,1.0,3.0,,,90.0,46.0,7.4,5,,3.0,,3.0,3.0,,1.0,4.0,3.0,,1.0,1.0,,10.0,1.0,2.0,,,,2.0,,2.0,,2.0,1.0,,,,,
