match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_fouls,stat_shotOffTarget,stat_lastManTackle,stat_wasFouled,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_bigChanceCreated,stat_totalOffside,stat_punches,stat_goalAssist,stat_goals
11369442,home,Rayo Vallecano,Stole Dimitrievski,,,stole-dimitrievski,S. Dimitrievski,G,1,188,843,M,97951,EUR,756777600,G,1,1,False,38.0,25.0,16.0,3.0,22.0,24.0,3.0,14.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,90.0,48.0,6.6,15.0,0.00851665,0,-0.5797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369442,home,Rayo Vallecano,Andrei Rațiu,,,andrei-ratiu,A. Rațiu,D,2,183,8158,M,965031,EUR,898300800,D,2,2,False,28.0,19.0,4.0,1.0,11.0,16.0,10.0,16.0,2.0,4.0,,,,,,80.0,53.0,6.2,15.0,0.0252339,1,,Sonic,4.0,2.0,2.0,1.0,6.0,5.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,0.0153,,,,,,,,,,,,,,,,,
11369442,home,Rayo Vallecano,Abdul Mumin,,,abdul-mumin,A. Mumin,D,16,188,1245,M,846147,EUR,897091200,D,16,16,False,61.0,48.0,11.0,4.0,34.0,38.0,14.0,23.0,3.0,7.0,,,,,,90.0,72.0,6.9,14.0,0.0194532,0,,,,,1.0,3.0,2.0,5.0,,,,,,2.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
11369442,home,Rayo Vallecano,Florian Lejeune,,,florian-lejeune,F. Lejeune,D,24,190,1047,M,88528,EUR,674697600,D,24,24,False,62.0,54.0,12.0,7.0,37.0,39.0,17.0,23.0,1.0,7.0,,,,,,90.0,70.0,7.0,9.0,0.0482647,1,,,,,1.0,,4.0,4.0,,,,,,3.0,1.0,0.0863,,,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,
11369442,home,Rayo Vallecano,Josep Chavarría,,,josep-chavarria,J. Chavarría,D,3,174,630,M,1010421,EUR,892166400,D,3,3,False,49.0,40.0,7.0,1.0,25.0,26.0,16.0,26.0,1.0,6.0,,,,,,90.0,75.0,6.8,15.0,0.0899206,0,,,3.0,1.0,1.0,,2.0,6.0,,,2.0,2.0,,1.0,4.0,,,1.0,,1.0,,,3.0,,,,,,,,,,
11369442,home,Rayo Vallecano,Isi Palazón,,,isi-palazon,I. Palazón,M,7,169,2151,M,899982,EUR,788486400,M,7,7,False,30.0,20.0,3.0,2.0,10.0,10.0,10.0,26.0,,3.0,,,,,,80.0,56.0,6.8,26.0,0.0421204,2,,,6.0,,1.0,1.0,4.0,3.0,,2.0,,,,,7.0,0.1109,,1.0,,1.0,1.0,,2.0,True,1.0,1.0,0.1192,2.0,,,,,
11369442,home,Rayo Vallecano,Unai López,,,unai-lopez,U. López,M,17,169,518,M,588566,EUR,815011200,M,17,17,False,46.0,38.0,9.0,4.0,27.0,28.0,13.0,21.0,,5.0,,,,,,69.0,56.0,7.1,11.0,0.0763049,0,,,3.0,2.0,,1.0,2.0,4.0,,,2.0,1.0,,,1.0,,,,,1.0,,,2.0,,,,,2.0,1.0,,,,
11369442,home,Rayo Vallecano,Pathé Ismaël Ciss,,,ismaila-ciss,P. I. Ciss,M,6,183,4735,M,913679,EUR,763776000,M,21,21,False,65.0,51.0,8.0,5.0,31.0,38.0,20.0,27.0,3.0,13.0,,,,,,90.0,78.0,7.2,14.0,0.0152168,0,,,,,1.0,7.0,3.0,9.0,,,1.0,1.0,,,,,1.0,2.0,,2.0,,,1.0,,,,,,,,,,
11369442,home,Rayo Vallecano,Jorge de Frutos,,,jorge-de-frutos,J. de Frutos,M,19,173,1878,M,900003,EUR,849312000,M,19,19,False,22.0,17.0,1.0,1.0,8.0,10.0,10.0,14.0,,4.0,,,,,,69.0,32.0,6.7,8.0,0.0463844,1,,,2.0,1.0,1.0,,1.0,2.0,,,,,1.0,,1.0,0.027,,1.0,,,,,2.0,,,,,,,1.0,,,
11369442,home,Rayo Vallecano,Raúl de Tomás,,,raul-de-tomas,R. de Tomás,F,9,181,959,M,138387,EUR,782352000,F,22,22,False,16.0,12.0,1.0,1.0,4.0,7.0,8.0,9.0,,2.0,,,,,,90.0,29.0,6.8,10.0,0.0112594,2,,,,,5.0,2.0,10.0,5.0,,,3.0,2.0,,,4.0,0.0727,,,,4.0,2.0,,1.0,,,,,,,,,,
