match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_unsuccessfulTouch,stat_aerialWon,stat_blockedScoringAttempt,stat_outfielderBlock,player_sofascoreId,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed,stat_onTargetScoringAttempt,captain,stat_goalAssist,stat_challengeLost,player_firstName,player_lastName,stat_goals,stat_hitWoodwork,stat_crossNotClaimed,stat_goodHighClaim,stat_errorLeadToAShot
10411569,home,Lazio,Ivan Provedel,ivan-provedel,I. Provedel,G,94,194.0,1818,M,308182,EUR,763862400,G,94,94,False,19.0,19.0,3.0,3.0,19.0,19.0,4.0,2.0,3.0,90.0,25.0,6.2,0.0,0.0,5.853e-05,0,-0.8933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411569,home,Lazio,Manuel Lazzari,manuel-lazzari,M. Lazzari,D,29,173.0,753,M,273405,EUR,754531200,D,29,29,False,60.0,55.0,2.0,2.0,23.0,24.0,4.0,,,90.0,82.0,6.7,0.0,0.0,0.0785027,0,,33.0,41.0,5.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,
10411569,home,Lazio,Nicolò Casale,nicolo-casale,N. Casale,D,16,191.0,431,M,862697,EUR,887414400,D,15,15,False,76.0,71.0,7.0,6.0,46.0,46.0,5.0,,,90.0,79.0,6.4,0.0,0.0,0.00609784,0,,25.0,30.0,,,2.0,3.0,1.0,,,,,1.0,,,1.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,
10411569,home,Lazio,Alessio Romagnoli,alessio-romagnoli,A. Romagnoli,D,13,185.0,1922,M,227864,EUR,789868800,D,13,13,False,61.0,56.0,5.0,3.0,42.0,44.0,5.0,,,90.0,71.0,6.6,0.0579,0.0,0.00556725,1,,14.0,17.0,,,,1.0,3.0,,,5.0,2.0,,,1.0,1.0,5.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
10411569,home,Lazio,Adam Marušić,adam-marusic,A. Marušić,D,77,185.0,1131,M,267619,EUR,719280000,D,77,77,False,73.0,65.0,4.0,4.0,33.0,34.0,8.0,,,87.0,91.0,6.6,0.0,0.0,0.0552209,0,,32.0,41.0,2.0,,,,4.0,,,2.0,,2.0,1.0,,,12.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,
10411569,home,Lazio,Felipe Anderson,felipe-anderson,F. Anderson,M,7,175.0,6043,M,152276,EUR,734832000,M,7,7,False,44.0,37.0,1.0,,8.0,8.0,6.0,,,90.0,59.0,6.6,0.0409,0.0,0.106767,1,,29.0,36.0,,,1.0,7.0,4.0,1.0,,,,2.0,1.0,1.0,1.0,17.0,3.0,4.0,1.0,,,F_Andersoon,4.0,1.0,1.0,1.0,,,,,,,,,,,,
10411569,home,Lazio,Matías Vecino,matias-vecino,M. Vecino,M,15,187.0,1431,M,158615,EUR,682992000,M,5,5,False,59.0,51.0,5.0,3.0,24.0,26.0,5.0,,,90.0,68.0,6.1,1.0799,0.9464,0.0548789,3,,27.0,33.0,,,3.0,3.0,2.0,,,1.0,,2.0,1.0,,,9.0,,1.0,,1.0,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,
10411569,home,Lazio,Danilo Cataldi,danilo-cataldi,D. Cataldi,M,32,180.0,952,M,317301,EUR,776131200,M,32,32,False,80.0,75.0,7.0,7.0,36.0,36.0,8.0,,,81.0,88.0,6.8,0.0,0.0,0.0777023,0,,40.0,46.0,2.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,8.0,1.0,,,,,,,,,,,,True,,,,,,,,,
10411569,home,Lazio,Luis Alberto,luis-alberto,L. Alberto,M,32,182.0,1864,M,111416,EUR,717638400,M,10,10,False,72.0,64.0,8.0,6.0,17.0,18.0,6.0,,,64.0,85.0,7.7,0.0405,0.0,0.46739,1,,47.0,57.0,3.0,,,4.0,3.0,2.0,1.0,,,2.0,1.0,,,14.0,2.0,,,1.0,,,2.0,1.0,,,,,,1.0,1.0,,,,,,,
10411569,home,Lazio,Mattia Zaccagni,mattia-zaccagni,M. Zaccagni,M,10,176.0,4751,M,293581,EUR,803260800,F,20,20,False,42.0,37.0,1.0,,14.0,14.0,2.0,,,90.0,62.0,8.0,0.4424,0.4845,0.119896,4,,23.0,32.0,4.0,,3.0,7.0,7.0,6.0,4.0,,,1.0,1.0,2.0,2.0,12.0,,1.0,,,,,,,1.0,,,3.0,,,,,,1.0,,,,
