match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,stat_wasFouled,stat_fouls,captain,stat_wonTackle,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,player_lastName,player_sofascoreId,stat_dispossessed,stat_bigChanceMissed,stat_goodHighClaim,stat_hitWoodwork,stat_totalOffside
11406780,home,Torino,Vanja Milinković-Savić,vanja-milinkovic-savic,V. Milinković-Savić,G,32,202,6222,M,356160,EUR,856396800,G,32,32,False,31.0,20.0,22.0,11.0,10.0,11.0,10.0,20.0,1.0,9.0,2.0,3.0,90.0,40.0,7.5,11.0,0.00695156,0,1.2847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406780,home,Torino,Adrien Tameze,adrien-tameze,A. Tameze,M,61,182,371,M,139235,EUR,760320000,D,61,61,False,41.0,35.0,2.0,1.0,21.0,23.0,15.0,20.0,,3.0,,,90.0,49.0,7.1,8.0,0.0256159,0,,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11406780,home,Torino,Alessandro Buongiorno,alessandro-buongiorno,A. Buongiorno,D,4,191,3972,M,870263,EUR,928627200,D,4,4,False,41.0,37.0,3.0,2.0,27.0,29.0,10.0,12.0,2.0,1.0,,,90.0,50.0,6.9,4.0,0.00315578,0,,,,2.0,2.0,6.0,7.0,,,1.0,3.0,,,2.0,4.0,,,,,,,,,,,,,,,,,,
11406780,home,Torino,Ricardo Rodríguez,ricardo-rodriguez,R. Rodríguez,D,12,182,1729,M,67769,EUR,714700800,D,13,13,False,54.0,47.0,2.0,,15.0,16.0,34.0,48.0,2.0,4.0,,,90.0,71.0,7.4,15.0,0.136684,0,,10.0,2.0,1.0,1.0,2.0,2.0,,,1.0,1.0,,2.0,,1.0,True,1.0,,,,,,,,,,,,,,,,
11406780,home,Torino,Raoul Bellanova,raoul-bellanova,R. Bellanova,M,16,188,2480,M,826185,EUR,958521600,M,19,19,False,30.0,24.0,2.0,,9.0,13.0,17.0,25.0,1.0,4.0,,,85.0,56.0,7.1,16.0,0.248963,1,,8.0,2.0,1.0,,3.0,3.0,,,,1.0,1.0,3.0,,1.0,,1.0,3.0,2.0,1.0,0.0251,,,,,,,,,,,,
11406780,home,Torino,Samuele Ricci,samuele-ricci,S. Ricci,M,4,182,4118,M,930189,EUR,998352000,M,28,28,False,47.0,44.0,1.0,1.0,20.0,21.0,24.0,26.0,,3.0,,,90.0,57.0,6.7,4.0,0.0184336,3,,,,3.0,1.0,5.0,4.0,,,1.0,1.0,,,2.0,2.0,,1.0,1.0,,,0.0695,3.0,,,,,,,,,,,
11406780,home,Torino,Karol Linetty,karol-linetty,K. Linetty,M,10,176,2109,M,189135,EUR,791683200,M,77,77,False,44.0,40.0,4.0,2.0,15.0,16.0,26.0,31.0,,6.0,,,90.0,59.0,7.0,8.0,0.126433,1,,3.0,1.0,,,5.0,3.0,2.0,,,,1.0,2.0,2.0,2.0,,,2.0,1.0,,0.0361,1.0,1.0,,,,,,,,,,
11406780,home,Torino,Mërgim Vojvoda,mergim-vojvoda,M. Vojvoda,D,31,187,1424,M,798147,EUR,791596800,M,27,27,False,35.0,32.0,6.0,4.0,16.0,19.0,17.0,24.0,2.0,5.0,,,78.0,54.0,7.6,10.0,0.0714469,1,,8.0,1.0,1.0,,1.0,2.0,,,1.0,1.0,,3.0,1.0,,,,,,,0.0232,,,1.0,0.0985,,,,,,,,
11406780,home,Torino,Nikola Vlašić,nikola-vlasic,N. Vlašić,M,10,178,5477,M,357596,EUR,875923200,F,16,16,False,26.0,19.0,,,3.0,4.0,16.0,24.0,,4.0,,,90.0,37.0,6.7,11.0,0.0370755,4,,2.0,,,,3.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,0.1883,3.0,,,,,,niksivlasic_,,,,,
11406780,home,Torino,Antonio Sanabria,antonio-sanabria,A. Sanabria,F,99,181,3538,M,333261,EUR,825897600,F,9,9,False,19.0,15.0,3.0,2.0,8.0,8.0,7.0,11.0,2.0,2.0,,,77.0,28.0,7.0,6.0,0.00412393,1,,,,,3.0,3.0,6.0,,,,,1.0,,2.0,2.0,,,1.0,1.0,,0.0415,,,1.0,0.0915,,,,1.0,,,,
