match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_totalCross,stat_lastManTackle,stat_wasFouled,stat_totalContest,stat_wonContest,player_sofascoreId,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_hitWoodwork,stat_penaltyWon,stat_goals,stat_penaltyConceded,stat_goodHighClaim,stat_penaltyFaced
12421226,home,Standard Liège,Gavin Bazunu,Gavin,Bazunu,bazunu-gavin,G. Bazunu,G,31,189,913,M,936719,EUR,1014163200,G,31,31,False,38.0,22.0,18.0,4.0,0.0,19.0,22.0,3.0,16.0,1.0,9.0,2.0,2.0,1.0,1.0,90.0,45.0,6.6,16.0,0.00041072,0,-0.2896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421226,home,Standard Liège,Boško Šutalo,,,bosko-sutalo,B. Šutalo,D,21,188,725,M,942992,EUR,946684800,D,4,4,False,32.0,26.0,3.0,2.0,0.0,24.0,27.0,2.0,5.0,6.0,4.0,,,,,76.0,51.0,6.7,11.0,0.00232321,0,,2.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12421226,home,Standard Liège,Attila Szalai,,,attila-szalai,A. Szalai,D,41,192,2460,M,823092,EUR,885254400,D,41,41,False,34.0,27.0,8.0,3.0,0.0,24.0,26.0,3.0,9.0,7.0,2.0,,,,,90.0,50.0,6.7,8.0,0.0009575,0,,5.0,2.0,5.0,4.0,,,,2.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12421226,home,Standard Liège,Henry Lawrence,,,henry-lawrence,H. Lawrence,D,18,171,129,M,976265,EUR,1001030400,D,88,88,False,23.0,19.0,1.0,,0.0,13.0,15.0,6.0,8.0,3.0,3.0,,,,,45.0,35.0,6.6,6.0,0.00126074,0,,,1.0,1.0,3.0,,,,2.0,,,,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12421226,home,Standard Liège,Marlon Fossey,,,marlon-fossey,M. Fossey,M,13,180,286,M,880762,EUR,905299200,M,13,13,False,18.0,14.0,1.0,,0.0,5.0,5.0,9.0,13.0,5.0,1.0,,,,,90.0,41.0,6.8,9.0,0.00747551,0,,1.0,2.0,2.0,5.0,,,,2.0,3.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12421226,home,Standard Liège,Lazare Amani,Jean Thierry Lazare,Amani,jean-thierry-lazare-amani,L. Amani,M,88,172,4079,M,845136,EUR,889228800,M,8,8,False,23.0,14.0,,,0.0,5.0,8.0,9.0,16.0,,5.0,,,,,85.0,44.0,6.6,17.0,0.0138233,1,,1.0,,9.0,8.0,4.0,3.0,,,4.0,3.0,,4.0,1.0,1.0,,4.0,,,jtl_amani_8,1.0,0.0236,0.1094,,,,,,,,,,,,,,
12421226,home,Standard Liège,Aiden O'Neill,,,aiden-oneill,A. O'Neill,M,21,178,150,M,847938,EUR,899510400,M,24,24,False,46.0,34.0,5.0,2.0,0.0,21.0,24.0,13.0,22.0,2.0,10.0,,,,,90.0,62.0,6.7,14.0,0.0067736,0,,1.0,,6.0,7.0,1.0,1.0,,3.0,6.0,4.0,1.0,1.0,3.0,,,,1.0,1.0,,,,,True,,,,,,,,,,,,,
12421226,home,Standard Liège,Sotiris Alexandropoulos,,,sotiris-alexandropoulos,S. Alexandropoulos,M,14,186,870,M,947477,EUR,1006732800,M,6,6,False,47.0,40.0,4.0,3.0,0.0,24.0,26.0,16.0,21.0,1.0,3.0,,,,,85.0,59.0,6.4,12.0,0.0180712,0,,,,4.0,1.0,2.0,1.0,1.0,2.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12421226,home,Standard Liège,Ilay Camara,Ilay Camara,,camara-ilay,I. Camara,M,7,174,4171,M,1397747,EUR,1042848000,M,17,17,False,31.0,27.0,2.0,1.0,0.0,11.0,12.0,16.0,25.0,,4.0,,,,,90.0,45.0,6.4,14.0,0.0507886,2,,,1.0,3.0,2.0,2.0,,,1.0,,,,3.0,1.0,6.0,,1.0,,,,,0.4563,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,
12421226,home,Standard Liège,Andreas Hountondji,,,hountondji-andreas,A. Hountondji,F,27,190,3805,M,1112796,EUR,1026345600,F,77,77,False,11.0,9.0,,,0.0,2.0,2.0,8.0,11.0,2.0,1.0,,,,,90.0,26.0,7.6,7.0,0.57777,2,,8.0,2.0,11.0,2.0,1.0,1.0,,,,,,1.0,,2.0,,1.0,1.0,,,1.0,0.0551,0.2995,,,1.0,,1.0,4.0,1.0,1.0,1.0,1.0,,,,
12421226,home,Standard Liège,Andi Zeqiri,,,andi-zeqiri,A. Zeqiri,F,9,184,672,M,796067,EUR,930009600,F,9,9,False,17.0,14.0,,,0.0,4.0,4.0,10.0,13.0,,3.0,,,,,65.0,24.0,6.6,5.0,0.181691,1,,4.0,,7.0,2.0,,2.0,,,1.0,1.0,,,1.0,,,1.0,,,,,0.0402,,,,,1.0,,1.0,,,,,,,,
12421226,home,Standard Liège,Boli Bolingoli,,,boli-bolingoli,B. Bolingoli,D,5,180,129,M,333301,EUR,804556800,D,5,5,True,18.0,13.0,2.0,,0.0,7.0,7.0,6.0,12.0,,1.0,,,,,45.0,32.0,6.8,9.0,0.0144242,0,,2.0,,4.0,3.0,1.0,1.0,2.0,,2.0,2.0,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
