match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,stat_totalCross,stat_accurateCross,stat_wonContest,player_sofascoreId,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,player_firstName,player_lastName
13473345,home,Bahia,Ronaldo,ronaldo,Ronaldo,G,96,193,1025,M,840106,EUR,840672000,G,96,96,False,24.0,17.0,10.0,3.0,0.0,16.0,16.0,1.0,8.0,2.0,2.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,90.0,33.0,7.0,7.0,0.00031815,0,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13473345,home,Bahia,Gilberto,gilberto,Gilberto,D,2,181,1500,M,261687,EUR,731462400,D,2,2,False,48.0,42.0,2.0,,0.0,15.0,17.0,27.0,31.0,,5.0,3.0,1.0,,,,,,90.0,71.0,8.1,12.0,0.033167,1,,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,3.0,2.0,0.2336,0.4747,1.0,,,,,,,,,,,,,,
13473345,home,Bahia,Kanu,kanu,Kanu,D,4,186,926,M,871705,EUR,857692800,D,4,4,False,48.0,45.0,5.0,4.0,0.0,33.0,36.0,12.0,12.0,1.0,2.0,4.0,,,,,,,90.0,57.0,7.1,4.0,0.0177445,0,,5.0,1.0,,,,,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,3.0,1.0,,,,,,,,,,,,
13473345,home,Bahia,Santiago Ramos Mingo,ramos-mingo-santiago,S. R. Mingo,D,21,185,2035,M,989843,EUR,1006300800,D,21,21,False,45.0,40.0,3.0,2.0,0.0,16.0,17.0,24.0,28.0,4.0,6.0,3.0,2.0,,,,,,90.0,56.0,7.1,6.0,0.029396,1,,4.0,,,,,,3.0,,1.0,,1.0,1.0,0.016,,2.0,3.0,,1.0,1.0,1.0,,,,,,,,,
13473345,home,Bahia,Luciano Juba,luciano-juba,L. Juba,D,46,176,3659,M,1017264,EUR,935884800,D,46,46,False,42.0,38.0,,,1.0,22.0,24.0,16.0,18.0,1.0,5.0,11.0,,,,,,,82.0,59.0,8.0,8.0,0.659966,0,,1.0,,,3.0,,,2.0,1.0,2.0,2.0,,,,,3.0,,,1.0,,,4.0,1.0,2.0,,,,,,
13473345,home,Bahia,Everton Ribeiro,everton-ribeiro,E. Ribeiro,M,10,174,5845,M,145063,EUR,608169600,M,10,10,False,32.0,26.0,2.0,1.0,0.0,4.0,5.0,22.0,27.0,1.0,7.0,3.0,3.0,,,,,,51.0,44.0,6.4,10.0,0.323712,0,,7.0,3.0,,1.0,,,,,2.0,,2.0,2.0,,,1.0,2.0,,1.0,,,2.0,,1.0,evertonri,True,,,,
13473345,home,Bahia,Caio Alexandre,caio-alexandre,C. Alexandre,M,19,174,1777,M,1008832,EUR,919814400,M,19,19,False,57.0,54.0,2.0,2.0,0.0,28.0,28.0,26.0,29.0,,1.0,2.0,1.0,,,,,,69.0,65.0,6.9,7.0,0.0300032,1,,3.0,1.0,,,,,,,,,,2.0,0.0146,,1.0,,,,1.0,,2.0,,,,,,,,
13473345,home,Bahia,Jean Lucas,jean-lucas,J. Lucas,M,6,181,3752,M,927975,EUR,898473600,M,6,6,False,27.0,24.0,2.0,1.0,0.0,10.0,12.0,14.0,15.0,1.0,4.0,4.0,1.0,,,,,,83.0,39.0,7.1,5.0,0.0148358,1,,3.0,,,,,,,1.0,2.0,2.0,1.0,1.0,0.0525,,1.0,2.0,,,1.0,,1.0,,,,,,,,
13473345,home,Bahia,Ademir,ademir,Ademir,F,7,172,1700,M,922546,EUR,792892800,F,7,7,False,17.0,16.0,1.0,1.0,0.0,,,16.0,17.0,,4.0,2.0,1.0,,,,,,54.0,29.0,6.8,5.0,0.0916805,1,,3.0,,1.0,2.0,1.0,,,,3.0,2.0,,,0.3023,0.5978,1.0,,,,,,2.0,1.0,,,,1.0,,,
13473345,home,Bahia,Luciano Rodríguez,luciano-rodriguez,L. Rodríguez,F,19,179,4244,M,1099361,EUR,1058313600,F,9,9,False,15.0,9.0,,,0.0,4.0,4.0,5.0,11.0,,5.0,3.0,1.0,,,,,,90.0,41.0,7.1,13.0,0.00855742,5,,6.0,,1.0,2.0,2.0,,1.0,1.0,3.0,2.0,4.0,3.0,0.6401,0.4024,,1.0,1.0,,2.0,,,,1.0,,,2.0,1.0,,
