match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_wonContest,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_shotOffTarget,stat_dispossessed,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
14109772,home,Trabzonspor,André Onana,,,andre-onana,A. Onana,G,24,190.0,53710,M,AndréOnana24,787498,EUR,828403200,G,24,24,False,31.0,26.0,9.0,4.0,0.0,24.0,27.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,90.0,34.0,7.0,5.0,0.00193249,97.409451537952,15.0,66.675,9.555,0.3077,0,0.2667,0.09,0.0,-0.07,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109772,home,Trabzonspor,Wagner Pina,,,wagner-pina,W. Pina,M,20,180.0,484,M,,1513625,EUR,1036281600,D,20,20,False,43.0,40.0,,,0.0,13.0,13.0,27.0,30.0,1.0,7.0,,,,90.0,68.0,6.6,10.0,0.0331503,236.70930382601,22.0,138.915,21.945,,0,,0.19,0.12,-0.06,,3.0,1.0,1.0,4.0,3.0,2.0,1.0,3.0,2.0,56.105895576697,3.0,,,,,,,,,,,,,,,,,,,,,,
14109772,home,Trabzonspor,Chibuike Nwaiwu,Chibuike Nwaiwu,,chibuike-nwaiwu,C. Nwaiwu,D,27,193.0,499,M,,1481134,EUR,1058918400,D,27,27,False,77.0,73.0,2.0,2.0,0.0,43.0,46.0,30.0,31.0,2.0,9.0,,,,90.0,92.0,7.4,5.0,0.0313881,314.2989749887,40.0,178.92,45.15,,0,,0.27,0.23,-0.02,,1.0,1.0,2.0,6.0,8.0,,1.0,2.0,1.0,45.82220968046,1.0,3.0,2.0,1.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,,,
14109772,home,Trabzonspor,Arseniy Batagov,,,arsenii-batahov,A. Batagov,D,44,185.0,941,M,,981395,EUR,1015286400,D,44,44,False,84.0,83.0,11.0,11.0,0.0,40.0,40.0,43.0,44.0,6.0,5.0,,,,90.0,96.0,8.0,2.0,0.0292643,394.1836655169,45.0,211.575,22.47,,0,,0.44,0.35,0.3,,1.0,,1.0,1.0,1.0,,,,1.0,43.52959222399,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,
14109772,home,Trabzonspor,Mathias Løvik,,,lovik-mathias-fjortoft,M. F. Løvik,M,14,183.0,462,M,,1133715,EUR,1070668800,D,14,14,False,29.0,24.0,1.0,1.0,0.0,12.0,13.0,12.0,16.0,2.0,3.0,,,,90.0,59.0,6.6,16.0,0.079642,180.42826536482,16.0,104.895,22.785,,1,,0.08,0.2,-0.16,,7.0,2.0,,4.0,5.0,4.0,3.0,,2.0,83.75569946764,4.0,1.0,,,,2.0,2.0,2.0,3.0,1.0,0.0074,0.0,,,,,,,,,,,
14109772,home,Trabzonspor,Christ Inao Oulaï,Christ Inao Oulaï,,christ-inao-oulai,C. I. Oulaï,M,42,173.0,9524,M,,1888002,EUR,1144281600,M,42,42,False,70.0,65.0,7.0,4.0,1.0,24.0,24.0,41.0,46.0,1.0,7.0,,,,90.0,85.0,7.7,7.0,0.277635,372.01345519013,45.0,134.295,21.945,,1,,0.41,0.39,-0.05,,,,,4.0,6.0,2.0,,3.0,2.0,38.103047782642,2.0,,1.0,,2.0,2.0,,3.0,1.0,,0.0447,-0.31,1.0,,,,,,,,,,
14109772,home,Trabzonspor,Tim Jabol-Folcarelli,Tim Jabol-Folcarelli,,tim-jabol-folcarelli,T. Jabol-Folcarelli,M,26,187.0,314,M,,1106446,EUR,944438400,M,26,26,False,57.0,50.0,3.0,3.0,0.0,25.0,27.0,25.0,30.0,,9.0,,,,90.0,68.0,7.1,10.0,0.0266159,129.87082861992,14.0,69.195,13.755,,0,,0.27,0.21,0.17,,,,1.0,6.0,5.0,1.0,2.0,1.0,3.0,14.555329779844,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,1.0,,,,,,,,,
14109772,home,Trabzonspor,Oleksandr Zubkov,,,oleksandr-zubkov,O. Zubkov,M,22,182.0,1318,M,,353282,EUR,839030400,M,22,22,False,31.0,27.0,3.0,2.0,0.0,6.0,6.0,21.0,25.0,,1.0,,,,89.0,63.0,7.8,21.0,0.147714,230.51598525826,26.0,103.11,19.32,,5,,-0.13,0.42,-0.14,,11.0,2.0,,4.0,4.0,3.0,4.0,2.0,1.0,85.601206515315,5.0,,,,1.0,,,4.0,2.0,4.0,0.2082,0.54,,2.0,True,1.0,1.0,1.0,0.3778,,,,
14109772,home,Trabzonspor,Ernest Muçi,,,ernest-muci,E. Muçi,M,10,180.0,5691,M,ernest_muci,924670,EUR,984960000,M,10,10,False,39.0,32.0,2.0,1.0,0.0,9.0,10.0,23.0,29.0,,3.0,,,,89.0,51.0,5.9,14.0,0.025088,199.91720815007,23.0,47.04,18.795,,4,,-0.25,0.25,-0.12,,1.0,,1.0,5.0,1.0,1.0,2.0,,1.0,24.758382035182,1.0,,1.0,,,,,,,,0.2779,-0.56,4.0,3.0,,,,,,1.0,,,
14109772,home,Trabzonspor,Kazeem Olaigbe,,,kazeem-olaigbe,K. Olaigbe,F,70,178.0,767,M,,1004346,EUR,1041465600,M,70,70,False,17.0,14.0,,,0.0,6.0,6.0,8.0,11.0,,1.0,,,,45.0,27.0,6.5,8.0,0.00446932,101.89422156599,13.0,34.755,11.865,,2,,-0.22,0.13,-0.01,,1.0,,1.0,3.0,1.0,1.0,2.0,,1.0,18.483389391513,2.0,1.0,,,,,,,,,0.0665,0.14,1.0,,,,1.0,,0.4065,,,,
