match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,captain,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_fouls,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_challengeLost,stat_shotOffTarget,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_goodHighClaim,player_sofascoreId,stat_hitWoodwork
14065136,home,1. FC Heidenheim,Diant Ramaj,ramaj-diant,D. Ramaj,G,41,189,935,M,981562,EUR,1000857600,G,41,41,False,42.0,28.0,33.0,19.0,0.0,14.0,14.0,14.0,28.0,2.0,13.0,2.0,1.0,1.0,90.0,51.0,7.4,14.0,0.00812758,0.2076,0,-0.5846,0.18,0.0,-0.01,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065136,home,1. FC Heidenheim,Marnon Busch,marnon-busch,M. Busch,D,2,182,76,M,168861,EUR,786844800,D,2,2,False,16.0,13.0,4.0,3.0,0.0,7.0,7.0,6.0,9.0,6.0,2.0,,,,89.0,37.0,7.0,8.0,0.0120239,,0,,0.19,-0.43,0.56,,2.0,2.0,5.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14065136,home,1. FC Heidenheim,Patrick Mainka,patrick-mainka,P. Mainka,D,6,194,320,M,254429,EUR,784080000,D,6,6,False,24.0,20.0,1.0,,0.0,14.0,15.0,6.0,9.0,10.0,3.0,,,,90.0,48.0,6.9,5.0,0.00675976,,0,,0.01,0.06,0.32,,,3.0,3.0,6.0,,3.0,1.0,2.0,True,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14065136,home,1. FC Heidenheim,Tim Siersleben,tim-siersleben,T. Siersleben,D,4,187,118,M,988252,EUR,952560000,D,4,4,False,17.0,10.0,7.0,1.0,0.0,5.0,5.0,5.0,12.0,16.0,4.0,,,,90.0,43.0,7.2,9.0,0.00545427,,0,,0.12,0.07,0.56,,,,3.0,5.0,,,3.0,,,1.0,4.0,4.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,
14065136,home,1. FC Heidenheim,Jonas Föhrenbach,jonas-fohrenbach,J. Föhrenbach,D,19,185,79,M,311676,EUR,822614400,D,19,19,False,26.0,19.0,5.0,,0.0,10.0,14.0,9.0,12.0,4.0,3.0,,,,90.0,43.0,6.7,9.0,0.0117142,,0,,0.08,0.07,0.18,,2.0,,1.0,4.0,,,2.0,2.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
14065136,home,1. FC Heidenheim,Arijon Ibrahimović,arijon-ibrahimovic,A. Ibrahimović,F,22,176,2950,M,1142248,EUR,1134259200,M,22,22,False,38.0,20.0,7.0,3.0,1.0,6.0,10.0,14.0,28.0,1.0,7.0,,,,90.0,61.0,6.9,28.0,0.418509,,1,,0.25,0.46,0.15,,5.0,2.0,6.0,4.0,4.0,,1.0,1.0,,1.0,1.0,1.0,3.0,3.0,,,1.0,,2.0,1.0,1.0,1.0,0.0178,0.0121,0.01,,,,,,,,,
14065136,home,1. FC Heidenheim,Julian Niehues,julian-niehues,J. Niehues,M,16,195,115,M,1066042,EUR,987465600,M,16,16,False,25.0,19.0,1.0,1.0,0.0,11.0,12.0,8.0,13.0,1.0,3.0,,,,70.0,34.0,6.6,10.0,0.0139018,,1,,0.19,0.06,-0.03,,1.0,,3.0,1.0,1.0,,2.0,,,1.0,,,,,,,2.0,,,,,1.0,0.0224,0.0832,0.19,,,,,,,,,
14065136,home,1. FC Heidenheim,Jan Schöppner,jan-schoppner,J. Schöppner,M,3,190,163,M,933707,EUR,929145600,M,3,3,False,20.0,11.0,6.0,2.0,0.0,2.0,4.0,9.0,16.0,5.0,4.0,,,,90.0,32.0,6.3,10.0,0.006713,,0,,0.09,0.02,0.13,,1.0,4.0,9.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,4.0,,,,,,,,
14065136,home,1. FC Heidenheim,Mathias Honsak,mathias-honsak,M. Honsak,M,17,188,255,M,575952,EUR,851040000,M,17,17,False,10.0,6.0,2.0,1.0,0.0,3.0,6.0,3.0,4.0,2.0,5.0,,,,63.0,28.0,6.8,6.0,0.0104353,,2,,0.1,-0.17,0.16,,,1.0,2.0,5.0,,,2.0,1.0,,1.0,3.0,2.0,2.0,1.0,,,,,,,,,0.0522,,-0.49,1.0,2.0,,,,,,,
14065136,home,1. FC Heidenheim,Stefan Schimmer,stefan-schimmer,S. Schimmer,F,9,185,103,M,842922,EUR,767491200,F,9,9,False,9.0,8.0,3.0,3.0,0.0,3.0,3.0,5.0,6.0,4.0,2.0,,,,70.0,23.0,7.3,3.0,0.0773309,,2,,0.27,0.03,0.27,,1.0,3.0,4.0,6.0,1.0,,,1.0,,4.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,0.1181,,-0.28,,1.0,1.0,1.0,,,,,
14065136,home,1. FC Heidenheim,Budu Zivzivadze,budu-zivzivadze,B. Zivzivadze,F,11,189,2844,M,149728,EUR,763257600,F,11,11,False,18.0,14.0,1.0,,0.0,7.0,8.0,7.0,10.0,2.0,2.0,,,,70.0,32.0,7.6,9.0,0.0223987,,2,,0.12,0.13,0.14,,,3.0,5.0,3.0,2.0,,,1.0,,1.0,,,3.0,1.0,,,,,,1.0,1.0,2.0,0.588,0.7447,0.5,1.0,,,,1.0,,,,
