match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,captain,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_bigChanceMissed,player_firstName,player_lastName,stat_shotOffTarget,player_sofascoreId,stat_blockedScoringAttempt,stat_goals,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot,stat_totalOffside
14083118,home,Mallorca,Lucas Bergström,lucas-bergstrom,L. Bergström,G,13,206.0,3167,M,996903,EUR,1031184000,G,13,13,False,23.0,11.0,20.0,8.0,0.0,3.0,6.0,8.0,17.0,2.0,2.0,4.0,11.0,2.0,2.0,3.0,1.0,1.0,90.0,37.0,7.1,12.0,0.00196746,-0.0028,0,0.0772,0.03,0.01,0.27,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083118,home,Mallorca,Pablo Maffeo,pablo-maffeo,P. Maffeo,D,23,173.0,2206,M,788216,EUR,868665600,D,23,23,False,20.0,13.0,4.0,3.0,0.0,7.0,10.0,6.0,10.0,8.0,13.0,8.0,3.0,,,,,,90.0,61.0,8.5,16.0,0.0153659,,0,,0.15,0.05,0.38,,6.0,1.0,1.0,5.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
14083118,home,Mallorca,Martin Valjent,martin-valjent,M. Valjent,D,24,187.0,757,M,300522,EUR,818640000,D,24,24,False,26.0,18.0,7.0,3.0,0.0,15.0,17.0,3.0,9.0,2.0,2.0,7.0,2.0,,,,,,90.0,37.0,7.0,9.0,0.00077116,,0,,0.03,0.02,0.32,,2.0,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
14083118,home,Mallorca,Antonio Raíllo,antonio-raillo,A. Raíllo,D,21,186.0,793,M,807116,EUR,686880000,D,21,21,False,22.0,13.0,6.0,1.0,0.0,11.0,14.0,2.0,8.0,6.0,7.0,7.0,,,,,,,90.0,36.0,6.9,12.0,0.00080238,,1,,-0.05,0.02,-0.01,,3.0,1.0,,,,,,1.0,1.0,,3.0,,,2.0,True,1.0,0.0765,0.4151,0.24,,,,,,,,,,,,,,
14083118,home,Mallorca,Johan Mojica,johan-mojica,J. Mojica,D,22,185.0,3950,M,344847,EUR,714355200,D,22,22,False,31.0,19.0,4.0,,1.0,11.0,16.0,8.0,15.0,1.0,5.0,4.0,6.0,,,,,,90.0,66.0,7.4,16.0,0.188261,,0,,0.3,0.11,0.29,,5.0,,,1.0,,,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,3.0,3.0,1.0,2.0,,,,,,,,,,
14083118,home,Mallorca,Omar Mascarell,omar-mascarell,O. Mascarell,M,5,181.0,553,M,255999,EUR,728611200,M,5,5,False,30.0,20.0,8.0,3.0,0.0,13.0,15.0,7.0,15.0,3.0,5.0,5.0,3.0,,,,,,90.0,47.0,7.1,11.0,0.0060145,,0,,0.14,0.02,0.52,,6.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,
14083118,home,Mallorca,Samú Costa,samuel-costa,S. Costa,M,12,183.0,1427,M,988351,EUR,975283200,M,12,12,False,30.0,15.0,11.0,6.0,0.0,7.0,12.0,8.0,18.0,1.0,4.0,9.0,3.0,,,,,,90.0,60.0,7.1,25.0,0.00895276,,0,,0.1,0.07,0.48,,6.0,,1.0,4.0,1.0,,1.0,3.0,2.0,2.0,3.0,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,
14083118,home,Mallorca,Sergi Darder,sergi-darder,S. Darder,M,10,180.0,979,M,110783,EUR,756518400,M,10,10,False,20.0,11.0,3.0,,0.0,8.0,11.0,3.0,9.0,,5.0,,4.0,,,,,,82.0,39.0,6.8,15.0,0.0684194,,1,,0.06,0.15,0.16,,3.0,,1.0,3.0,2.0,,,2.0,1.0,1.0,2.0,2.0,1.0,,,1.0,0.373,0.2126,0.01,3.0,1.0,,1.0,1.0,,,,,,,,,
14083118,home,Mallorca,Mateo Joseph,mateo-joseph,M. Joseph,F,18,180.0,1215,M,1170693,EUR,1066521600,M,18,18,False,11.0,8.0,1.0,,0.0,4.0,5.0,4.0,6.0,1.0,5.0,2.0,2.0,,,,,,81.0,26.0,6.5,7.0,0.00375421,,2,,-0.07,0.03,0.17,,9.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,3.0,2.0,3.0,4.0,,1.0,0.1524,,0.01,,,,,1.0,,,1.0,,,,,,
14083118,home,Mallorca,Jan Virgili,jan-virgili,J. Virgili,M,17,168.0,6428,M,1939173,EUR,1153872000,M,17,17,False,16.0,13.0,1.0,1.0,0.0,8.0,10.0,5.0,6.0,,3.0,,6.0,,,,,,63.0,32.0,6.3,11.0,0.00370486,,0,,-0.22,0.26,-0.04,,8.0,1.0,,6.0,1.0,,,,2.0,,3.0,,,2.0,,,,,,,,,,,Jan Virgili,,,,,,,,
