match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_firstName,player_lastName,player_sofascoreId,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_aerialWon,stat_wasFouled,stat_outfielderBlock,stat_keyPass,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_wonContest,stat_totalOffside,captain,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_errorLeadToAShot
14065729,home,Paris FC,Obed Nkambadio,obed-nkambadio,O. Nkambadio,G,16,190,499,M,1015872,EUR,1044576000,G,16,16,False,34.0,32.0,3.0,1.0,0.0,31.0,32.0,1.0,2.0,5.0,90.0,38.0,6.1,2.0,0.00030172,0,-0.2351,-0.01,0.01,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065729,home,Paris FC,Hamari Traoré,hamari-traore,H. Traoré,D,14,175,4235,M,362014,EUR,696470400,D,14,14,False,43.0,40.0,1.0,1.0,0.0,26.0,29.0,14.0,14.0,5.0,69.0,62.0,6.5,5.0,0.00970758,2,,0.12,-0.03,-0.1,,,hamarintos27,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,0.1239,-0.27,,,,,,,,,,,,,,,,,,,,,,,,
14065729,home,Paris FC,Samir Sophian Chergui,samir-sophian-chergui,S. S. Chergui,D,31,185,5518,M,981168,EUR,918259200,D,31,31,False,79.0,76.0,3.0,3.0,0.0,60.0,62.0,16.0,17.0,3.0,90.0,90.0,6.5,3.0,0.00708757,0,,-0.04,0.1,-0.4,,,,1.0,2.0,6.0,,,,,3.0,,3.0,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14065729,home,Paris FC,Moustapha Mbow,moustapha-mbow,M. Mbow,D,5,187,1699,M,982319,EUR,952473600,D,5,5,False,79.0,75.0,2.0,2.0,0.0,47.0,48.0,28.0,31.0,6.0,90.0,91.0,6.5,4.0,0.0149153,0,,0.13,0.08,-0.27,,,,1.0,2.0,3.0,,,,,5.0,2.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
14065729,home,Paris FC,Nhoa Sangui,nhoa-sangui,N. Sangui,D,19,178,286,M,1426221,EUR,1140998400,D,19,19,False,48.0,45.0,1.0,,0.0,18.0,18.0,27.0,30.0,2.0,88.0,66.0,5.9,9.0,0.247409,0,,0.34,0.11,-0.8,,,,,2.0,2.0,1.0,,,,3.0,,2.0,2.0,,,,,,,2.0,3.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,
14065729,home,Paris FC,Pierre Lees Melou,pierre-lees-melou,P. L. Melou,M,33,185,589,M,801306,EUR,738288000,M,33,33,False,56.0,50.0,8.0,6.0,0.0,24.0,26.0,26.0,30.0,6.0,90.0,65.0,6.7,9.0,0.0252035,1,,0.2,0.14,-0.1,,,,,4.0,2.0,,,,,1.0,,2.0,1.0,2.0,0.0401,0.0,,,,,,,,,,,2.0,1.0,0.0702,,,,,,,,,,,
14065729,home,Paris FC,Ilan Kebbal,ilan-kebbal,I. Kebbal,M,10,169,10601,M,1049442,EUR,900028800,M,10,10,False,82.0,69.0,7.0,5.0,1.0,20.0,21.0,49.0,61.0,6.0,90.0,107.0,8.2,20.0,0.452909,2,,0.5,0.64,-0.15,Ilan Kebbal,,,,2.0,8.0,6.0,,1.0,,1.0,,1.0,1.0,,0.0643,-0.26,,2.0,,4.0,5.0,2.0,,2.0,,2.0,1.0,1.0,0.3433,5.0,1.0,,,,,,,,,
14065729,home,Paris FC,Maxime López,maxime-lopez,M. López,M,21,167,1284,M,352802,EUR,881193600,M,21,21,False,108.0,98.0,5.0,4.0,0.0,37.0,38.0,61.0,70.0,3.0,90.0,123.0,7.3,19.0,0.217943,0,,0.65,0.08,-0.15,,,,,5.0,2.0,2.0,,,,,,1.0,1.0,3.0,,,,1.0,,4.0,7.0,2.0,,,,2.0,,,,,1.0,True,,,,,,,,
14065729,home,Paris FC,Adama Camara,camara-adama,A. Camara,M,17,180,433,M,1507384,EUR,845596800,M,17,17,False,41.0,33.0,,,0.0,17.0,21.0,16.0,20.0,2.0,79.0,53.0,6.1,11.0,0.00990112,1,,-0.28,0.12,-0.09,Adama Camara,,,2.0,5.0,3.0,,,1.0,,1.0,1.0,3.0,1.0,2.0,0.096,-0.31,,,,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,
14065729,home,Paris FC,Moses Simon,moses-simon,M. Simon,F,27,168,4098,M,330051,EUR,805507200,M,27,27,False,14.0,14.0,1.0,1.0,0.0,5.0,5.0,9.0,9.0,4.0,69.0,41.0,6.9,15.0,0.233947,4,,0.23,0.38,-0.06,,,,1.0,4.0,5.0,5.0,,2.0,1.0,,,1.0,1.0,,0.1612,0.05,,,,1.0,9.0,2.0,,,,4.0,2.0,1.0,0.2168,4.0,,,,,,,,,,
