match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_fouls,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalCross,stat_accurateCross,stat_goals,stat_totalOffside,stat_outfielderBlock,player_sofascoreId,stat_bigChanceMissed,stat_clearanceOffLine
12624371,home,Al-Kholood,Marcelo Grohe,marcelo-grohe,M. Grohe,G,43,188.0,626,M,39427,EUR,537494400.0,G,34,34,False,True,20.0,12.0,15.0,7.0,0.0,6.0,7.0,6.0,13.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,90.0,27.0,7.3,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12624371,home,Al-Kholood,Abdullah Al-Hawsawi,abdullah-al-hawsawi,A. Al-Hawsawi,D,24,176.0,23,M,1127819,EUR,823132800.0,D,24,24,False,,18.0,14.0,3.0,1.0,0.0,6.0,9.0,8.0,9.0,,5.0,3.0,5.0,1.0,,,,,90.0,41.0,7.1,9.0,1,Abdullah Al-Hawsawi,,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,
12624371,home,Al-Kholood,William Troost-Ekong,william-troost-ekong,W. Troost-Ekong,D,5,191.0,2266,M,338991,EUR,746841600.0,D,5,5,False,,16.0,9.0,8.0,1.0,0.0,6.0,6.0,3.0,10.0,1.0,2.0,9.0,1.0,,,,,,90.0,29.0,6.8,8.0,0,,,5.0,,,,,,,,1.0,,1.0,,5.0,,,,,,,,,,,
12624371,home,Al-Kholood,Norbert Gyömbér,norbert-gyomber,N. Gyömbér,D,23,189.0,303,M,224456,EUR,710121600.0,D,23,23,False,,16.0,14.0,3.0,2.0,0.0,10.0,11.0,4.0,5.0,2.0,3.0,10.0,1.0,1.0,,,,,90.0,30.0,7.3,2.0,0,,,1.0,,,,,1.0,,,,,,2.0,1.0,,,,,,,,,,,
12624371,home,Al-Kholood,Abdulrahman Al-Safri,abdulrahman-al-safri,A. Al-Safri,M,8,176.0,22,M,990187,EUR,733536000.0,D,8,8,False,,40.0,33.0,3.0,1.0,0.0,9.0,10.0,24.0,30.0,1.0,3.0,4.0,2.0,,,,,,90.0,58.0,6.8,10.0,0,,,3.0,,,1.0,,,,1.0,2.0,,,,,2.0,,,,,,,,,,
12624371,home,Al-Kholood,Kévin N'Doram,kevin-ndoram,K. N'Doram,M,96,184.0,92,M,823476,EUR,822268800.0,M,96,96,False,,32.0,27.0,6.0,3.0,0.0,12.0,14.0,15.0,18.0,4.0,5.0,3.0,2.0,,,,,,90.0,41.0,7.8,5.0,2,,,1.0,1.0,,,,2.0,,1.0,1.0,1.0,,3.0,,,1.0,1.0,,,,,,,,
12624371,home,Al-Kholood,Hammam Al-Hammami,al-hammami-hammam,H. Al-Hammami,F,22,169.0,198,M,1836904,EUR,1075420800.0,M,22,22,False,,24.0,20.0,3.0,1.0,0.0,2.0,3.0,21.0,26.0,1.0,5.0,1.0,2.0,1.0,,,,,85.0,49.0,7.8,12.0,2,Hammam Al-Hammami,,8.0,1.0,2.0,5.0,2.0,,,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,,,,
12624371,home,Al-Kholood,Alex Collado,alex-collado,A. Collado,M,8,177.0,1606,M,859767,EUR,924739200.0,M,10,10,False,,38.0,31.0,6.0,5.0,0.0,7.0,10.0,24.0,32.0,,6.0,,7.0,4.0,,,,,89.0,56.0,7.2,16.0,2,Alex,Collado,4.0,1.0,,4.0,1.0,,1.0,,1.0,1.0,2.0,,,,1.0,,4.0,,,,1.0,,,
12624371,home,Al-Kholood,Aliou Dieng,aliou-dieng,A. Dieng,M,23,184.0,13659,M,933780,EUR,876960000.0,M,15,15,False,,46.0,40.0,3.0,1.0,0.0,15.0,17.0,25.0,29.0,1.0,4.0,1.0,5.0,1.0,,,,,90.0,58.0,7.7,9.0,2,,,1.0,,,1.0,,,,1.0,2.0,1.0,1.0,1.0,,,2.0,,,,1.0,,,alioudieng_18,,
12624371,home,Al-Kholood,Myziane Maolida,maolida-myziane,M. Maolida,M,9,180.0,638,M,851262,EUR,918950400.0,M,9,9,False,,25.0,25.0,,,0.0,7.0,7.0,18.0,18.0,,2.0,2.0,5.0,,,,,,90.0,42.0,6.1,8.0,4,,,10.0,,3.0,6.0,2.0,,1.0,,,,1.0,1.0,1.0,2.0,3.0,,,,,,,,2.0,
