match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,length,injury,playerName,reason,rescinded,confirmed
13981654,FT,0.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
13981654,,0.0,1.0,,90,4.0,,1,,,goal,337430817.0,False,regular,1201388.0,Christian Ordoñez,,,,,,
13981654,,,,,90,0.0,,1,,,injuryTime,,,,,,7.0,,,,,
13981654,,,,,87,,,4,,,substitution,125459223.0,True,regular,,,,False,,,,
13981654,,,,,87,,,4,,,substitution,125459224.0,False,regular,,,,False,,,,
13981654,,,,,87,,,4,,,substitution,125459222.0,True,regular,,,,False,,,,
13981654,,,,,87,,,4,,,substitution,125459213.0,False,regular,,,,False,,,,
13981654,,,,,79,,,12,,,card,124610411.0,False,yellowRed,1516324.0,Mariano Troilo,,,Mariano Troilo,Foul,False,
13981654,,,,,79,,,12,,,substitution,125459174.0,False,regular,,,,False,,,,
13981654,,,,,76,,,15,,,card,124610383.0,True,yellow,818481.0,Jhon Lucumí,,,Jhon Lucumí,Argument,False,
13981654,,,,,72,,,19,,,varDecision,95019.0,False,goalAwarded,1116577.0,Santiago Castro,,,,,,False
13981654,,,,,68,,,23,,,substitution,125459113.0,True,injury,,,,True,,,,
13981654,,,,,61,,,30,,,card,124610245.0,False,yellow,1516324.0,Mariano Troilo,,,Mariano Troilo,Foul,False,
13981654,,,,,57,,,34,,,substitution,125459050.0,True,regular,,,,False,,,,
13981654,,,,,54,,,37,,,substitution,125459042.0,False,regular,,,,False,,,,
13981654,,,,,49,,,42,,,card,124610139.0,False,yellow,1963449.0,Sascha Britschgi,,,Sascha Britschgi,Foul,False,
13981654,,,,,46,,,45,,,substitution,125458960.0,True,regular,,,,False,,,,
13981654,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
13981654,,,,,45,0.0,,1,,,injuryTime,,,,,,4.0,,,,,
13981654,,,,,22,,,24,,,card,124609803.0,True,red,928796.0,Tommaso Pobega,,,Tommaso Pobega,Foul,False,
13981654,,,,,20,,,26,,,varDecision,95009.0,True,cardUpgrade,928796.0,Tommaso Pobega,,,,,,False
