match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_keyPass,captain,stat_aerialWon,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_wasFouled,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_aerialLost,stat_bigChanceCreated,stat_goodHighClaim,stat_goalAssist,stat_goals
12190341,home,Brighton & Hove Albion,Jason Steele,jason-steele,J. Steele,G,23,188,538,M,31867,EUR,650937600,G,23,23,False,37.0,34.0,8.0,5.0,33.0,35.0,1.0,2.0,1.0,7.0,1.0,2.0,3.0,3.0,90.0,45.0,6.0,3.0,0.00019079,0,-2.1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12190341,home,Brighton & Hove Albion,Joël Veltman,joel-veltman,J. Veltman,D,34,184,1147,M,219572,EUR,695433600,D,34,34,False,17.0,15.0,,,11.0,12.0,4.0,5.0,1.0,2.0,,,,,45.0,24.0,5.9,5.0,0.00242198,0,,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12190341,home,Brighton & Hove Albion,Jan Paul van Hecke,jan-paul-van-hecke,J. P. van Hecke,D,6,189,3186,M,962012,EUR,960422400,D,29,29,False,62.0,54.0,4.0,1.0,48.0,51.0,6.0,11.0,3.0,3.0,,,,,90.0,76.0,6.6,10.0,0.00247217,0,,2.0,4.0,,4.0,,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12190341,home,Brighton & Hove Albion,Lewis Dunk,lewis-dunk,L. Dunk,D,5,190,1911,M,115365,EUR,690681600,D,5,5,False,73.0,67.0,8.0,5.0,58.0,59.0,9.0,14.0,3.0,3.0,,,,,90.0,81.0,6.4,7.0,0.00311983,1,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,True,1.0,1.0,0.0495,0.1088,,,,,,,,,,,,,,,,,,,
12190341,home,Brighton & Hove Albion,Valentín Barco,valentin-barco,V. Barco,M,32,172,11515,M,1127057,EUR,1090540800,D,19,19,False,40.0,36.0,,,26.0,29.0,11.0,17.0,1.0,3.0,,,,,90.0,62.0,6.2,11.0,0.20649,1,,2.0,6.0,,3.0,2.0,1.0,,,1.0,1.0,,,,0.0354,,Valentín Barco,,colo.barco,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,
12190341,home,Brighton & Hove Albion,Carlos Baleba,baleba-carlos,C. Baleba,M,17,179,25912,M,1199043,EUR,1073088000,M,20,20,False,30.0,27.0,4.0,3.0,23.0,24.0,4.0,6.0,1.0,2.0,,,,,90.0,38.0,6.2,4.0,0.00302988,0,,5.0,2.0,1.0,1.0,,2.0,,2.0,,,,,,,,,,carlos_baleba,,,2.0,,,,,1.0,,,,,,,,
12190341,home,Brighton & Hove Albion,Jakub Moder,jakub-moder,J. Moder,M,7,191,7174,M,886242,EUR,923443200,M,15,15,False,34.0,30.0,1.0,,27.0,30.0,3.0,4.0,,6.0,,,,,56.0,37.0,6.4,5.0,0.00223205,0,,,1.0,,1.0,,,1.0,,,,,,,,,,,kubamoder,,,,,,,,,,,,,,,,
12190341,home,Brighton & Hove Albion,Adam Lallana,adam-lallana,A. Lallana,M,10,172,1210,M,17054,EUR,579225600,M,14,14,False,12.0,11.0,1.0,,8.0,8.0,3.0,4.0,,,,,,,45.0,16.0,6.3,3.0,0.00187733,0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12190341,home,Brighton & Hove Albion,Pascal Groß,pascal-gross,P. Groß,M,30,181,4733,M,48480,EUR,676944000,M,13,13,False,50.0,43.0,,,28.0,30.0,16.0,21.0,2.0,4.0,,,,,90.0,59.0,7.0,7.0,0.0367937,1,,,3.0,,3.0,,,1.0,,3.0,,,,1.0,0.026,0.1459,,,pascalgross65,1.0,1.0,,,,,,,,,,,,,,
12190341,home,Brighton & Hove Albion,João Pedro,joao-pedro,J. Pedro,F,20,182,97251,M,975079,EUR,1001462400,M,9,9,False,11.0,9.0,,,3.0,4.0,8.0,10.0,2.0,4.0,,,,,90.0,34.0,6.3,10.0,0.0613303,1,,5.0,5.0,1.0,1.0,3.0,1.0,,1.0,,1.0,,,,0.3349,,,,joaopedro,3.0,2.0,,6.0,3.0,,,1.0,1.0,1.0,2.0,,,,,
12190341,home,Brighton & Hove Albion,Danny Welbeck,danny-welbeck,D. Welbeck,F,18,185,4510,M,33902,EUR,659577600,F,18,18,False,16.0,15.0,,,9.0,9.0,6.0,7.0,,3.0,,,,,75.0,24.0,6.7,4.0,0.0193499,2,,3.0,2.0,1.0,,1.0,,,,,,,1.0,1.0,0.1302,0.1019,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,
12190341,home,Brighton & Hove Albion,Odeluga Offiah,odeluga-offiah,O. Offiah,D,42,187,118,M,1069627,EUR,1035590400,D,42,42,True,12.0,9.0,,,5.0,6.0,4.0,6.0,,,,,,,45.0,16.0,6.4,4.0,0.00190662,0,,,1.0,,,,,,,,,,,,,,Odeluga Offiah,,,,,,1.0,1.0,,,,,,,,,,,
