match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelWon,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_lastManTackle,stat_wasFouled,stat_keyPass,stat_challengeLost,stat_outfielderBlock,stat_accurateCross,stat_aerialLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_dispossessed,captain,stat_bigChanceMissed,stat_totalOffside,stat_goals,player_sofascoreId,stat_punches
13981560,home,Cagliari,Elia Caprile,,,elia-caprile,E. Caprile,G,1,191,1685,M,947954,EUR,998697600,G,1,1,False,33.0,15.0,26.0,9.0,0.0,6.0,11.0,9.0,22.0,11.0,1.0,2.0,2.0,1.0,1.0,90.0,41.0,7.0,18.0,0.00226722,41.621794377928,8.0,27.09,10.08,0.1337,0,0.5051,0.04,0.0,0.31,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981560,home,Cagliari,Gabriele Zappa,,,gabriele-zappa,G. Zappa,D,28,183,617,M,927304,EUR,945820800,D,28,28,False,22.0,19.0,3.0,2.0,0.0,8.0,9.0,11.0,13.0,1.0,,,,,,69.0,36.0,7.0,4.0,0.0189179,44.33647866505,7.0,18.375,9.03,,1,,0.15,0.04,0.16,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0448,0.0,,,,,,,,,,,,,,,,,,,,,,,,
13981560,home,Cagliari,Sebastiano Luperto,,,sebastiano-luperto,S. Luperto,D,6,191,784,M,352736,EUR,841968000,D,6,6,False,38.0,32.0,7.0,3.0,0.0,27.0,31.0,5.0,7.0,3.0,,,,,,90.0,48.0,7.6,7.0,0.00206753,122.52857399623,17.0,44.625,10.92,,0,,0.02,0.08,0.76,,6.0,,2.0,,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
13981560,home,Cagliari,Juan Rodríguez,Juan Rodríguez,,rodriguez-juan,J. Rodríguez,D,15,190,820,M,1485391,EUR,1117411200,D,15,15,False,34.0,30.0,4.0,2.0,0.0,24.0,25.0,6.0,9.0,3.0,,,,,,90.0,53.0,7.3,5.0,0.00156645,100.07898044015,16.0,12.18,11.235,,0,,0.05,0.04,0.34,,6.0,,11.0,2.0,3.0,3.0,1.0,,,,3.0,3.0,,,,2.0,1.0,,,,,,,,,,,,,,,,
13981560,home,Cagliari,Marco Palestra,,,palestra-marco,M. Palestra,M,2,186,2182,M,1397736,EUR,1109808000,M,2,2,False,22.0,17.0,2.0,1.0,0.0,8.0,9.0,9.0,13.0,1.0,,,,,,89.0,49.0,7.2,12.0,0.110568,149.53576547517,15.0,53.655,28.035,,2,,0.28,0.31,-0.05,,10.0,,,,,,3.0,0.0763,-0.37,2.0,,8.0,,4.0,2.0,1.0,,1.0,2.0,8.0,6.0,1.0,1.0,1.0,4.0,0.0316,,,,,,,
13981560,home,Cagliari,Michel Adopo,,,michel-ndary-adopo,M. N. Adopo,M,8,187,534,M,928777,EUR,963964800,M,8,8,False,26.0,22.0,1.0,1.0,0.0,11.0,13.0,11.0,13.0,7.0,,,,,,90.0,33.0,6.7,7.0,0.0155431,66.467142223796,4.0,33.495,25.2,,1,,0.14,0.1,0.21,,1.0,1.0,,1.0,,,1.0,0.0731,-0.15,1.0,1.0,3.0,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,
13981560,home,Cagliari,Alessandro Deiola,,,alessandro-deiola,A. Deiola,M,14,189,280,M,328109,EUR,807235200,M,14,14,False,45.0,39.0,7.0,6.0,0.0,20.0,21.0,19.0,24.0,5.0,,,,,,90.0,55.0,7.4,10.0,0.036253,94.878263523883,11.0,49.455,13.755,,1,,0.27,0.21,0.39,,4.0,,,1.0,2.0,2.0,4.0,0.0191,-0.09,,2.0,6.0,,,1.0,1.0,1.0,,1.0,,,,,1.0,2.0,0.0235,1.0,True,,,,,
13981560,home,Cagliari,Michael Folorunsho,,,michael-folorunsho,M. Folorunsho,M,90,190,1521,M,869795,EUR,886809600,M,90,90,False,18.0,13.0,3.0,2.0,0.0,2.0,3.0,11.0,15.0,3.0,,,,,,89.0,45.0,6.9,15.0,0.0156216,111.29480876634,11.0,39.27,17.64,,2,,0.04,0.17,0.23,,8.0,,,1.0,2.0,1.0,3.0,0.6124,0.09,1.0,2.0,8.0,,2.0,,,1.0,,2.0,4.0,2.0,,,2.0,6.0,0.4729,1.0,,2.0,,,,
13981560,home,Cagliari,Adam Obert,,,adam-obert,A. Obert,D,33,186,654,M,964153,EUR,1030060800,M,33,33,False,36.0,27.0,7.0,2.0,0.0,13.0,15.0,14.0,21.0,5.0,,,,,,77.0,63.0,7.5,15.0,0.115681,147.2698110102,16.0,98.595,24.78,,1,,0.3,0.31,0.25,,5.0,,5.0,,2.0,1.0,2.0,0.5992,0.1,3.0,1.0,4.0,,,2.0,1.0,1.0,1.0,,2.0,2.0,,,1.0,1.0,0.3051,1.0,,1.0,,,,
13981560,home,Cagliari,Sebastiano Esposito,,,sebastiano-esposito,S. Esposito,F,94,186,4178,M,965008,EUR,1025568000,F,94,94,False,40.0,31.0,,,1.0,8.0,9.0,23.0,31.0,1.0,,,,,,90.0,66.0,7.3,16.0,0.205722,132.35088076449,14.0,27.405,18.9,,5,,0.27,0.11,-0.05,,8.0,1.0,,1.0,3.0,1.0,,0.2808,-0.39,5.0,1.0,3.0,,4.0,4.0,1.0,,1.0,1.0,,,3.0,2.0,2.0,2.0,0.1542,1.0,,,1.0,,,
