match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_dispossessed,stat_wasFouled,stat_wonContest,stat_outfielderBlock,stat_goalAssist,stat_totalCross,stat_bigChanceCreated,stat_totalOffside,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_accurateCross,captain,player_sofascoreId,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves
10583849,home,Al-Hilal,Abdullah Al-Mayouf,abdullah-al-mayouf,A. Al-Mayouf,G,187,197,M,118159,EUR,538358400,G,1,1,False,27.0,24.0,11.0,8.0,18.0,18.0,6.0,9.0,9.0,1.0,1.0,90.0,30.0,6.9,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583849,home,Al-Hilal,Mohammed Al-Burayk,mohammed-al-burayk,M. Al-Burayk,D,173,281,M,804096,EUR,716515200,D,2,2,False,48.0,43.0,3.0,3.0,16.0,17.0,27.0,31.0,3.0,,,65.0,61.0,7.0,8.0,0,,,2,1.0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10583849,home,Al-Hilal,Mohammed Jahfali,mohammed-jahfali,M. Jahfali,D,185,103,M,791561,EUR,656726400,D,70,70,False,65.0,63.0,3.0,2.0,52.0,53.0,11.0,12.0,7.0,,,90.0,76.0,7.2,4.0,0,,,70,,,2.0,3.0,1.0,,1.0,3.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
10583849,home,Al-Hilal,Ali Albulayhi,ali-albulayhi,A. Albulayhi,D,182,1057,M,1138857,EUR,627609600,D,5,5,False,75.0,65.0,3.0,2.0,43.0,46.0,22.0,29.0,4.0,,,90.0,81.0,7.2,10.0,0,,,3,1.0,,2.0,4.0,,1.0,,1.0,2.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
10583849,home,Al-Hilal,Yasir Al-Shahrani,yasir-al-shahrani,Y. Al-Shahrani,D,171,762,M,160923,EUR,706752000,D,12,12,False,51.0,44.0,,,23.0,25.0,21.0,28.0,6.0,,,90.0,73.0,7.6,12.0,0,,,12,,,4.0,5.0,1.0,2.0,,4.0,4.0,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,
10583849,home,Al-Hilal,Moussa Marega,moussa-marega,M. Marega,F,183,1093,M,298300,EUR,671587200,M,17,17,False,18.0,14.0,,,6.0,7.0,8.0,13.0,4.0,,,72.0,36.0,7.3,11.0,3,,,7,,3.0,4.0,5.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,,,,2.0,,,2.0,1.0,1.0,,,,,,,,
10583849,home,Al-Hilal,Gustavo Cuéllar,gustavo-cuellar,G. Cuéllar,M,175,1944,M,180059,EUR,719020800,M,6,6,False,84.0,78.0,9.0,6.0,45.0,47.0,34.0,38.0,6.0,,,90.0,95.0,6.8,8.0,0,,,6,1.0,,8.0,5.0,4.0,1.0,,2.0,4.0,3.0,,1.0,1.0,2.0,,1.0,,,1.0,,,,,,1.0,,,,,,,
10583849,home,Al-Hilal,Salman Al-Faraj,salman-al-faraj,S. Al-Faraj,M,180,489,M,148858,EUR,617932800,M,7,7,False,89.0,82.0,4.0,3.0,35.0,36.0,49.0,57.0,10.0,,,90.0,113.0,7.5,19.0,0,,,7,,,4.0,4.0,3.0,2.0,,2.0,3.0,2.0,7.0,,1.0,,,1.0,,1.0,4.0,,,,,,2.0,True,,,,,,
10583849,home,Al-Hilal,Salem Al-Dawsari,salem-al-dawsari,S. Al-Dawsari,M,171,11126,M,160893,EUR,682560000,M,29,29,False,48.0,41.0,2.0,2.0,11.0,11.0,32.0,41.0,4.0,,,90.0,75.0,7.8,16.0,3,,,29,,,6.0,9.0,2.0,5.0,,,5.0,2.0,3.0,1.0,2.0,,2.0,2.0,,,4.0,,,1.0,2.0,,2.0,,29salem,,,,,
10583849,home,Al-Hilal,André Carrillo,andre-carrillo,A. Carrillo,M,180,14534,M,115182,EUR,676857600,F,19,19,False,45.0,39.0,9.0,4.0,15.0,16.0,24.0,32.0,5.0,,,65.0,56.0,7.1,11.0,1,,,19,,1.0,3.0,5.0,1.0,3.0,,,1.0,,,,,1.0,1.0,2.0,,,3.0,,,1.0,,,,,18andrecarrillo,,,,,
10583849,home,Al-Hilal,Odion Ighalo,odion-ighalo,O. Ighalo,F,183,2180,M,29774,EUR,613958400,F,9,9,False,12.0,7.0,1.0,1.0,1.0,1.0,6.0,11.0,1.0,,,87.0,20.0,7.3,8.0,2,,,,,,1.0,2.0,,2.0,,,,,3.0,1.0,,,,2.0,,,,,1.0,,1.0,1.0,,,,1.0,,,,
