match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_lastManTackle,stat_wonTackle,player_lastName,captain,stat_interceptionWon,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_wasFouled,stat_bigChanceMissed,stat_totalOffside
12117343,home,Athletico,Mycael,Mycael,mycael,Mycael,G,1,191.0,790,M,1128850,EUR,1079049600,G,41,41,False,19.0,15.0,10.0,6.0,0.0,11.0,11.0,4.0,8.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,90.0,26.0,6.9,4.0,0.00167261,1.0,0,0.0232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117343,home,Athletico,Leonardo Godoy,,leonardo-godoy,L. Godoy,D,29,174.0,518,M,794006,EUR,799027200,D,29,29,False,24.0,15.0,6.0,,0.0,8.0,10.0,9.0,18.0,2.0,1.0,,,,,,,56.0,41.0,6.6,16.0,0.195968,2.0,1,,4.0,2.0,1.0,2.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0217,0.1665,,,,,,,,,,,,,
12117343,home,Athletico,Lucas Belezi,,belezi-lucas,L. Belezi,D,45,186.0,218,M,1130040,EUR,1052352000,D,45,45,False,53.0,40.0,12.0,5.0,0.0,26.0,33.0,14.0,20.0,3.0,6.0,,,,,,,90.0,62.0,6.6,15.0,0.00718314,,0,,,,1.0,3.0,2.0,5.0,1.0,,,,,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,
12117343,home,Athletico,Thiago Heleno,,thiago-heleno,T. Heleno,D,44,185.0,283,M,33106,EUR,590457600,D,44,44,False,51.0,43.0,16.0,11.0,0.0,27.0,29.0,16.0,22.0,3.0,3.0,,,,,,,90.0,60.0,7.1,8.0,0.0180734,,1,,,,3.0,5.0,3.0,6.0,,,,,1.0,1.0,,,0.011,0.1263,,1.0,,True,1.0,,,,,,,,
12117343,home,Athletico,Lucas Esquivel,Lucas Esquivel,lucas-esquivel,L. Esquivel,D,37,183.0,1067,M,1087079,EUR,1003017600,D,37,37,False,45.0,30.0,16.0,8.0,0.0,10.0,12.0,21.0,42.0,3.0,6.0,,,,,,,90.0,68.0,6.7,26.0,0.0527013,,0,,9.0,1.0,1.0,3.0,2.0,4.0,1.0,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,
12117343,home,Athletico,Erick,,erick,Erick,M,14,176.0,1116,M,874063,EUR,879465600,M,26,26,False,25.0,19.0,4.0,2.0,0.0,8.0,8.0,11.0,17.0,2.0,4.0,,,,,,,90.0,38.0,7.8,6.0,0.00647645,2.0,4,,,,5.0,5.0,8.0,7.0,,,,,1.0,1.0,,3.0,0.7368,0.9825,,1.0,,,1.0,,2.0,1.0,1.0,2.0,1.0,,
12117343,home,Athletico,Felipinho,Felipinho,felipinho,Felipinho,M,5,183.0,272,M,1107060,EUR,1003363200,M,23,23,False,25.0,22.0,3.0,3.0,0.0,13.0,13.0,9.0,12.0,1.0,6.0,,,,,,,85.0,38.0,6.6,3.0,0.00695141,,4,,,,3.0,1.0,9.0,7.0,3.0,,1.0,,,3.0,,3.0,0.108,,,2.0,,,1.0,1.0,,4.0,,,2.0,,
12117343,home,Athletico,Nikão,,nikao,Nikão,M,11,174.0,442,M,139300,EUR,712368000,M,11,11,False,25.0,20.0,4.0,3.0,0.0,4.0,5.0,17.0,23.0,2.0,1.0,,,,,,,55.0,39.0,7.3,8.0,0.134586,3.0,2,,3.0,1.0,1.0,2.0,1.0,6.0,,,,,,,1.0,,0.0758,,,,,,,,2.0,,,,4.0,,
12117343,home,Athletico,Christian,,christian,Christian,M,88,178.0,1761,M,981733,EUR,977184000,M,88,88,False,14.0,10.0,1.0,1.0,0.0,2.0,2.0,9.0,13.0,1.0,,,,,,,,63.0,24.0,6.8,4.0,0.034475,,3,,1.0,1.0,5.0,,5.0,5.0,,,,,2.0,1.0,,1.0,0.3445,0.8,,1.0,,,,,,1.0,,,4.0,1.0,
12117343,home,Athletico,Tomás Cuello,,tomas-cuello,T. Cuello,M,28,176.0,1951,M,871273,EUR,952214400,M,28,28,False,19.0,12.0,2.0,1.0,0.0,1.0,3.0,11.0,26.0,,4.0,,,,,,,90.0,56.0,6.2,26.0,0.0460503,1.0,5,,10.0,,1.0,1.0,11.0,8.0,2.0,3.0,6.0,,1.0,2.0,2.0,1.0,0.3636,0.3654,,,,,,2.0,1.0,3.0,,,3.0,1.0,
12117343,home,Athletico,Pablo,,pablo,Pablo,F,92,185.0,909,M,374486,EUR,709257600,F,92,92,False,11.0,8.0,,,0.0,3.0,4.0,5.0,7.0,3.0,2.0,,,,,,,55.0,18.0,7.1,3.0,0.154425,2.0,1,,,,3.0,1.0,6.0,3.0,2.0,,1.0,1.0,,1.0,,1.0,0.1099,,,1.0,,,,1.0,1.0,,,,,,
