match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,captain,stat_aerialLost,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_totalContest,stat_outfielderBlock,stat_wasFouled,stat_accurateCross,stat_bigChanceCreated,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goalAssist,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_errorLeadToAGoal,stat_totalOffside
11392873,home,Le Havre,Arthur Desmas,arthur-desmas,A. Desmas,G,16,196,105,M,798306,EUR,765676800,G,30,30,False,17.0,11.0,8.0,2.0,9.0,9.0,2.0,8.0,1.0,1.0,9.0,3.0,1.0,2.0,1.0,1.0,90.0,28.0,7.3,6.0,0.0,0.0,0.00073022,0,0.6355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392873,home,Le Havre,Yoann Salmier,yoann-salmier,Y. Salmier,D,21,188,61,M,785518,EUR,722304000,D,22,22,False,47.0,41.0,5.0,2.0,25.0,27.0,16.0,21.0,2.0,2.0,7.0,,,,,,90.0,61.0,7.2,9.0,0.1006,0.0,0.014606,1,,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11392873,home,Le Havre,Arouna Sangante,arouna-sangante,A. Sangante,D,93,189,741,M,1035988,EUR,1018569600,D,93,93,False,55.0,49.0,8.0,2.0,34.0,34.0,15.0,21.0,,2.0,6.0,,,,,,90.0,60.0,6.8,6.0,0.0,0.0,0.0105411,0,,,6.0,,2.0,,,,,,True,5.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
11392873,home,Le Havre,Gautier Lloris,gautier-lloris,G. Lloris,D,4,188,195,M,287887,EUR,806025600,D,4,4,False,44.0,40.0,6.0,2.0,32.0,32.0,8.0,12.0,,2.0,3.0,,,,,,90.0,57.0,7.1,5.0,0.0,0.0,0.00562225,0,,,3.0,,2.0,1.0,,1.0,,,,1.0,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,
11392873,home,Le Havre,Christopher Operi,christopher-operi,C. Operi,D,21,182,1311,M,858977,EUR,862272000,D,27,27,False,46.0,41.0,,,21.0,24.0,21.0,27.0,1.0,3.0,3.0,,,,,,90.0,68.0,7.5,11.0,0.0,0.0,0.312387,0,,5.0,,,1.0,1.0,1.0,,,,,,,1.0,,2.0,,,1.0,1.0,1.0,,,,,,,,,,
11392873,home,Le Havre,Abdoulaye Touré,abdoulaye-toure,A. Touré,M,94,187,3161,M,149732,EUR,762652800,M,94,94,False,59.0,51.0,6.0,5.0,28.0,29.0,23.0,30.0,2.0,6.0,6.0,,,,,,90.0,68.0,6.8,10.0,0.093,0.0,0.0170238,1,,,8.0,,,1.0,1.0,1.0,,,,3.0,3.0,1.0,,,1.0,,2.0,,,1.0,1.0,1.0,,,,,,,
11392873,home,Le Havre,Yassine Kechta,yassine-kechta,Y. Kechta,M,8,166,2008,M,1000442,EUR,1014595200,M,8,8,False,27.0,23.0,,,10.0,11.0,13.0,18.0,,7.0,4.0,,,,,,72.0,41.0,7.3,6.0,0.0189,0.0193,0.0713945,1,,2.0,2.0,,,,,1.0,,,,,1.0,6.0,2.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,
11392873,home,Le Havre,Loic Négo,loic-nego,L. Négo,D,7,179,819,M,54308,EUR,663897600,M,7,7,False,26.0,20.0,3.0,2.0,9.0,10.0,13.0,20.0,,1.0,3.0,,,,,,88.0,38.0,7.0,9.0,0.3524,0.0266,0.361007,2,,4.0,7.0,1.0,,,,4.0,,,,,2.0,1.0,1.0,2.0,1.0,,,2.0,1.0,,,,1.0,1.0,1.0,,,,
11392873,home,Le Havre,Daler Kuzyaev,daler-kuzyaev,D. Kuzyaev,M,14,182,744,M,541426,EUR,727056000,M,14,14,False,39.0,36.0,,,11.0,13.0,25.0,27.0,1.0,3.0,1.0,,,,,,88.0,50.0,7.6,5.0,0.6963,0.8927,0.141523,3,,1.0,5.0,1.0,,,,,,,,1.0,3.0,,,1.0,,,2.0,,,1.0,,,2.0,,,1.0,,,
11392873,home,Le Havre,Nabil Alioui,alioui-nabil,N. Alioui,F,10,175,375,M,873049,EUR,919296000,M,10,10,False,23.0,12.0,4.0,,6.0,8.0,8.0,19.0,,1.0,2.0,,,,,,88.0,41.0,7.4,17.0,0.1743,0.4151,0.222671,3,,4.0,3.0,1.0,1.0,,2.0,1.0,,,,1.0,,,,1.0,1.0,,1.0,2.0,,,,1.0,1.0,,,1.0,,,
