match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_interceptionWon,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_challengeLost,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_expectedGoalsOnTarget,stat_totalOffside,captain,stat_dispossessed,stat_fouls,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_penaltyWon,stat_bigChanceCreated,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_penaltyConceded
12421123,home,KVC Westerlo,Koen Van Langendonck,koen-van-langendonck,K. V. Langendonck,G,30,188,44,M,247481,EUR,613353600,G,30,30,False,29.0,15.0,22.0,9.0,0.0,11.0,16.0,4.0,13.0,1.0,5.0,1.0,1.0,1.0,1.0,90.0,34.0,6.9,14.0,0.00048231,0,0.5187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421123,home,KVC Westerlo,Bryan Reynolds,bryan-reynolds,B. Reynolds,D,22,185,426,M,862075,EUR,993686400,D,22,22,False,39.0,33.0,7.0,5.0,0.0,15.0,17.0,20.0,26.0,1.0,7.0,,,,,90.0,64.0,7.4,11.0,0.0899983,1,,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.019,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421123,home,KVC Westerlo,Luka Vušković,luka-vuskovic,L. Vušković,D,44,193,11576,M,1405212,EUR,1172275200,D,44,44,False,44.0,35.0,7.0,5.0,0.0,26.0,28.0,9.0,16.0,6.0,7.0,,,,,90.0,59.0,7.2,10.0,0.00449713,1,,,,5.0,1.0,1.0,1.0,,1.0,0.1855,,lukavuskovic,8.0,3.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12421123,home,KVC Westerlo,Emin Bayram,emin-bayram,E. Bayram,D,40,193,768,M,997153,EUR,1049241600,D,40,40,False,38.0,33.0,11.0,7.0,0.0,23.0,26.0,10.0,12.0,7.0,7.0,,,,,90.0,64.0,8.4,10.0,0.147167,1,,,,9.0,4.0,2.0,,3.0,1.0,0.0661,2.0,,2.0,3.0,5.0,3.0,2.0,,,1.0,1.0,3.0,2.0,0.368,,,,,,,,,,,,,,,,
12421123,home,KVC Westerlo,Tuur Rommens,rommens-tuur,T. Rommens,D,25,185,329,M,1130011,EUR,1048636800,D,25,25,False,43.0,33.0,6.0,2.0,0.0,17.0,20.0,16.0,23.0,2.0,5.0,1.0,,,,90.0,71.0,8.0,18.0,0.00924875,2,,,,8.0,3.0,2.0,,1.0,,0.0584,1.0,,1.0,3.0,2.0,1.0,3.0,,,,2.0,3.0,2.0,0.0676,1.0,,,,,,,,,,,,,,,
12421123,home,KVC Westerlo,Doğucan Haspolat,dogucan-haspolat,D. Haspolat,M,34,177,454,M,846087,EUR,950227200,M,34,34,False,37.0,28.0,13.0,6.0,0.0,13.0,14.0,18.0,29.0,3.0,7.0,,,,,90.0,58.0,7.0,16.0,0.250238,0,,6.0,3.0,6.0,1.0,,,,1.0,,2.0,,1.0,2.0,8.0,3.0,2.0,,,2.0,,3.0,2.0,,,True,1.0,3.0,,,,,,,,,,,,
12421123,home,KVC Westerlo,Alfie Devine,alfie-devine,A. Devine,M,21,182,1496,M,1049459,EUR,1091318400,M,10,10,False,30.0,22.0,2.0,1.0,0.0,6.0,11.0,16.0,20.0,,4.0,,,,,89.0,41.0,7.2,13.0,0.0319411,1,,1.0,,5.0,1.0,,,,1.0,0.0402,2.0,,1.0,3.0,3.0,,1.0,,,,1.0,1.0,1.0,0.0517,,,1.0,,,,,,,,,,,,,
12421123,home,KVC Westerlo,Arthur Piedfort,arthur-piedfort,A. Piedfort,M,46,186,202,M,1149123,EUR,1107216000,M,46,46,False,18.0,11.0,,,0.0,6.0,6.0,5.0,12.0,,1.0,,,,,74.0,27.0,6.7,11.0,0.01006,0,,,,5.0,1.0,,,,1.0,,,,2.0,2.0,5.0,1.0,1.0,Arthur Piedfort,,1.0,,2.0,2.0,,,,1.0,,,,,,,,,,,,,
12421123,home,KVC Westerlo,Griffin Yow,griffin-yow,G. Yow,M,18,173,283,M,979808,EUR,1032912000,F,18,18,False,24.0,14.0,,,0.0,5.0,5.0,9.0,21.0,,2.0,,,,,62.0,40.0,6.6,16.0,0.00957219,1,,2.0,,3.0,3.0,1.0,,,,0.027,,,1.0,,4.0,,2.0,,,1.0,,2.0,2.0,,,,,,1.0,,,,,,,,,,,
12421123,home,KVC Westerlo,Matija Frigan,matija-frigan,M. Frigan,F,20,184,1391,M,1092081,EUR,1044921600,F,9,9,False,15.0,10.0,,,0.0,3.0,3.0,7.0,13.0,1.0,5.0,,,,,89.0,38.0,8.0,9.0,0.0130005,4,,1.0,,9.0,2.0,2.0,,,4.0,1.1145,,,8.0,2.0,10.0,,3.0,,,,2.0,2.0,1.0,0.877,3.0,,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,
