match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_wasFouled,captain,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_wonContest,stat_fouls,stat_bigChanceCreated,stat_dispossessed,stat_totalOffside,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_ownGoals
12421129,home,Sint-Truidense VV,Léo Kokubo,,,leo-kokubo,L. Kokubo,G,16,193,966,M,997020,EUR,980208000,G,16,16,False,34.0,19.0,24.0,9.0,0.0,12.0,17.0,7.0,17.0,11.0,2.0,1.0,1.0,90.0,39.0,6.7,15.0,0.0016519,0,0.0614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421129,home,Sint-Truidense VV,Rein Van Helden,,,rein-van-helden,R. V. Helden,D,20,187,193,M,1047163,EUR,1027468800,D,20,20,False,45.0,38.0,3.0,3.0,0.0,21.0,27.0,17.0,18.0,6.0,,,,90.0,70.0,7.5,9.0,0.00722546,2,,2.0,2.0,2.0,7.0,1.0,1.0,8.0,1.0,5.0,2.0,1.0,0.1279,1.0,,,,,,,,,,,,,,,,,,,
12421129,home,Sint-Truidense VV,Shogo Taniguchi,Shogo,Taniguchi,shogo-taniguchi,S. Taniguchi,D,5,182,732,M,386958,EUR,679536000,D,5,5,False,3.0,3.0,,,0.0,3.0,3.0,,,,,,,14.0,6.0,6.6,,6.319e-05,0,,,1.0,,3.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
12421129,home,Sint-Truidense VV,Bruno Godeau,,,bruno-godeau,B. Godeau,D,31,190,68,M,247321,EUR,705456000,D,31,31,False,49.0,42.0,8.0,5.0,0.0,28.0,30.0,15.0,20.0,5.0,,,,90.0,63.0,6.9,8.0,0.113919,0,,,4.0,2.0,4.0,,,8.0,,,,,,1.0,,True,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12421129,home,Sint-Truidense VV,Louis Patris,,,louis-patris,L. Patris,M,27,187,275,M,923972,EUR,991872000,M,19,19,False,25.0,16.0,1.0,,0.0,6.0,7.0,11.0,20.0,4.0,,,,90.0,49.0,7.2,12.0,0.0645067,0,,1.0,3.0,4.0,9.0,,,2.0,,5.0,3.0,1.0,,2.0,,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,
12421129,home,Sint-Truidense VV,Joel Chima Fujita,,,joel-chima-fujita,J. C. Fujita,M,16,175,1436,M,1002461,EUR,1013817600,M,8,8,False,45.0,39.0,3.0,1.0,1.0,20.0,21.0,19.0,24.0,11.0,,,,90.0,68.0,8.1,7.0,0.0348987,0,,1.0,,4.0,7.0,,,4.0,3.0,6.0,4.0,1.0,,2.0,1.0,,,,2.0,,2.0,,1.0,1.0,,,,,,,,,
12421129,home,Sint-Truidense VV,Olivier Dumont,Olivier Dumont,,olivier-dumont,O. Dumont,M,14,182,41,M,1127338,EUR,1015372800,M,14,14,False,33.0,29.0,1.0,1.0,0.0,15.0,17.0,14.0,17.0,7.0,,,,74.0,44.0,6.8,7.0,0.0278955,2,,,,4.0,2.0,1.0,1.0,1.0,,2.0,1.0,,0.1373,,,,1.0,,1.0,,,,2.0,,1.0,1.0,,,,,,,
12421129,home,Sint-Truidense VV,Ryoya Ogawa,,,ryoya-ogawa,R. Ogawa,M,7,182,155,M,790973,EUR,848793600,M,2,2,False,22.0,19.0,2.0,,0.0,8.0,8.0,11.0,15.0,5.0,,,,90.0,38.0,6.9,6.0,0.0128882,0,,,,1.0,2.0,,,2.0,,1.0,1.0,2.0,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,
12421129,home,Sint-Truidense VV,Billal Brahimi,,,billal-brahimi,B. Brahimi,F,26,183,3098,M,948250,EUR,952992000,F,7,7,False,40.0,30.0,4.0,2.0,0.0,7.0,10.0,29.0,45.0,6.0,,,,90.0,78.0,8.6,27.0,0.317535,4,,,1.0,4.0,7.0,2.0,,1.0,,1.0,1.0,4.0,0.1957,4.0,3.0,,15.0,6.0,,4.0,1.0,2.0,,,2.0,1.0,2.0,1.0,0.1979,,,,
12421129,home,Sint-Truidense VV,Adriano Bertaccini,,,adriano-bertaccini,A. Bertaccini,F,91,173,746,M,867250,EUR,966124800,F,91,91,False,19.0,17.0,3.0,3.0,0.0,7.0,8.0,10.0,11.0,7.0,,,,89.0,43.0,6.8,13.0,0.0267053,2,,,2.0,10.0,6.0,1.0,1.0,,,1.0,,2.0,0.2653,1.0,1.0,,,,1.0,7.0,,2.0,,,4.0,,,1.0,,1.0,,,
