match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_goals,stat_dispossessed,stat_accurateCross,stat_goalAssist,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox
10438122,home,Casa Pia,Ricardo Batista,ricardo-batista,R. Batista,G,33,193,111,M,9668,EUR,532656000,G,33,33,False,24.0,14.0,16.0,7.0,9.0,12.0,5.0,12.0,1.0,1.0,2.0,9.0,4.0,2.0,2.0,1.0,1.0,90.0,37.0,6.8,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438122,home,Casa Pia,Fernando Varela,fernando-varela,F. Varela,D,5,183,60,M,51705,EUR,564883200,D,15,15,False,25.0,20.0,3.0,1.0,10.0,13.0,10.0,13.0,2.0,3.0,2.0,6.0,,,,,,76.0,38.0,7.2,6.0,2,1.0,2.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10438122,home,Casa Pia,Vasco Fernandes,vasco-fernandes,V. Fernandes,D,,181,45,M,41650,EUR,532137600,D,13,13,False,36.0,29.0,4.0,2.0,20.0,23.0,9.0,13.0,1.0,2.0,6.0,5.0,,,,,,90.0,47.0,6.7,8.0,0,,1.0,3.0,1.0,,,,1.0,,,1.0,True,1.0,1.0,2.0,,,,,,,,,,,,,,
10438122,home,Casa Pia,Duplexe Tchamba,duplexe-tchamba,D. Tchamba,D,2,191,133,M,891792,EUR,900028800,D,12,12,False,32.0,26.0,5.0,2.0,17.0,20.0,9.0,13.0,3.0,5.0,3.0,9.0,,,,,,90.0,44.0,6.8,8.0,1,1.0,1.0,5.0,,,,1.0,1.0,1.0,,4.0,,,,,,,1.0,1.0,1.0,,,,,,,,,
10438122,home,Casa Pia,Lucas Soares,lucas-soares,L. Soares,M,42,176,85,M,991358,EUR,894240000,M,42,42,False,19.0,14.0,2.0,1.0,7.0,9.0,7.0,11.0,2.0,7.0,,6.0,,,,,,81.0,36.0,7.6,7.0,2,1.0,3.0,4.0,,,1.0,,,2.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,
10438122,home,Casa Pia,Beni Mukendi,beni-mukendi,B. Mukendi,M,16,180,646,M,1002367,EUR,1021939200,M,80,80,False,30.0,24.0,2.0,1.0,11.0,14.0,13.0,17.0,,3.0,,6.0,,,,,,65.0,38.0,6.6,10.0,0,1.0,,5.0,1.0,,,,,2.0,2.0,1.0,,,,3.0,,,2.0,1.0,,,2.0,,,,,,,
10438122,home,Casa Pia,Neto,neto,Neto,M,8,181,91,M,843358,EUR,683769600,M,8,8,False,39.0,32.0,3.0,1.0,11.0,13.0,22.0,31.0,1.0,5.0,1.0,3.0,,,,,,90.0,56.0,7.0,13.0,1,5.0,1.0,6.0,2.0,1.0,,,2.0,4.0,1.0,1.0,,,,3.0,,,,,,,2.0,1.0,,,,,,
10438122,home,Casa Pia,Leonardo Lelo,leonardo-lelo,L. Lelo,M,5,175,353,M,1006865,EUR,954374400,M,5,5,False,45.0,23.0,8.0,1.0,9.0,12.0,15.0,36.0,1.0,3.0,2.0,5.0,,,,,,90.0,79.0,7.2,28.0,2,3.0,3.0,7.0,2.0,2.0,,,4.0,,,2.0,,1.0,2.0,3.0,,,,,,,,1.0,1.0,,,,,
10438122,home,Casa Pia,Yuki Soma,soma-yuki,Y. Soma,F,7,165,617,M,945290,EUR,856828800,F,24,24,False,11.0,9.0,1.0,1.0,4.0,4.0,6.0,10.0,1.0,2.0,,5.0,,,,,,90.0,22.0,7.1,6.0,3,3.0,3.0,6.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,2.0,,,,,,,1.0,1.0,,,,,,
10438122,home,Casa Pia,Rafael Martins,rafael-martins,R. Martins,F,99,177,43,M,123231,EUR,606096000,F,11,11,False,17.0,9.0,,,3.0,4.0,6.0,13.0,,1.0,,,,,,,,65.0,25.0,6.3,12.0,2,,2.0,4.0,,2.0,,,,,,2.0,,4.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,
10438122,home,Casa Pia,Saviour Godwin,saviour-godwin,S. Godwin,M,77,170,247,M,359650,EUR,840672000,F,7,7,False,15.0,11.0,2.0,1.0,2.0,2.0,9.0,15.0,,4.0,,5.0,,,,,,76.0,33.0,7.0,11.0,5,2.0,,5.0,2.0,1.0,1.0,,,,,,,1.0,3.0,2.0,,,2.0,1.0,3.0,,2.0,,,,,,1.0,
10438122,home,Casa Pia,Afonso Taira,afonso-taira,A. Taira,M,6,177,41,M,153040,EUR,708739200,M,27,27,True,11.0,7.0,3.0,2.0,3.0,3.0,4.0,8.0,,4.0,1.0,3.0,,,,,,25.0,18.0,6.5,5.0,0,,,3.0,2.0,,,,,2.0,2.0,,,,1.0,,,,2.0,1.0,,,,,,,,,,
