match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_outfielderBlock,stat_ownGoals,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalOffside,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,captain,stat_keyPass,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_wasFouled,stat_expectedGoalsOnTarget,stat_totalCross,stat_hitWoodwork,stat_penaltyWon,stat_penaltyMiss,stat_accurateCross,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_goals
14572728,home,Celtic,Benjamin Nygren,benjamin-nygren,B. Nygren,F,8,184,1801,M,918517,EUR,994550400,F,8,8,False,19.0,16.0,1.0,1.0,0.0,4.0,6.0,12.0,13.0,,2.0,,,,45.0,31.0,7.0,6.0,0.245378,37.519824757293,5.0,-18.375,4.095,,0,,0.42,-0.08,0.13,,3.0,,5.0,3.0,,,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,
14572728,home,Celtic,Colby Donovan,colby-donovan,C. Donovan,D,51,180,154,M,1614360,EUR,1157500800,D,51,51,True,20.0,15.0,3.0,,0.0,11.0,14.0,4.0,6.0,,3.0,,,,45.0,29.0,6.6,6.0,0.00773723,28.935005996568,4.0,-13.65,-2.73,,0,,-0.1,-0.1,0.2,,1.0,,3.0,2.0,,2.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
14572728,home,Celtic,Paulo Bernardo,paulo-bernardo,P. Bernardo,M,28,180,1001,M,983554,EUR,1011830400,M,28,28,True,38.0,34.0,3.0,3.0,0.0,11.0,11.0,23.0,27.0,,4.0,,,,45.0,45.0,6.7,7.0,0.0487766,38.982401908924,7.0,19.215,7.98,,0,,0.06,0.05,-0.19,,,,5.0,2.0,,1.0,,,,,1.0,,,,,,,1.0,1.0,3.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,
14572728,home,Celtic,Kelechi Iheanacho,kelechi-iheanacho,K. Iheanacho,F,17,184,4854,M,359642,EUR,844300800,F,17,17,True,8.0,7.0,,,0.0,1.0,1.0,6.0,7.0,,1.0,,,,45.0,19.0,6.8,7.0,0.00845171,43.245138158744,7.0,4.62,5.46,,1,,0.04,0.28,-0.01,,1.0,1.0,2.0,4.0,,,,5.0,,,1.0,,,kelechi72,1.0,0.2059,-0.53,,1.0,1.0,1.0,,2.0,5.8286533607687,1.0,,,,1.0,,,2.0,,,,,,,,,,,
14572728,home,Celtic,Anthony Ralston,anthony-ralston,A. Ralston,D,56,178,375,M,840227,EUR,911174400,D,56,56,True,30.0,27.0,1.0,,0.0,12.0,13.0,15.0,17.0,2.0,,,,,28.0,35.0,6.7,4.0,0.0100815,35.872239113112,7.0,7.455,9.345,,0,,0.08,-0.11,-0.02,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,
14572728,home,Celtic,Michel Ange Balikwisha,michel-ange-balikwisha,M. A. Balikwisha,M,10,177,4211,M,923969,EUR,989452800,F,10,10,True,7.0,6.0,,,0.0,2.0,2.0,4.0,5.0,,,,,,13.0,14.0,6.2,3.0,0.00524778,10.18364811843,1.0,-4.935,-4.935,,1,,-0.12,-0.01,-0.04,,1.0,,4.0,,,,,,,,1.0,,,,,0.1304,0.02,1.0,1.0,,,,,,,,,,,1.0,,,0.1215,1.0,,,,,,,,,
14572728,home,Celtic,Viljami Sinisalo,viljami-sinisalo,V. Sinisalo,G,12,190,349,M,995654,EUR,1002758400,G,12,12,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572728,home,Celtic,Ross Doohan,ross-doohan,R. Doohan,G,31,186,119,M,847123,EUR,891129600,G,31,31,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572728,home,Celtic,Dane Murray,dane-murray,D. Murray,D,47,193,128,M,1117475,EUR,1056585600,D,47,47,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,Dane Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572728,home,Celtic,Luke McCowan,mccowan-luke,L. McCowan,M,14,177,285,M,926363,EUR,881625600,M,14,14,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
