match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_ownGoals,captain,stat_aerialLost,stat_dispossessed,stat_shotOffTarget,stat_errorLeadToAShot,stat_challengeLost,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_onTargetScoringAttempt,stat_accurateCross,stat_blockedScoringAttempt,stat_hitWoodwork,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_totalOffside
10411696,home,Empoli,Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7123,M,guglielmovicario,553606,EUR,844646400,G,13,13,False,37.0,31.0,11.0,6.0,28.0,31.0,3.0,6.0,3.0,8.0,2.0,4.0,5.0,1.0,90.0,52.0,7.2,6.0,0.0,0.0,0.0012975,0,1.3811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411696,home,Empoli,Tyronne Ebuehi,tyronne-ebuehi,T. Ebuehi,D,24,187,664,M,,580512,EUR,819072000,D,24,24,False,12.0,8.0,1.0,,8.0,9.0,,6.0,1.0,1.0,,,,,68.0,24.0,6.3,9.0,0.0,0.0,0.00132869,0,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10411696,home,Empoli,Ardian Ismajli,ardian-ismajli,A. Ismajli,D,44,188,1151,M,,840414,EUR,844041600,D,34,34,False,50.0,45.0,5.0,3.0,40.0,43.0,5.0,7.0,6.0,5.0,,,,,90.0,65.0,7.3,5.0,0.0,0.0,0.00114419,0,,,,,,7.0,,4.0,4.0,,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10411696,home,Empoli,Sebastiano Luperto,sebastiano-luperto,S. Luperto,D,6,191,784,M,,352736,EUR,841968000,D,33,33,False,51.0,44.0,5.0,3.0,34.0,36.0,10.0,15.0,5.0,3.0,,,,,90.0,61.0,6.5,8.0,0.0413,0.0,0.00396295,1,,,,,3.0,1.0,,1.0,1.0,,,2.0,,,True,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
10411696,home,Empoli,Fabiano Parisi,fabiano-parisi,F. Parisi,D,65,178,788,M,,972886,EUR,973728000,D,65,65,False,44.0,34.0,2.0,,15.0,22.0,19.0,24.0,1.0,10.0,,,,,90.0,81.0,6.8,20.0,0.0,0.0,0.0316509,0,,,,2.0,5.0,12.0,5.0,4.0,3.0,1.0,2.0,,,,,,2.0,,,1.0,3.0,3.0,3.0,,,,,,,,,
10411696,home,Empoli,Nicolas Haas,nicolas-haas,N. Haas,M,32,178,93,M,,587126,EUR,822355200,M,32,32,False,26.0,21.0,1.0,,12.0,16.0,9.0,10.0,2.0,3.0,,,,,76.0,37.0,6.3,7.0,0.0366,0.0,0.00442255,1,,,,,4.0,3.0,,,,,3.0,,1.0,,,,1.0,1.0,,1.0,,1.0,,2.0,,,,,,,,
10411696,home,Empoli,Liam Henderson,liam-henderson,L. Henderson,M,16,183,304,M,,287573,EUR,830390400,M,8,8,False,33.0,29.0,4.0,1.0,23.0,23.0,6.0,10.0,1.0,1.0,,,,,57.0,41.0,6.7,4.0,0.0406,0.2683,0.0170855,2,,,,,2.0,2.0,,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,
10411696,home,Empoli,Răzvan Marin,razvan-marin,R. Marin,M,18,178,3932,M,,279563,EUR,832809600,M,18,18,False,44.0,39.0,1.0,,24.0,25.0,16.0,23.0,,7.0,,,,,90.0,56.0,6.5,10.0,0.0545,0.0,0.0500605,2,,,,4.0,8.0,2.0,2.0,1.0,1.0,2.0,,,,,,,1.0,1.0,,2.0,1.0,,,4.0,,1.0,1.0,,,,,
10411696,home,Empoli,Tommaso Baldanzi,tommaso-baldanzi,T. Baldanzi,M,8,170,2264,M,,1012172,EUR,1048377600,M,35,35,False,37.0,31.0,2.0,,17.0,19.0,14.0,19.0,,4.0,,,,,90.0,49.0,6.1,11.0,0.1254,0.0,0.0231352,1,,,,1.0,5.0,4.0,2.0,1.0,,,1.0,,,,,,,,,3.0,1.0,3.0,1.0,1.0,,,1.0,,,,,
10411696,home,Empoli,Martín Satriano,martin-satriano,M. Satriano,F,10,187,2192,M,,973536,EUR,982627200,F,9,9,False,14.0,8.0,,,1.0,3.0,7.0,12.0,1.0,,,,,,77.0,22.0,6.7,11.0,0.0,0.0,0.318469,0,,,,1.0,4.0,2.0,2.0,,,3.0,,,,,,2.0,2.0,,,,2.0,2.0,,,,,,,,,,
10411696,home,Empoli,Roberto Piccoli,roberto-piccoli,R. Piccoli,F,91,190,1557,M,,958982,EUR,980553600,F,91,91,False,8.0,5.0,,,2.0,3.0,3.0,5.0,2.0,1.0,,,,,57.0,20.0,6.4,7.0,0.1567,0.0,0.0138888,1,,,,,3.0,3.0,3.0,,,,2.0,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,
