match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_totalCross,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_errorLeadToAGoal,stat_challengeLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_accurateCross,stat_wasFouled,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,captain,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_errorLeadToAShot
12499472,home,FC Bayern München,Jonas Urbig,Jonas Urbig,,jonas-urbig,J. Urbig,G,40,189,4842,M,1130647,EUR,1060300800,G,40,40,False,27.0,18.0,11.0,2.0,0.0,16.0,18.0,2.0,9.0,4.0,9.0,1.0,1.0,3.0,3.0,3.0,90.0,34.0,6.6,9.0,0.00139828,0,-0.2694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499472,home,FC Bayern München,Konrad Laimer,,,konrad-laimer,K. Laimer,D,27,180,7452,M,355492,EUR,864691200,D,27,27,False,56.0,46.0,3.0,,0.0,14.0,16.0,32.0,40.0,1.0,8.0,,,,,,90.0,76.0,6.9,14.0,0.0731662,2,,KonradLaimer,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0869,2.0,,,,,,,,,,,,,,,,,,,,
12499472,home,FC Bayern München,Eric Dier,,,eric-dier,E. Dier,D,3,191,4303,M,146101,EUR,758592000,D,15,15,False,70.0,63.0,2.0,,0.0,36.0,39.0,27.0,32.0,3.0,3.0,,,,,,90.0,89.0,6.8,9.0,0.0108742,0,,ericdier,1.0,6.0,2.0,1.0,,,1.0,1.0,,1.0,,,1.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,
12499472,home,FC Bayern München,Min-jae Kim,,,min-jae-kim,M. Kim,D,3,190,15013,M,896569,EUR,848016000,D,3,3,False,47.0,44.0,3.0,1.0,0.0,25.0,26.0,19.0,21.0,4.0,3.0,,,,,,54.0,58.0,6.5,4.0,0.0376569,0,,kiminjae3,2.0,1.0,3.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,4.0,1.0,,,,,,,,,,,,,,,
12499472,home,FC Bayern München,Josip Stanišić,,,josip-stanisic,J. Stanišić,D,44,186,9022,M,927407,EUR,954633600,D,44,44,False,66.0,59.0,1.0,1.0,1.0,18.0,18.0,41.0,48.0,3.0,4.0,,,,,,90.0,84.0,7.4,8.0,0.133561,1,,josip_stanisic,3.0,3.0,3.0,,1.0,,,,1.0,,0.1935,2.0,,,3.0,,,3.0,1.0,1.0,,,,,,,,,,,,
12499472,home,FC Bayern München,Joshua Kimmich,,,joshua-kimmich,J. Kimmich,M,6,176,42486,M,259117,EUR,792201600,M,6,6,False,90.0,86.0,15.0,13.0,0.0,33.0,34.0,55.0,64.0,1.0,7.0,,,,,,90.0,107.0,7.8,13.0,0.422644,2,,Jok_32,1.0,3.0,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,0.0944,2.0,8.0,1.0,,1.0,,,1.0,,2.0,1.0,,,,,,,,,,
12499472,home,FC Bayern München,Leon Goretzka,,,leon-goretzka,L. Goretzka,M,8,189,12148,M,184661,EUR,792028800,M,8,8,False,56.0,55.0,1.0,1.0,0.0,15.0,15.0,40.0,41.0,,4.0,,,,,,63.0,67.0,7.6,1.0,0.0533969,3,,leon_goretzka,,4.0,3.0,,1.0,1.0,3.0,2.0,,1.0,0.0752,,,3.0,,4.0,,,,,,,1.0,0.0323,,,,,,,,
12499472,home,FC Bayern München,Michael Olise,,,michael-olise,M. Olise,M,17,184,79532,M,978838,EUR,1008115200,M,17,17,False,50.0,45.0,1.0,1.0,0.0,8.0,8.0,37.0,49.0,,4.0,,,,,,90.0,72.0,6.9,16.0,0.24646,5,,MOlise,,2.0,5.0,1.0,2.0,2.0,,,2.0,1.0,0.672,5.0,7.0,,,,,1.0,1.0,3.0,,2.0,1.0,0.1823,3.0,3.0,,,,,,
12499472,home,FC Bayern München,Thomas Müller,,,thomas-muller,T. Müller,F,13,186,37471,M,35166,EUR,621648000,M,25,25,False,36.0,28.0,1.0,1.0,1.0,3.0,4.0,27.0,34.0,2.0,2.0,,,,,,81.0,62.0,8.0,16.0,0.39589,4,,esmuellert,4.0,7.0,5.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,0.2375,5.0,2.0,1.0,,1.0,,,2.0,,2.0,,1.0,0.1589,,,True,,,,,
12499472,home,FC Bayern München,Leroy Sané,,,leroy-sane,L. Sané,M,10,184,41295,M,293519,EUR,821318400,M,10,10,False,39.0,36.0,,,0.0,8.0,8.0,29.0,34.0,1.0,1.0,,,,,,63.0,56.0,6.8,12.0,0.134175,1,,LeroySane,,7.0,3.0,,,,,,4.0,1.0,0.0585,1.0,3.0,1.0,,,,2.0,,,1.0,,1.0,0.3252,6.0,3.0,,,,,,
