match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_onTargetScoringAttempt,stat_keyPass,stat_goalAssist,stat_totalContest,stat_bigChanceCreated,player_firstName,player_lastName,stat_wonContest,captain,player_sofascoreId,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
10388447,away,FC Schalke 04,Alex Král,alex-kral,A. Král,M,33,185,619,M,825740,EUR,895536000,M,30,30,False,33.0,24.0,3.0,1.0,10.0,13.0,14.0,20.0,1.0,3.0,1.0,8.0,,,,,90.0,45.0,6.6,12.0,0.0396,0.3395,0.0208921,2,,,,4.0,6.0,,1.0,,,2.0,2.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,
10388447,away,FC Schalke 04,Tom Krauß,tom-krauss,T. Krauß,M,5,182,398,M,930272,EUR,993168000,M,6,6,False,31.0,28.0,3.0,1.0,14.0,14.0,14.0,18.0,,5.0,,13.0,,,,,76.0,47.0,7.2,6.0,0.0,0.0,0.0180137,0,,1.0,,,2.0,,,,2.0,4.0,1.0,,,1.0,,,1.0,,2.0,,,,1.0,,,,,,,,
10388447,away,FC Schalke 04,Kenan Karaman,kenan-karaman,K. Karaman,F,19,189,1025,M,168943,EUR,762825600,M,19,19,False,31.0,23.0,1.0,1.0,9.0,9.0,14.0,22.0,6.0,13.0,,4.0,,,,,90.0,49.0,7.2,13.0,0.1953,0.0,0.151071,2,,,,,2.0,1.0,1.0,,,4.0,2.0,4.0,2.0,1.0,,,1.0,,1.0,,,,1.0,,,1.0,,1.0,,,
10388447,away,FC Schalke 04,Florent Mollet,florent-mollet,F. Mollet,M,91,174,195,M,234230,EUR,690508800,M,20,20,False,33.0,30.0,2.0,1.0,14.0,15.0,17.0,20.0,,5.0,,6.0,,,,,84.0,57.0,6.1,13.0,0.0671,0.0,0.142141,2,,2.0,1.0,5.0,12.0,5.0,,,,2.0,,2.0,2.0,,,,1.0,,3.0,,,,1.0,,,2.0,,1.0,,,
10388447,away,FC Schalke 04,Marius Bülter,marius-bulter,M. Bülter,F,30,188,454,M,378340,EUR,733363200,M,11,11,False,15.0,9.0,2.0,1.0,4.0,5.0,6.0,13.0,,1.0,,3.0,,,,,64.0,39.0,6.4,17.0,0.3258,0.0507,0.0595051,5,,3.0,1.0,1.0,5.0,3.0,2.0,,,,,4.0,1.0,,,1.0,1.0,,1.0,,,,,,,2.0,,,,,
10388447,away,FC Schalke 04,Simon Terodde,simon-terodde,S. Terodde,F,,192,422,M,26231,EUR,573264000,F,9,9,False,15.0,10.0,1.0,,4.0,5.0,6.0,11.0,2.0,3.0,,3.0,,,,,90.0,32.0,6.7,10.0,0.2138,0.0,0.0297284,3,,1.0,,3.0,6.0,,3.0,,,,,3.0,1.0,2.0,1.0,,1.0,,1.0,,,,,True,,,,1.0,,,1.0
10388447,away,FC Schalke 04,Jordan Larsson,jordan-larsson,J. Larsson,M,11,175,1301,M,578380,EUR,866764800,F,7,7,True,12.0,8.0,,,1.0,2.0,7.0,10.0,3.0,5.0,,2.0,,,,,26.0,21.0,6.8,5.0,0.1909,0.0,0.0441366,2,,,,1.0,2.0,,1.0,,,2.0,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,,
10388447,away,FC Schalke 04,Dominick Drexler,dominick-drexler,D. Drexler,M,,183,65,M,88494,EUR,643680000,M,24,24,True,11.0,5.0,3.0,2.0,2.0,5.0,3.0,7.0,,1.0,,2.0,,,,,14.0,14.0,7.4,7.0,0.1813,0.547,0.0778042,1,,1.0,,,2.0,,,,,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,1.0,,,,
10388447,away,FC Schalke 04,Sebastian Polter,sebastian-polter,S. Polter,F,91,190,355,M,39733,EUR,670464000,F,40,40,True,2.0,1.0,,,,,1.0,3.0,,,,,,,,,11.0,4.0,7.1,3.0,0.0,0.0,0.0445904,0,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,
10388447,away,FC Schalke 04,Justin Heekeren,justin-heekeren,J. Heekeren,G,32,194,135,M,932070,EUR,975283200,G,28,28,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388447,away,FC Schalke 04,Timothée Kolodziejczak,timothee-kolodziejczak,T. Kolodziejczak,D,15,185,162,M,41605,EUR,686275200,D,15,15,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388447,away,FC Schalke 04,Danny Latza,danny-latza,D. Latza,M,46,180,38,M,40360,EUR,628992000,M,8,8,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388447,away,FC Schalke 04,Mehmet Aydın,mehmet-aydin,M. Aydın,M,8,180,343,M,980632,EUR,1013212800,M,23,23,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388447,away,FC Schalke 04,Florian Flick,florian-flick,F. Flick,M,6,190,76,M,944288,EUR,957139200,M,17,17,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388447,away,FC Schalke 04,Sidi Sané,sidi-sane,S. Sané,F,24,187,237,M,1387930,EUR,1050883200,F,44,44,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
